caseName,casePoints,processedFrames,meanOfPointAvgEncodeTimeUs,meanOfPointAvgDecodeTimeUs,maxPointP99DecodeTimeUs,maxDecodeTimeUs
BCH-S200,21,42000,6.657571428571451,16.921114285714285,248.14899999999986,7711.9
BCH-B200,21,42000,32.6654761904762,51.0203904761905,359.1839999999997,2986.2
BCH-S300,21,42000,9.537985714285707,24.952657142857138,271.849,9378.3
BCH-B300,21,42000,71.20369047619049,133.15074761904756,763.0789999999998,5636.3
