caseId,snrDb,Dtb,berRatioToFull,ferRatioToFull,fullMismatchBits,fullMismatchFrames,survivorMemoryBytes,avgDecodeTime_us,pointPass
CC-B-R12-S,-0.5,35,1.3488888888888888,1.7457627118644068,227,56,6720,303.57850000000047,FAIL
CC-B-R12-S,0.0,35,1.4117647058823528,1.8125,64,17,6720,319.64949999999982,FAIL
CC-B-R23-S,0.5,35,1.8376582278481013,2.303030303030303,4279,475,6720,309.17389999999966,FAIL
CC-B-R23-S,1.0,35,1.916506717850288,2.9772727272727275,1353,226,6720,302.34849999999989,FAIL
CC-B-R12-S,-0.5,49,1.04,1.0847457627118644,30,11,9408,312.22369999999989,FAIL
CC-B-R12-S,0.0,49,1.049019607843137,1.1875,7,5,9408,324.59260000000052,FAIL
CC-B-R23-S,0.5,49,1.2981012658227846,1.6363636363636362,1932,269,9408,315.47169999999977,FAIL
CC-B-R23-S,1.0,49,1.231285988483685,1.6136363636363635,463,83,9408,306.49830000000009,FAIL
CC-B-R12-S,-0.5,70,1.0044444444444443,1.0,2,1,13440,320.36039999999991,PASS
CC-B-R12-S,0.0,70,1.0,1.0,0,0,13440,334.85350000000022,PASS
CC-B-R23-S,0.5,70,1.0569620253164558,1.12987012987013,472,80,13440,326.38920000000013,FAIL
CC-B-R23-S,1.0,70,1.034548944337812,1.0681818181818183,100,15,13440,317.32100000000048,FAIL
CC-B-R12-S,-0.5,84,1.0,1.0,0,0,16128,325.74869999999981,PASS
CC-B-R12-S,0.0,84,1.0,1.0,0,0,16128,341.85839999999996,PASS
CC-B-R23-S,0.5,84,1.0287974683544303,1.0432900432900432,183,32,16128,328.73010000000011,PASS
CC-B-R23-S,1.0,84,1.0143953934740881,1.0113636363636365,45,6,16128,319.60489999999982,PASS
CC-B-R12-S,-0.5,98,1.0,1.0,0,0,18816,330.82909999999987,PASS
CC-B-R12-S,0.0,98,1.0,1.0,0,0,18816,343.75269999999978,PASS
CC-B-R23-S,0.5,98,1.0139240506329115,1.012987012987013,74,11,18816,335.19149999999956,PASS
CC-B-R23-S,1.0,98,1.0076775431861804,1.0,16,3,18816,325.19420000000014,PASS
CC-B-R12-S,-0.5,112,1.0,1.0,0,0,21504,333.83130000000045,PASS
CC-B-R12-S,0.0,112,1.0,1.0,0,0,21504,347.68799999999953,PASS
CC-B-R23-S,0.5,112,1.0044303797468355,1.0043290043290043,26,7,21504,335.26750000000038,PASS
CC-B-R23-S,1.0,112,0.9971209213051824,1.0,3,1,21504,326.96479999999991,PASS
