caseId,snrDb,mode,Dtb,frames,payloadBitErrors,payloadErrorFrames,BER,FER,fullMismatchBits,fullMismatchFrames,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,survivorMemoryBytes,pathMetricMemoryBytes,ACSCount,tracebackOperations,firstStableOutputDepth
CC-B-R12-S,-0.5,FULL_BLOCK_ZERO_TERMINATED,306,1000,450,59,0.0015,0.058999999999999997,0,0,277.87910000000028,391.39999999999998,589.60000000000002,58752,1024,39168000,306000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,35,1000,607,103,0.0020233333333333331,0.10299999999999999,227,56,303.57850000000047,414.80000000000001,622,6720,1024,39168000,9520000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,49,1000,468,64,0.00156,0.064000000000000001,30,11,312.22369999999989,423.80000000000001,1047.3,9408,1024,39168000,12642000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,70,1000,452,59,0.0015066666666666666,0.058999999999999997,2,1,320.36039999999991,432,1147.9000000000001,13440,1024,39168000,16590000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,84,1000,450,59,0.0015,0.058999999999999997,0,0,325.74869999999981,435.19999999999999,1410,16128,1024,39168000,18732000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,98,1000,450,59,0.0015,0.058999999999999997,0,0,330.82909999999987,447,630.89999999999998,18816,1024,39168000,20482000,36.029000000000003
CC-B-R12-S,-0.5,FINITE_TRACEBACK,112,1000,450,59,0.0015,0.058999999999999997,0,0,333.83130000000045,448.89999999999998,721.39999999999998,21504,1024,39168000,21840000,36.029000000000003
CC-B-R12-S,0,FULL_BLOCK_ZERO_TERMINATED,306,1000,102,16,0.00034000000000000002,0.016,0,0,286.14479999999975,398.30000000000001,677.89999999999998,58752,1024,39168000,306000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,35,1000,144,29,0.00048000000000000001,0.029000000000000001,64,17,319.64949999999982,443.19999999999999,843.70000000000005,6720,1024,39168000,9520000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,49,1000,107,19,0.00035666666666666664,0.019,7,5,324.59260000000052,444.60000000000002,792.29999999999995,9408,1024,39168000,12642000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,70,1000,102,16,0.00034000000000000002,0.016,0,0,334.85350000000022,459.89999999999998,742.89999999999998,13440,1024,39168000,16590000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,84,1000,102,16,0.00034000000000000002,0.016,0,0,341.85839999999996,472.5,751.5,16128,1024,39168000,18732000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,98,1000,102,16,0.00034000000000000002,0.016,0,0,343.75269999999978,469.60000000000002,880.20000000000005,18816,1024,39168000,20482000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,112,1000,102,16,0.00034000000000000002,0.016,0,0,347.68799999999953,468,858.39999999999998,21504,1024,39168000,21840000,35.343000000000004
CC-B-R23-S,0.5,FULL_BLOCK_ZERO_TERMINATED,306,1000,3160,231,0.010533333333333334,0.23100000000000001,0,0,282.35340000000014,403.60000000000002,1322.3,58752,1024,39168000,306000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,35,1000,5807,532,0.019356666666666668,0.53200000000000003,4279,475,309.17389999999966,433.10000000000002,526.60000000000002,6720,1024,39168000,9520000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,49,1000,4102,378,0.013673333333333332,0.378,1932,269,315.47169999999977,441.10000000000002,1506.4000000000001,9408,1024,39168000,12642000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,70,1000,3340,261,0.011133333333333334,0.26100000000000001,472,80,326.38920000000013,456,1010.5,13440,1024,39168000,16590000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,84,1000,3251,241,0.010836666666666666,0.24099999999999999,183,32,328.73010000000011,455.30000000000001,752.10000000000002,16128,1024,39168000,18732000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,98,1000,3204,234,0.01068,0.23400000000000001,74,11,335.19149999999956,468.80000000000001,716.89999999999998,18816,1024,39168000,20482000,49.914000000000001
CC-B-R23-S,0.5,FINITE_TRACEBACK,112,1000,3174,232,0.010580000000000001,0.23200000000000001,26,7,335.26750000000038,463.19999999999999,761.39999999999998,21504,1024,39168000,21840000,49.914000000000001
CC-B-R23-S,1,FULL_BLOCK_ZERO_TERMINATED,306,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,273.93409999999983,389.30000000000001,908.79999999999995,58752,1024,39168000,306000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,35,1000,1997,262,0.0066566666666666666,0.26200000000000001,1353,226,302.34849999999989,420.60000000000002,989,6720,1024,39168000,9520000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,49,1000,1283,142,0.0042766666666666665,0.14199999999999999,463,83,306.49830000000009,428.19999999999999,640.60000000000002,9408,1024,39168000,12642000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,70,1000,1078,94,0.0035933333333333334,0.094,100,15,317.32100000000048,434.69999999999999,1429,13440,1024,39168000,16590000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,84,1000,1057,89,0.0035233333333333332,0.088999999999999996,45,6,319.60489999999982,440.60000000000002,615.5,16128,1024,39168000,18732000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,98,1000,1050,88,0.0035000000000000001,0.087999999999999995,16,3,325.19420000000014,450.69999999999999,725.60000000000002,18816,1024,39168000,20482000,40.415999999999997
CC-B-R23-S,1,FINITE_TRACEBACK,112,1000,1039,88,0.0034633333333333335,0.087999999999999995,3,1,326.96479999999991,448,676,21504,1024,39168000,21840000,40.415999999999997
