caseId,ebn0Index,shardId,frameStart,frameCount,noiseChecksum
K200_S15,0,0,0,5000,4710635731224971598
K200_S15,1,0,0,5000,1028131558886363120
K200_S15,2,0,0,5000,4212718271510118462
K200_S15,3,0,0,16624,15557001234031866732
K200_S15,4,0,0,50000,15725741184883925921
K200_M255K207,0,0,0,5000,8474353307905923204
K200_M255K207,1,0,0,5000,2861715356162809149
K200_M255K207,2,0,0,5000,4685022587680936371
K200_M255K207,3,0,0,19156,6775229598744276561
K200_M255K207,4,0,0,50000,13260659384130587472
K200_M511K421,0,0,0,5000,7086544891254504691
K200_M511K421,1,0,0,5000,13626191657153415394
K200_M511K421,2,0,0,5000,3589073756582890935
K200_M511K421,3,0,0,30340,16413444065232311073
K200_M511K421,4,0,0,50000,1366611664121039730
K200_M511K385,0,0,0,5000,14457416419758695061
K200_M511K385,1,0,0,5000,1305433466086989427
K200_M511K385,2,0,0,5000,6347045640725955767
K200_M511K385,3,0,0,5094,5384157267920190792
K200_M511K385,4,0,0,50000,3902776609030867505
K300_S15,0,0,0,5000,2908129491496842402
K300_S15,1,0,0,5000,8253793691878297002
K300_S15,2,0,0,5037,7425911889026350277
K300_S15,3,0,0,39399,15647520523671782913
K300_S15,4,0,0,50000,3125759944899439918
K300_M255K207,0,0,0,5000,4672548671507209063
K300_M255K207,1,0,0,5000,15941489515079142591
K300_M255K207,2,0,0,5000,11002559017914716123
K300_M255K207,3,0,0,50000,16885626220029250774
K300_M255K207,4,0,0,50000,686557967593665998
K300_M511K421,0,0,0,5000,17770683775736186193
K300_M511K421,1,0,0,5000,9869074855149363295
K300_M511K421,2,0,0,5000,17627029413124696757
K300_M511K421,3,0,0,24731,15456301492719835511
K300_M511K421,4,0,0,50000,10339475474056528832
K300_M511K385,0,0,0,5000,11070980721635859434
K300_M511K385,1,0,0,5000,9968966202818796958
K300_M511K385,2,0,0,5000,15121376238960676254
K300_M511K385,3,0,0,50000,9640576369654968694
K300_M511K385,4,0,0,50000,10292495450079799529
