caseId,actualLength,algorithm,alpha,snrDb,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgIterations,avgDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,validCodewordRate,nanInfCount
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,2.5,0.0082333333333333338,0.83999999999999997,0.007271884637116325,0.009320705998451643,0.7557973061072976,0.8990471151119521,13.27,446.37199999999984,1329.0449999999998,1574.4000000000001,0.62,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,2.5,0.0088000000000000005,0.83999999999999997,0.007804246945945915,0.00992153191975798,0.7557973061072976,0.8990471151119521,1.79,17.595000000000002,27.909999999999997,40.399999999999999,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,3,0.0045999999999999999,0.59999999999999998,0.0038951419897705476,0.005431712346690585,0.5020025867910618,0.6905987135675411,8.3399999999999999,295.58900000000006,1261.5749999999998,1763,0.78000000000000003,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,3,0.0045999999999999999,0.60999999999999999,0.0038951419897705476,0.005431712346690585,0.5120301704584073,0.6998312599360558,1.6899999999999999,18.940000000000001,27.615000000000002,180.30000000000001,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,3.5,0.0025666666666666667,0.40999999999999998,0.0020543084097856797,0.0032063999244230064,0.3186731302113651,0.5079856994658921,3.9100000000000001,146.91900000000001,959.15999999999997,1446.8,0.92000000000000004,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,3.5,0.0025999999999999999,0.41999999999999998,0.002083964454284151,0.003243402011109001,0.3279838267435473,0.5179351329695703,1.45,16.553999999999995,28.110000000000003,67.900000000000006,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,4,0.0012533333333333333,0.248,0.0009427206646595414,0.0016661176573593984,0.18056747174955892,0.3304594866794377,2.024,71.983199999999997,78.939999999999984,1456.2,0.97599999999999998,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,4,0.0012266666666666667,0.23999999999999999,0.0009198426232656064,0.0016356678282684928,0.17360066149258818,0.3219033432357416,1.304,12.481599999999997,18.5,31.800000000000001,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,4.5,0.00056818181818181815,0.11363636363636363,0.00042468939528722994,0.000760120041884877,0.08076798237188462,0.15758742049139146,1.1174242424242424,43.743560606060591,76.589999999999989,266.30000000000001,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,4.5,0.00056818181818181815,0.11363636363636363,0.00042468939528722994,0.000760120041884877,0.08076798237188462,0.15758742049139146,1.1022727272727273,11.374621212121204,18.469999999999999,32.899999999999999,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,5,0.00027333333333333333,0.051999999999999998,0.00020150418232238953,0.00037075755434959735,0.035730265115705276,0.07510114393784553,1.048,37.0916,64.194999999999908,196.19999999999999,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,5,0.00027333333333333333,0.051999999999999998,0.00020150418232238953,0.00037075755434959735,0.035730265115705276,0.07510114393784553,1.046,10.160200000000001,16.404999999999994,65.5,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_SPA_BP,0,5.5,0.00012666666666666666,0.024,8.109606670460428e-05,0.00019783984862780743,0.013781314655496986,0.041477057463900756,1.024,34.917400000000022,55.404999999999994,127.40000000000001,1,0
LDPC_BG2_K300_N480,480,DIRECT_LAYERED_NMS,1,5.5,0.00012666666666666666,0.024,8.109606670460428e-05,0.00019783984862780743,0.013781314655496986,0.041477057463900756,1.026,9.919599999999992,15.204999999999995,145.09999999999999,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,2.5,0.0082333333333333338,0.83999999999999997,0.007271884637116325,0.009320705998451643,0.7557973061072976,0.8990471151119521,14.9,629.46500000000015,1726.165,2088.5999999999999,0.56999999999999995,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,2.5,0.0089333333333333331,0.81000000000000005,0.007929673929399502,0.010062737461042257,0.7222115462093562,0.8748524849023126,1.96,23.213999999999992,35.104999999999997,48.399999999999999,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,3,0.0047000000000000002,0.62,0.003986919262134974,0.005539909467879559,0.5220975529551107,0.7090240074752127,8.1300000000000008,328.93800000000005,1493.9499999999998,1672.5999999999999,0.79000000000000004,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,3,0.0048666666666666667,0.57999999999999996,0.004140074563932926,0.0057200448220039385,0.4820648670304296,0.6720161732564526,1.79,19.362000000000002,29.854999999999997,38.200000000000003,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,3.5,0.0023666666666666667,0.37,0.0018768891635698082,0.00298387038353208,0.2818236053432453,0.46779470419057084,4.8300000000000001,184.81199999999993,1101.1199999999999,1765.0999999999999,0.89000000000000001,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,3.5,0.0025333333333333332,0.37,0.002024676184743655,0.0031693740182805645,0.2818236053432453,0.46779470419057084,1.49,17.289000000000001,29.439999999999994,73.099999999999994,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,4,0.0011363636363636363,0.22727272727272727,0.0008494309589298463,0.001520072992303487,0.1640920693359151,0.30587828709968956,2.606060606060606,100.55909090909088,158.74999999999898,1365.0999999999999,0.95454545454545459,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,4,0.0011363636363636363,0.22727272727272727,0.0008494309589298463,0.001520072992303487,0.1640920693359151,0.30587828709968956,1.2272727272727273,14.23484848484849,25.844999999999999,30.899999999999999,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,4.5,0.00058365758754863812,0.11673151750972763,0.0004362575403958107,0.00078082136313473,0.08300200829960871,0.1617499537133763,1.2684824902723735,51.51828793774321,86.060000000000002,1079.0999999999999,0.99610894941634243,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,4.5,0.0005966277561608301,0.12062256809338522,0.00044736403340988457,0.0007956539149485089,0.0862927019516722,0.16612675283275463,1.1517509727626458,13.336186770428023,21.199999999999996,45.899999999999999,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,5,0.00024000000000000001,0.042000000000000003,0.00017337231999244122,0.0003322244572841878,0.027632310108451703,0.06335158575433016,1.206,52.208600000000018,88.924999999999983,1126.7,0.996,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,5,0.00024000000000000001,0.042000000000000003,0.00017337231999244122,0.0003322244572841878,0.027632310108451703,0.06335158575433016,1.0840000000000001,13.119000000000002,20.899999999999999,53.600000000000001,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_SPA_BP,0,5.5,0.00013999999999999999,0.021999999999999999,9.157487569023445e-05,0.00021402702340032046,0.012328008269927582,0.03896086121131637,1.032,50.375799999999998,83.514999999999986,496.69999999999999,1,0
LDPC_BG2_K300_N560,560,DIRECT_LAYERED_NMS,1,5.5,0.00013999999999999999,0.021999999999999999,9.157487569023445e-05,0.00021402702340032046,0.012328008269927582,0.03896086121131637,1.032,13.098599999999994,18.414999999999985,39.200000000000003,1,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-3,0.12143333333333334,1,0.11778562028672417,0.12517798385129153,0.9630065017930143,1.0,32,4628.4089999999997,5962.6099999999997,6818.8000000000002,0,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-3,0.14763333333333334,1,0.14366430747349496,0.1516925877755113,0.9630065017930143,1.0,32,1256.1009999999997,1717.3299999999997,2017.7,0,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-2.5,0.086400000000000005,0.90000000000000002,0.08327348348796172,0.08963242477517984,0.8256343384950865,0.9447708629393249,29.989999999999998,4631.8559999999998,6244.4749999999995,7080.8000000000002,0.10000000000000001,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-2.5,0.10476666666666666,0.90000000000000002,0.10135161173911024,0.10828292680667224,0.8256343384950865,0.9447708629393249,30.390000000000001,1215.1300000000001,1679.6900000000001,1736.9000000000001,0.10000000000000001,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-2,0.046666666666666669,0.58999999999999997,0.04433737039546768,0.04911204549578998,0.4920143005341078,0.6813268697886348,22.890000000000001,3458.4170000000026,5829.0800000000008,6386,0.40999999999999998,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-2,0.058166666666666665,0.64000000000000001,0.055574230293141576,0.06087224085675697,0.5423540245160874,0.7272877959859567,24.609999999999999,930.94200000000023,1476.05,1616.8,0.35999999999999999,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-1.5,0.017037037037037038,0.23809523809523808,0.015780685806907387,0.018391541378731478,0.17217521538203126,0.31951256601340594,13.373015873015873,1845.3055555555561,5011.625,6002.3999999999996,0.76190476190476186,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,0.021693121693121695,0.26190476190476192,0.02027240495262795,0.023211045283806686,0.1929959484262891,0.3449020346604721,15.206349206349206,548.54365079365084,1318.9749999999999,2007.9000000000001,0.73809523809523814,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-1,0.0022866666666666669,0.035999999999999997,0.0020573631431400462,0.002541462141011564,0.02289106098029272,0.056184326968027755,6.6340000000000003,981.27459999999974,2172.7699999999982,6082.5,0.96399999999999997,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-1,0.0029733333333333335,0.050000000000000003,0.0027102358550369684,0.0032618875926590163,0.034093745243849435,0.0727681611715476,7.5279999999999996,274.67240000000004,799.75499999999931,1565.3,0.94999999999999996,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,-0.5,0.00033333333333333332,0.0060000000000000001,0.00025287029111629284,0.0004393883724673384,0.002042596271960238,0.017490252104053375,4.4279999999999999,615.14600000000019,1036.369999999999,4918,0.99399999999999999,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_NMS,0.80000000000000004,-0.5,0.00039333333333333332,0.0080000000000000002,0.0003049712978329233,0.0005072842926623522,0.00311531518006224,0.020387035834105168,4.71,169.30060000000006,283.11999999999972,1523.0999999999999,0.99199999999999999,0
LDPC_BG2_K300_N640,640,DIRECT_LAYERED_SPA_BP,0,0,0,0,0.0,2.5609069630051364e-05,4.336808689942018e-19,0.007624340461552241,3.278,496.50799999999998,799.80999999999995,1623.0999999999999,1,0
