caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,status,berCiLow,berCiHigh,ferCiLow,ferCiHigh,metric,sourceValue,plotValue,zeroAdjusted
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,4,4,6.0411998265592484,0.19905358527674863,125,46,30,0.0012266666666666667,0.23999999999999999,1.304,1,2,3,1,0,12.481599999999997,9.5999999999999996,18.5,31.800000000000001,0,1,0,672,15648,109536,109536,0,0,109536,219072,68054,109536,109536,9696,2026072001,2026073241,480,10000,10124,2001,,10000:10124,TARGET_FRAME_ERRORS_REACHED,PASS,0.0009198426232656064,0.0016356678282684928,0.17360066149258818,0.3219033432357416,BER,0.0012266666666666667,0.0012266666666666667,false
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,4.5,4.5,6.5411998265592484,0.17740669461678774,264,45,30,0.00056818181818181815,0.11363636363636363,1.1022727272727273,1,2,2,1,0,11.374621212121204,9.4000000000000004,18.469999999999999,32.899999999999999,0,1,0,672,27936,195552,195552,0,0,195552,391104,122885,195552,195552,9696,2026072001,2026073241,480,10000,10263,2001,,10000:10263,TARGET_FRAME_ERRORS_REACHED,PASS,0.00042468939528722994,0.000760120041884877,0.08076798237188462,0.15758742049139146,BER,0.0005681818181818182,0.0005681818181818182,false
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,5,5,7.0411998265592484,0.15811388300841897,500,41,26,0.00027333333333333333,0.051999999999999998,1.046,1,1,2,1,0,10.160200000000001,9.0999999999999996,16.404999999999994,65.5,0,1,0,672,50208,351456,351456,0,0,351456,702912,221955,351456,351456,9696,2026072001,2026073241,480,10000,10499,2001,,10000:10499,MAX_FRAMES_REACHED,PASS,0.00020150418232238953,0.00037075755434959735,0.035730265115705276,0.07510114393784553,BER,0.00027333333333333333,0.00027333333333333333,false
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,5.5,5.5,7.5411998265592484,0.14091914656322269,500,19,12,0.00012666666666666666,0.024,1.026,1,1,2,1,0,9.919599999999992,8.9000000000000004,15.204999999999995,145.09999999999999,0,1,0,672,49248,344736,344736,0,0,344736,689472,218689,344736,344736,9696,2026072001,2026073241,480,10000,10499,2001,,10000:10499,MAX_FRAMES_REACHED,PASS,8.109606670460428e-05,0.00019783984862780743,0.013781314655496986,0.041477057463900756,BER,0.00012666666666666666,0.00012666666666666666,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,2.5,2.5,5.2106677228653799,0.28117066259517454,100,247,84,0.0082333333333333338,0.83999999999999997,14.9,2,32,32,0.56999999999999995,0.42999999999999999,629.46500000000015,120.84999999999999,1726.165,2088.5999999999999,0.68999999999999995,0.56999999999999995,0,784,166880,1168160,1168160,2336320,1168160,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10099,2001,,10000:10099,TARGET_FRAME_ERRORS_REACHED,PASS,0.007271884637116325,0.009320705998451643,0.7557973061072976,0.8990471151119521,BER,0.008233333333333334,0.008233333333333334,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,3,3,5.7106677228653799,0.25059361681363618,100,141,62,0.0047000000000000002,0.62,8.1300000000000008,2,32,32,0.79000000000000004,0.20999999999999999,328.93800000000005,75.700000000000003,1493.9499999999998,1672.5999999999999,0.25,0.79000000000000004,0,784,91056,637392,637392,1274784,637392,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10099,2001,,10000:10099,TARGET_FRAME_ERRORS_REACHED,PASS,0.003986919262134974,0.005539909467879559,0.5220975529551107,0.7090240074752127,BER,0.0047,0.0047,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,3.5,3.5,6.2106677228653799,0.22334179607548157,100,71,37,0.0023666666666666667,0.37,4.8300000000000001,1,32,32,0.89000000000000001,0.11,184.81199999999993,65.799999999999997,1101.1199999999999,1765.0999999999999,0.11,0.89000000000000001,0,784,54096,378672,378672,757344,378672,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10099,2001,,10000:10099,TARGET_FRAME_ERRORS_REACHED,PASS,0.0018768891635698082,0.00298387038353208,0.2818236053432453,0.46779470419057084,BER,0.0023666666666666667,0.0023666666666666667,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,4,4,6.7106677228653799,0.19905358527674863,132,45,30,0.0011363636363636363,0.22727272727272727,2.606060606060606,1,2.4499999999999886,32,0.95454545454545459,0.045454545454545456,100.55909090909088,37.950000000000003,158.74999999999898,1365.0999999999999,0.045454545454545456,0.95454545454545459,0,784,38528,269696,269696,539392,269696,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10131,2001,,10000:10131,TARGET_FRAME_ERRORS_REACHED,PASS,0.0008494309589298463,0.001520072992303487,0.1640920693359151,0.30587828709968956,BER,0.0011363636363636363,0.0011363636363636363,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,4.5,4.5,7.2106677228653799,0.17740669461678774,257,45,30,0.00058365758754863812,0.11673151750972763,1.2684824902723735,1,2,32,0.99610894941634243,0.0038910505836575876,51.51828793774321,37.5,86.060000000000002,1079.0999999999999,0.0038910505836575876,0.99610894941634243,0,784,36512,255584,255584,511168,255584,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10256,2001,,10000:10256,TARGET_FRAME_ERRORS_REACHED,PASS,0.0004362575403958107,0.00078082136313473,0.08300200829960871,0.1617499537133763,BER,0.0005836575875486381,0.0005836575875486381,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,5,5,7.7106677228653799,0.15811388300841897,500,36,21,0.00024000000000000001,0.042000000000000003,1.206,1,2,32,0.996,0.0040000000000000001,52.208600000000018,39.650000000000006,88.924999999999983,1126.7,0.0040000000000000001,0.996,0,784,67536,472752,472752,945504,472752,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10499,2001,,10000:10499,MAX_FRAMES_REACHED,PASS,0.00017337231999244122,0.0003322244572841878,0.027632310108451703,0.06335158575433016,BER,0.00024,0.00024,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_SPA_BP,0,5.5,5.5,8.2106677228653808,0.14091914656322269,500,21,11,0.00013999999999999999,0.021999999999999999,1.032,1,1,2,1,0,50.375799999999998,42.049999999999997,83.514999999999986,496.69999999999999,0,1,0,784,57792,404544,404544,809088,404544,0,0,0,0,0,11312,2026072001,2026073241,560,10000,10499,2001,,10000:10499,MAX_FRAMES_REACHED,PASS,9.157487569023445e-05,0.00021402702340032046,0.012328008269927582,0.03896086121131637,BER,0.00014,0.00014,false
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,148,112,DIRECT_LAYERED_NMS,1,2.5,2.5,5.2106677228653799,0.28117066259517454,100,268,81,0.0089333333333333331,0.81000000000000005,1.96,2,3,3,1,0,23.213999999999992,21.399999999999999,35.104999999999997,48.399999999999999,0,1,0,784,21952,153664,153664,0,0,153664,307328,94360,153664,153664,11312,2026072001,2026073241,560,10000,10099,2001,,10000:10099,TARGET_FRAME_ERRORS_REACHED,PASS,0.007929673929399502,0.010062737461042257,0.7222115462093562,0.8748524849023126,BER,0.008933333333333333,0.008933333333333333,false
