seedId,messageBits,originalCodeword,errorWeight,errorPositions,receivedCodeword,syndromeBefore,lookupHit,correctedPosition,syndromeAfter,status,correctedCodeword,decodedMessage,payloadRecovered,codewordRecovered,miscorrection
T3_04,00000000000,000000000000000,3,"4;5;6",000011100000000,1000,true,11,0000,CORRECTED_SINGLE_ERROR,000011100001000,00001110000,false,false,true
T3_04,11111111111,111111111111111,3,"4;5;6",111100011111111,1000,true,11,0000,CORRECTED_SINGLE_ERROR,111100011110111,11110001111,false,false,true
T3_04,10101010101,101010101011011,3,"4;5;6",101001001011011,1000,true,11,0000,CORRECTED_SINGLE_ERROR,101001001010011,10100100101,false,false,true
T3_04,01010101010,010101010100100,3,"4;5;6",010110110100100,1000,true,11,0000,CORRECTED_SINGLE_ERROR,010110110101100,01011011010,false,false,true
T3_05,00000000000,000000000000000,3,"2;8;13",001000001000010,0001,true,14,0000,CORRECTED_SINGLE_ERROR,001000001000011,00100000100,false,false,true
T3_05,11111111111,111111111111111,3,"2;8;13",110111110111101,0001,true,14,0000,CORRECTED_SINGLE_ERROR,110111110111100,11011111011,false,false,true
T3_05,10101010101,101010101011011,3,"2;8;13",100010100011001,0001,true,14,0000,CORRECTED_SINGLE_ERROR,100010100011000,10001010001,false,false,true
T3_05,01010101010,010101010100100,3,"2;8;13",011101011100110,0001,true,14,0000,CORRECTED_SINGLE_ERROR,011101011100111,01110101110,false,false,true
T3_06,00000000000,000000000000000,3,"10;11;12",000000000011100,1111,true,2,0000,CORRECTED_SINGLE_ERROR,001000000011100,00100000001,false,false,true
T3_06,11111111111,111111111111111,3,"10;11;12",111111111100011,1111,true,2,0000,CORRECTED_SINGLE_ERROR,110111111100011,11011111110,false,false,true
T3_06,10101010101,101010101011011,3,"10;11;12",101010101000111,1111,true,2,0000,CORRECTED_SINGLE_ERROR,100010101000111,10001010100,false,false,true
T3_06,01010101010,010101010100100,3,"10;11;12",010101010111000,1111,true,2,0000,CORRECTED_SINGLE_ERROR,011101010111000,01110101011,false,false,true
T4_01,00000000000,000000000000000,4,"0;1;2;3",111100000000000,0101,true,6,0000,CORRECTED_SINGLE_ERROR,111100100000000,11110010000,false,false,true
T4_01,11111111111,111111111111111,4,"0;1;2;3",000011111111111,0101,true,6,0000,CORRECTED_SINGLE_ERROR,000011011111111,00001101111,false,false,true
T4_01,10101010101,101010101011011,4,"0;1;2;3",010110101011011,0101,true,6,0000,CORRECTED_SINGLE_ERROR,010110001011011,01011000101,false,false,true
T4_01,01010101010,010101010100100,4,"0;1;2;3",101001010100100,0101,true,6,0000,CORRECTED_SINGLE_ERROR,101001110100100,10100111010,false,false,true
T4_02,00000000000,000000000000000,4,"0;10;11;14",100000000011001,0011,true,10,0000,CORRECTED_SINGLE_ERROR,100000000001001,10000000000,false,false,true
T4_02,11111111111,111111111111111,4,"0;10;11;14",011111111100110,0011,true,10,0000,CORRECTED_SINGLE_ERROR,011111111110110,01111111111,false,false,true
T4_02,10101010101,101010101011011,4,"0;10;11;14",001010101000010,0011,true,10,0000,CORRECTED_SINGLE_ERROR,001010101010010,00101010101,false,false,true
T4_02,01010101010,010101010100100,4,"0;10;11;14",110101010111101,0011,true,10,0000,CORRECTED_SINGLE_ERROR,110101010101101,11010101010,false,false,true
