module,figureId,title,logScale,sourceFiles,pngPath,pngSha256,dataPath,manifestPath,gate
Stage11,ldpc__awgn__avgiterations,AWGN下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__avgiterations/figure.png,eb5b074c166cb2402772cbcac6799260cb67ab5dba161716d57906492ce80d5d,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__awgn__maxiterationrate,AWGN下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__maxiterationrate/figure.png,1ef2680cb387ef373998927a5cbf1a78c20cfefd43eac8e70e9088b83b2cf62d,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__awgn__maxiterationrate/plot_manifest.json,PASS
Stage11,ldpc__cfo_30_deg__avgiterations,30°载波频偏下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__avgiterations/figure.png,829314782287b640dc44a30889517884135a0ed7b1314b5eab3cf2213cf5d7b4,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__cfo_30_deg__maxiterationrate,30°载波频偏下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__maxiterationrate/figure.png,4b73134b05be2d2f304a041826ac02b91ea962916db21863d396e55705777380,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__cfo_30_deg__maxiterationrate/plot_manifest.json,PASS
Stage11,ldpc__fixed_multipath_real_mmse__avgiterations,固定多径下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__avgiterations/figure.png,9347a15f35ecf029336b4f1257857b1425949abc5473525c3a17dc1dac657a70,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__fixed_multipath_real_mmse__maxiterationrate,固定多径下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__maxiterationrate/figure.png,4ac20a49bfdb0a83f18e001ad46203d269896602c98061c345ebec8510d0028b,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__fixed_multipath_real_mmse__maxiterationrate/plot_manifest.json,PASS
Stage11,ldpc__known_blockage_5_percent__avgiterations,短时遮挡（5%）下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__avgiterations/figure.png,86b1a04933fb07eb40a55e26b3177a7ab6ddf6ca45f8fcea2233f4814960e216,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__known_blockage_5_percent__maxiterationrate,短时遮挡（5%）下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__maxiterationrate/figure.png,0a0bd815ccb9c71290f04a58f7e493c7a5cf4c4dac41a70e5fcf36656935a2e5,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__known_blockage_5_percent__maxiterationrate/plot_manifest.json,PASS
Stage11,ldpc__linear_time_varying_frequency__avgiterations,多普勒频移下LDPC平均译码迭代次数,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__avgiterations/figure.png,a04221e96a3fb9f7cfa2424cc4ec75563ff74e8e9d33761ee16a059789a8783c,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__avgiterations/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__avgiterations/plot_manifest.json,PASS
Stage11,ldpc__linear_time_varying_frequency__maxiterationrate,多普勒频移下LDPC最大迭代帧比例,false,Task/Comparison/S5/results/formal/merged/formal_merged_results.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__maxiterationrate/figure.png,0d5140a1c3816583e1f4c49994ac90d25ccf5ad7e0e03a4e3229505efdf47648,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__maxiterationrate/figure_data.csv,Task/Comparison/S6/results/stage11_chinese/plots/ldpc__linear_time_varying_frequency__maxiterationrate/plot_manifest.json,PASS
