role,path,fileSizeBytes,rowCount,sha256,status
BCH正式点表,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_formal_results.csv,61340,62,d251bb0b46ab49aa3ccd97f6c32fedc10220b5fe32409d399cf88ff1ad0507ac,CURRENT
BCH复杂度,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_complexity_results.csv,149712,2046,54fb7dd7d5fa0c1a7879978471925cbe85aab542f89ff2addc161ff808404d63,CURRENT
BCH内存,Task/Comparison/S6/results/bch/formal_v02_20260804/bch_memory_results.csv,8278,62,71a23ee66f4df3a132a10e5f78445ce3f8163876e005b2fbab479d138c7001d8,CURRENT
BCH执行环境,Task/Comparison/S6/results/bch/formal_v02_20260804/execution_environment.json,2946,,a5c255304915e9808787f8db59cf6e433f5c9a87f29cc0612c61b6ddd1c5e1a2,CURRENT
CC整合结果,Task/Comparison/S6/results/cc/cc_integrated_results.csv,138716,248,f447eb9613d6fbb0e4b710fe4eff92e501d6fd0a1c8e0c1124edec395bf8d952,CURRENT
LDPC N560整合结果,Task/Comparison/S6/results/ldpc/ldpc_n560_integrated_results.csv,41224,62,66135340c79acfb05e68615eccdc75d699b7c38b3970ddb668a06d5c7b455d18,CURRENT
Stage11绘图审计,Task/Comparison/S6/results/stage11_chinese/plot_audit_summary.json,36255,,4d4ff1f14b022161e655ae8dfc70719ce80f995a851e238fc09062c9209cc8bc,CURRENT
S6最终绘图审计,Task/Comparison/S6/results/summary/s6_plot_summary.json,6387,,fdc4b21d2967bbc1f72fbc59124e2d5151e48bf7ea86f9e9ca3b36e69791cbfd,CURRENT
