caseName,checkpointPath,nextFrameIndex,missingRequiredFields,temporaryFileExists,status
BCH-S200,resume\bch_s200\state.json,6000,,False,PASS
BCH-B200,resume\bch_b200\state.json,6000,,False,PASS
BCH-S300,resume\bch_s300\state.json,6000,,False,PASS
BCH-B300,resume\bch_b300\state.json,6000,,False,PASS
