caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDefinition,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,zeroBitErrorPoint,zeroFrameErrorPoint,berUpper95,ferUpper95,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,correctValidFrames,wrongValidFrames,correctInvalidFrames,wrongInvalidFrames,wrongValidRate,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,atanhClampCount,llrClampCount,messageClampCount,nanInfCount,avgEdgeMessageUpdates,avgTheoreticalOperationCount,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,payloadHash,codewordHash,llrHash,frameStart,frameEnd,runId,maxIterations,earlyStopPolicy,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointResumeCount,codeCommit,configHash,status
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_SPA_BP,0.0,Es/N0,0.0,0.0,3.2905871926422474,0.5,50000,488,32,3.2533333333333336e-05,0.00064,2.977211444017207e-05,3.555063275223132e-05,0.0004534022342290128,0.000903322706125082,false,false,1.9971546494357284e-07,5.991285062456608e-05,3.28518,3.0,5.0,32,0.99934,0.00066,707.2416240000001,650.3,1264.8,17614.1,0.01792,0.99938,49968,1,0,31,2e-05,2240,52562880,367940160,367940160,735880320,367940160,0,0,0,0,0,775190,0,0,0,7358.8032,29435.2128,23680,2026072001,2026073001,640,4478654089032902876,15621819794463164616,7584662883759765214,100000,149999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,MAX_FRAMES_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS
LDPC_BG2_K300_N640,640,640,0.46875,40,20,320,DIRECT_LAYERED_NMS,0.8,Es/N0,0.0,0.0,3.2905871926422474,0.5,50000,209,23,1.3933333333333333e-05,0.00046,1.2168065571807772e-05,1.5954691147411045e-05,0.0003065555732655911,0.0006901970234671961,false,false,1.9971546494357284e-07,5.991285062456608e-05,3.40752,3.0,5.0,32,0.99956,0.00044,178.72070399999998,163.1,298.4049999999995,4971.9,0.00202,0.99956,49977,1,0,22,2e-05,2240,54520320,381642240,381642240,0,0,381642240,763284480,240054294,381642240,381642240,0,0,0,0,7632.8448,50598.15468,23680,2026072001,2026073001,640,4478654089032902876,15621819794463164616,7584662883759765214,100000,149999,140001,32,SYNDROME_AFTER_FULL_ITERATION,1000,200,50000,MAX_FRAMES_REACHED,0,989d8b590d858a01457df3c60d05012d79c30363,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,PASS
