"schemaVersion","stage","caseName","organization","decoderType","payloadLength","encodedLength","frameRate","esN0Db","ebn0Db","ebn0Linear","noiseSigma","noiseVariance","globalSeed","noisePolicyVersion","snrIndex","frameStart","requestedFrameCount","logicalFrameCount","processedFrames","processedPayloadBits","channelHardBitErrors","channelHardFrameErrors","decodedBitErrors","decodedFrameErrors","BER","FER","trueSuccessFrames","trueSuccessRate","reportedSuccessFrames","reportedSuccessRate","miscorrectedFrames","miscorrectionRate","decoderFailureFrames","decoderFailureRate","noErrorStatusFrames","correctedStatusFrames","failedStatusFrames","avgEncodeTimeUs","avgDecodeTimeUs","medianDecodeTimeUs","p95DecodeTimeUs","p99DecodeTimeUs","maxDecodeTimeUs","totalDecodeTimeUs","timedFrames","decoderMemoryBytes","peakWorkspaceBytes","memoryMeasurementMethod","firstNoiseHash","lastNoiseHash","stopReason","targetFrameErrors","minFrames","maxFrames","checkpointCount","resumeCount","shardIndex","shardCount","configHash","gitCommit","environmentHash"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-5.000000","-3.4618513565547095","0.45062456657399413","1.2574334296829353","1.5811388300841893","20260804","1","0","0","50000","50000","1000","200000","60931","1000","48459","1000","0.24229500000000001","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.0119999999999814","9.4294000000000011","8.3000000000000007","13.9","19.405999999999992","115.2","9429.4000000000015","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","3f6c5bbeafb23dbd1186167b6adf8aafa2503db867644c8e43e279698642c737","249a26e5762c8ac24068374d78149dbd35ce7301b81359b16298939dda2e5ffd","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","0f8ad19c7bf48c4646ddcabb73090c5d9bb3017b2c2ee037e9c3d5861530b93e","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-4.500000","-2.9618513565547095","0.50560907965784507","1.187093705497686","1.4091914656322269","20260804","1","1","0","50000","50000","1000","200000","56765","1000","45517","1000","0.22758500000000001","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.3062999999999776","9.4966999999999988","8.1999999999999993","14.199999999999999","16.901999999999994","34.5","9496.6999999999989","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","cf08eb9e8ce8a86b9118305196c1c2fc66edbcc9a21b6045de336f0708066c05","b58d20b2586a2bfba9271681fd2fae0698b96610293c0dddc9aa4bb11541e3e2","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","192edac84b77983b9a170dcf49fd48d2c2ebcf2c461b0bca636a44d076be959d","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-4.000000","-2.4618513565547095","0.56730271803873367","1.1206887238456493","1.2559432157547901","20260804","1","2","0","50000","50000","1000","200000","53404","1000","43002","1000","0.21501000000000001","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.3335999999999846","9.8424000000000014","8.3000000000000007","14.604999999999995","17.303999999999998","157.19999999999999","9842.4000000000015","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","b9da0a16d72303200c19082820b513d4362cbe23e3fb83959c71677861af502f","701370af56a5e94123c1a73b5433c70ffe7428b2504ce097be663c286ea85718","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","cf67407003591c0687560e88ab786e96f64d5ad824b20c1d5289a5c839a06ca1","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-3.500000","-1.9618513565547095","0.6365241188151225","1.0579983786774769","1.1193605692841699","20260804","1","3","0","50000","50000","1000","200000","49353","1000","39679","1000","0.19839499999999999","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.1227000000000369","9.4024999999999963","8.6999999999999993","12.604999999999995","17.802","53.100000000000001","9402.4999999999964","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","0338a8a83cb27e4f4f8a428f9d90f4cf877c5b2746091ff481e1df3e47037a03","246af130e07ccf7aea31b91b7f873d44aa2c3eaa5f8bf738896c8159d887884e","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","9bc14548e6153a4adba9756c683bede13ff537b5528c90dc0f930397fc2e5359","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-3.000000","-1.4618513565547095","0.71419180791886305","0.9988148764833451","0.99763115748443998","20260804","1","4","0","50000","50000","1000","200000","45276","1000","36396","1000","0.18198","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.1280999999999786","9.3311999999999884","8.4000000000000004","13.5","16.700999999999997","80.799999999999997","9331.199999999988","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","cedf7ff5b69046894ff0e63e275e91304a537d07776ee633521dae1c5689894f","d65a84afcae7657591d34887bfba76b7ed0e91a65e0d3c84579b5233394554ca","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","b34b5f54f1f8968279baf86533bad94b2eaa324ff52ff36fbe28054b5eb7dbb4","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-2.500000","-0.96185135655470955","0.80133638839624755","0.94294204754028299","0.88913970501946127","20260804","1","5","0","50000","50000","1000","200000","41392","1000","32991","1000","0.16495499999999999","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.0445999999999676","9.124800000000004","8.1999999999999993","13.504999999999995","16.802","59","9124.8000000000047","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","c609aae05af67a1bd7156782696a5dfad52a5b03662920a605369ed1be9fa344","911d7bc5534a319900a15bea48d2ae0f59bf5b765bd0855ed91a75150a4ca1ce","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","f942c824bec45b83f6a4d03a894f60016cefcaca45895556838b3be58a56d469","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-2.000000","-0.46185135655470955","0.89911421588427543","0.89019469568772236","0.79244659623055658","20260804","1","6","0","50000","50000","1000","200000","37237","1000","28877","1000","0.14438500000000001","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.2477999999999776","9.3899999999999988","8.3000000000000007","13.604999999999995","17.802","84.299999999999997","9389.9999999999982","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","1001e8697f4d65d32a10cf440c2ef85c78f92789d859b02bfe53b59faa47307c","26cc0e2ed48a38ec472a5284b24d19ebff8d8b73cbd81aab9da7d401f367761b","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","3a4e20759c5c9f9db78a1230ea9aeec4bea1cb27fc3f6baa2ac6afc88a540a59","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-1.500000","0.038148643445290453","1.0088227427473966","0.8403979844760322","0.7062687723113773","20260804","1","7","0","50000","50000","1000","200000","33193","1000","25415","1000","0.12707499999999999","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.0756999999999715","9.2810999999999808","8.1999999999999993","13.5","17.201999999999998","93","9281.0999999999804","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","14469f5edc7cf755f8a31dfdfed41ae9f194acaf0625b26777977fa5168e6613","e1cd46b6b75081e232bb70005ab01f8d5276dedb72cf0688693100fc0ab4d30f","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","8e4557bf3b86692b9ea9964ca999685b67c399c7a834542fc83e0f9df2358448","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-1.000000","0.53814864344529045","1.1319177344821012","0.79338685765336681","0.62946270589708375","20260804","1","8","0","50000","50000","1000","200000","29663","1000","22014","1000","0.11007","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.4572999999999849","10.091299999999997","8.3000000000000007","14.4","18","288","10091.299999999997","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","a8dabd6790c44884221b4d68b2d81978c9e2f4e1d5c05471e1dee8dc3b2eed6b","703538365b376a7ea9728793b83e25bd42e282bdfd1c4754713e9ae534dd8fa3","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","9306ea1a5f86ad1c38e74169cb05192cc0203308f1adc4ca29031a16578c211a","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
"bch.s6.result.v1","stage03_bch_formal_rerun","BCH-S200","SEGMENTED","SYNDROME_LOOKUP","200","285","0.70175438596491224","-0.500000","1.0381486434452905","1.2700325868405875","0.74900549206997247","0.56100922715098156","20260804","1","9","0","50000","50000","1000","200000","25778","1000","18190","1000","0.090950000000000003","1","0","0","1000","1","1000","1","0","0","0","1000","0","3.5436999999999732","10.109999999999991","8.4000000000000004","14.300000000000001","18.309999999999992","44.899999999999999","10109.999999999991","1000","1580","779","EXACT_FROM_TYPE_AND_COUNT","91f90d82ae3a0a8a2ca3a1ef6f9497d64a1c7240cdc517455583a4bad5dc9a16","99dbc66701f6cb49a4c1ac6e14188d93eaab90d185967d1875fbe013d3c320f6","TARGET_FRAME_ERRORS_REACHED","200","1000","50000","1","0","0","1","c0d9476d1239fc47896fde402186b9b1718244db10d4395a1216cd39ee50fd4a","9d51fabdaa8446966f70c395d552576b3ab7fb52","665a26840a98297aed81257b9c0ac6dff3382cb0860e7521b8906882a7a6e259"
