caseId,configurationId,interleaverMode,interleaverDepth,burstLengthIndex,burstLengthBits,snrIndex,targetSnrDb,derivedEbN0Db,permutationSha256
K200_M255K207,NONE_LREP,NONE,1,1,12,2,1,1.934216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,6,3,3.934216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,10,5,5.9342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,14,7,7.9342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,18,9,9.9342168516223506,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,22,11,11.934216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,26,13,13.934216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,30,15,15.934216851622351,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,NONE_LREP,NONE,1,1,12,34,17,17.934216851622352,01aeb77782a2e6b0bac376fd888553f0b68e9ce200da0456fb5bed5a31560793
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,1,0.5,1.434216851622351,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,5,2.5,3.434216851622351,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,9,4.5,5.4342168516223506,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,13,6.5,7.4342168516223506,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,17,8.5,9.4342168516223506,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,21,10.5,11.434216851622351,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,25,12.5,13.434216851622351,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,29,14.5,15.434216851622351,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M255K207,BEST_LREP,ROW_COLUMN,4,1,12,33,16.5,17.434216851622352,bb300a094e912b7f4f05e394521c66e9cb15f60ab7f673ff809e87cbddceb4e8
K200_M511K421,NONE_L0,NONE,1,0,0,0,0,1.6136800223497485,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,4,2,3.6136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,8,4,5.6136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,12,6,7.6136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,16,8,9.6136800223497492,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,20,10,11.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,24,12,13.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,28,14,15.613680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,32,16,17.613680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_L0,NONE,1,0,0,36,18,19.613680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,3,1.5,3.1136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,7,3.5,5.1136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,11,5.5,7.1136800223497483,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,15,7.5,9.1136800223497492,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,19,9.5,11.113680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,23,11.5,13.113680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,27,13.5,15.113680022349749,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,31,15.5,17.113680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,NONE_LREP,NONE,1,1,12,35,17.5,19.113680022349747,12963ca35ab4094b767e55a8c018aef3caf7cb3defad556fc09ec032238f78d3
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,2,1,2.6136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,6,3,4.6136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,10,5,6.6136800223497483,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,14,7,8.6136800223497492,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,18,9,10.613680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,22,11,12.613680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,26,13,14.613680022349749,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,30,15,16.613680022349747,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K421,BEST_LREP,ROW_COLUMN,16,1,12,34,17,18.613680022349747,c33073850114663953bea2006362af5880a573405030b6ce08723895b15e287a
K200_M511K385,NONE_L0,NONE,1,0,0,1,0.5,2.6218760440395781,e2bc32e7a16158dd54b740330af587b34410850a36ed6f038cc4317de3f50926
