caseName,payloadLength,encodedLength,frameRate,sourceEbN0Db,sourceSnrIndex,warmupFrames,timedFramesPerRepetition,repetitions,publishedAvgDecodeTimeUs,minAvgDecodeTimeUs,maxAvgDecodeTimeUs,relativeSpan,snrDb
BCH-S200,200,285,0.70175438596491224,4.5,45,500,5000,3,14.969199999999988,13.568099999999999,14.983380000000011,0.094546134729979747,2.9618513565547095
BCH-S200,200,285,0.70175438596491224,4.7000000000000002,47,500,5000,3,18.917720000000003,13.750999999999971,24.031960000000062,0.54345661105038501,3.1618513565547097
BCH-S200,200,285,0.70175438596491224,4.9000000000000004,49,500,5000,3,18.533879999999936,17.844380000000022,19.804640000000056,0.10576630473489849,3.3618513565547099
BCH-S200,200,285,0.70175438596491224,5.0999999999999996,51,500,5000,3,15.422580000000014,15.38698000000004,17.067999999999991,0.10899732729542974,3.5618513565547092
BCH-S200,200,285,0.70175438596491224,5.2999999999999998,53,500,5000,3,14.903239999999979,13.536519999999937,17.943239999999989,0.29568872272070085,3.7618513565547094
BCH-S200,200,285,0.70175438596491224,5.5,55,500,5000,3,15.770419999999984,13.106840000000028,16.372660000000014,0.20708516323598158,3.9618513565547095
BCH-S200,200,285,0.70175438596491224,5.7000000000000002,57,500,5000,3,14.42911999999995,13.563020000000026,16.918460000000014,0.23254640615643912,4.1618513565547097
BCH-S200,200,285,0.70175438596491224,5.9000000000000004,59,500,5000,3,13.700799999999974,12.762040000000043,14.366120000000027,0.1170792946397281,4.3618513565547099
BCH-S200,200,285,0.70175438596491224,6.0999999999999996,61,500,5000,3,14.279099999999968,12.954859999999966,18.926699999999997,0.41822243698832867,4.5618513565547092
BCH-S200,200,285,0.70175438596491224,6.2999999999999998,63,500,5000,3,15.092099999999995,13.656279999999986,16.169479999999961,0.16652420802936474,4.7618513565547094
BCH-S200,200,285,0.70175438596491224,6.5,65,500,5000,3,13.828999999999985,13.056580000000039,14.543399999999945,0.10751464314121827,4.9618513565547095
BCH-S200,200,285,0.70175438596491224,6.7000000000000002,67,500,5000,3,13.931900000000017,13.77943999999999,14.81385999999998,0.074248307840279429,5.1618513565547097
BCH-S200,200,285,0.70175438596491224,6.9000000000000004,69,500,5000,3,14.374759999999998,13.455140000000005,18.716100000000015,0.36598593646085292,5.3618513565547099
BCH-S200,200,285,0.70175438596491224,7.0999999999999996,71,500,5000,3,13.946660000000024,12.685839999999986,16.076180000000058,0.24309332843849821,5.5618513565547092
BCH-S200,200,285,0.70175438596491224,7.2999999999999998,73,500,5000,3,12.750540000000029,12.24306,13.300400000000018,0.082925115328450039,5.7618513565547094
BCH-S200,200,285,0.70175438596491224,7.5,75,500,5000,3,11.952699999999973,11.879359999999998,13.461080000000004,0.13233160708459257,5.9618513565547095
BCH-S200,200,285,0.70175438596491224,7.7000000000000002,77,500,5000,3,13.446259999999997,12.689560000000027,14.499399999999966,0.13459802205222415,6.1618513565547097
BCH-S200,200,285,0.70175438596491224,7.9000000000000004,79,500,5000,3,12.758359999999991,11.526959999999971,13.16744000000002,0.12858078938045728,6.3618513565547099
BCH-S200,200,285,0.70175438596491224,8.0999999999999996,81,500,5000,3,12.803019999999995,12.59449999999997,14.610119999999998,0.15743316811190089,6.5618513565547092
BCH-S200,200,285,0.70175438596491224,8.3000000000000007,83,500,5000,3,12.40706000000001,12.324499999999995,12.429640000000017,0.0084742074270634377,6.7618513565547103
BCH-S200,200,285,0.70175438596491224,8.5,85,500,5000,3,12.664039999999995,12.461320000000017,13.780300000000029,0.10415159775237703,6.9618513565547095
BCH-B200,200,248,0.80645161290322576,3.5,35,500,5000,3,33.562840000000001,31.977300000000053,40.607459999999953,0.25713437837798886,2.565783148377649
BCH-B200,200,248,0.80645161290322576,3.7000000000000002,37,500,5000,3,34.538119999999964,32.38771999999998,35.077360000000084,0.077874533993167738,2.7657831483776492
BCH-B200,200,248,0.80645161290322576,3.8999999999999999,39,500,5000,3,33.487580000000079,31.729560000000063,36.715200000000046,0.1488802714319748,2.9657831483776489
BCH-B200,200,248,0.80645161290322576,4.0999999999999996,41,500,5000,3,33.251019999999961,33.005440000000057,36.302439999999969,0.099154852993980802,3.1657831483776486
BCH-B200,200,248,0.80645161290322576,4.2999999999999998,43,500,5000,3,31.841499999999964,31.042220000000047,34.929660000000133,0.12208721322802291,3.3657831483776488
BCH-B200,200,248,0.80645161290322576,4.5,45,500,5000,3,29.607860000000016,29.317080000000075,30.500779999999988,0.039979248753537484,3.565783148377649
BCH-B200,200,248,0.80645161290322576,4.7000000000000002,47,500,5000,3,29.448260000000008,28.726100000000116,35.239920000000069,0.2211954118851148,3.7657831483776492
BCH-B200,200,248,0.80645161290322576,4.9000000000000004,49,500,5000,3,30.575639999999961,29.577699999999993,31.022859999999991,0.04726507768929774,3.9657831483776493
BCH-B200,200,248,0.80645161290322576,5.0999999999999996,51,500,5000,3,28.57594000000006,27.217900000000011,29.712520000000012,0.087297915659117278,4.1657831483776491
BCH-B200,200,248,0.80645161290322576,5.2999999999999998,53,500,5000,3,29.867219999999918,29.347899999999964,30.666439999999973,0.04414672674591117,4.3657831483776492
BCH-B200,200,248,0.80645161290322576,5.5,55,500,5000,3,28.226359999999946,27.467020000000058,28.517440000000018,0.037214150177350601,4.5657831483776494
BCH-B200,200,248,0.80645161290322576,5.7000000000000002,57,500,5000,3,24.648620000000015,24.334020000000002,26.557860000000016,0.090221683810290873,4.7657831483776496
BCH-B200,200,248,0.80645161290322576,5.9000000000000004,59,500,5000,3,25.993560000000016,24.880359999999989,26.984560000000002,0.080950820126216322,4.9657831483776498
BCH-B200,200,248,0.80645161290322576,6,60,500,5000,3,24.080480000000005,24.069199999999942,25.101439999999986,0.042866255157706326,5.0657831483776494
BCH-S300,300,420,0.7142857142857143,5,50,500,5000,3,23.058280000000039,22.879359999999988,23.485320000000055,0.026279496996309614,3.53871964321762
BCH-S300,300,420,0.7142857142857143,5.2000000000000002,52,500,5000,3,20.914699999999975,20.912280000000063,22.706559999999985,0.085790377103182186,3.7387196432176202
BCH-S300,300,420,0.7142857142857143,5.4000000000000004,54,500,5000,3,20.636719999999954,20.43625999999999,21.307300000000065,0.042208257901453196,3.9387196432176204
BCH-S300,300,420,0.7142857142857143,5.5999999999999996,56,500,5000,3,21.817139999999949,20.328719999999965,22.44129999999997,0.096831207023469146,4.1387196432176196
BCH-S300,300,420,0.7142857142857143,5.7999999999999998,58,500,5000,3,20.673360000000031,19.652979999999964,21.192280000000029,0.074458143233613813,4.3387196432176198
BCH-S300,300,420,0.7142857142857143,6,60,500,5000,3,22.149499999999943,21.624939999999928,24.999020000000012,0.15233210681957124,4.53871964321762
BCH-S300,300,420,0.7142857142857143,6.2000000000000002,62,500,5000,3,20.977740000000022,19.907619999999941,23.09233999999995,0.1518142564451655,4.7387196432176202
BCH-S300,300,420,0.7142857142857143,6.4000000000000004,64,500,5000,3,22.01815999999997,20.403580000000002,22.187439999999935,0.081017669051361943,4.9387196432176204
BCH-S300,300,420,0.7142857142857143,6.5999999999999996,66,500,5000,3,21.549300000000013,18.919019999999936,23.375080000000029,0.20678444311416569,5.1387196432176196
BCH-S300,300,420,0.7142857142857143,6.7999999999999998,68,500,5000,3,21.291919999999962,20.512360000000072,23.374219999999994,0.13441061210073713,5.3387196432176198
BCH-S300,300,420,0.7142857142857143,7,70,500,5000,3,22.82553999999999,21.525140000000007,23.128200000000042,0.070230978106105513,5.53871964321762
BCH-S300,300,420,0.7142857142857143,7.2000000000000002,72,500,5000,3,24.663639999999944,22.474079999999958,31.879699999999861,0.38135571229550563,5.7387196432176202
BCH-S300,300,420,0.7142857142857143,7.4000000000000004,74,500,5000,3,24.608640000000047,21.155199999999972,25.843719999999948,0.19052332839197805,5.9387196432176204
BCH-S300,300,420,0.7142857142857143,7.5999999999999996,76,500,5000,3,26.793100000000042,20.871439999999989,28.262200000000064,0.27584564682698393,6.1387196432176196
BCH-S300,300,420,0.7142857142857143,7.7999999999999998,78,500,5000,3,20.477519999999952,20.046180000000053,24.479400000000016,0.21649203614500065,6.3387196432176198
BCH-S300,300,420,0.7142857142857143,8,80,500,5000,3,19.49770000000003,18.506639999999955,20.107940000000006,0.082127635567274565,6.53871964321762
BCH-S300,300,420,0.7142857142857143,8.1999999999999993,82,500,5000,3,20.793400000000048,19.57785999999999,20.876660000000037,0.062462127405813535,6.7387196432176193
BCH-S300,300,420,0.7142857142857143,8.4000000000000004,84,500,5000,3,19.224720000000008,18.757719999999939,22.408780000000046,0.18991485961824703,6.9387196432176204
BCH-S300,300,420,0.7142857142857143,8.5999999999999996,86,500,5000,3,18.402079999999991,17.519819999999985,22.121019999999973,0.25003695234451706,7.1387196432176196
BCH-S300,300,420,0.7142857142857143,8.8000000000000007,88,500,5000,3,19.697880000000026,19.424159999999976,19.737660000000034,0.015915418308978309,7.3387196432176207
BCH-S300,300,420,0.7142857142857143,9,90,500,5000,3,19.064920000000011,17.807999999999968,20.143459999999987,0.12250038290221084,7.53871964321762
BCH-B300,300,390,0.76923076923076927,4,40,500,5000,3,102.47679999999991,100.78833999999978,125.2553599999999,0.23875667468149026,2.8605664769316324
BCH-B300,300,390,0.76923076923076927,4.2000000000000002,42,500,5000,3,101.02784000000007,96.64297999999998,105.05275999999974,0.083242203337216256,3.0605664769316325
BCH-B300,300,390,0.76923076923076927,4.4000000000000004,44,500,5000,3,87.631959999999808,87.3404400000001,95.115879999999891,0.088728358922929573,3.2605664769316327
