caseName,pointCount,sourceProcessedFrames,oldWeightedAvgDecodeTimeUs,newWeightedAvgDecodeTimeUs,newOverOldRatio,removedTimingPollutionUs
BCH-S200,21,321435,14.832468461741842,13.235617721094462,0.89234086391174738,1.5968507406473798
BCH-B200,14,253308,47.710816871160745,26.982121650243965,0.56553468206396529,20.72869522091678
BCH-S300,21,400976,21.967041418937807,20.361513599616949,0.92691196831191247,1.6055278193208586
BCH-B300,9,158999,127.74007446587723,73.178145251982542,0.57286756374586556,54.561929213894686
BCH-B300-426,9,201669,1978.7786476850706,103.73150347430681,0.052421984437551923,1875.0471442107637
