schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,resultClass,experimentAxis
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,6.0999999999999996,5.1657831483776491,2,0,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,50000,10000000,92220,42142,0.0074370967741935485,655,128,6.5500000000000006e-05,0.0025600000000000002,49872,0.99743999999999999,49872,0.99743999999999999,0,0,128,0.0025600000000000002,25.092654000000014,22.800000000000001,36,52.700000000000003,2461.8000000000002,67.413107999999667,62.200000000000003,84.299999999999997,140.90200000000041,18377.299999999999,5000,200,50000,MAX_FRAMES_REACHED,0,0,0,1,71a5932c9ecd3c68dfe78cd3360e43a1f3647b5ba51644b3cb3bc64c9e784c95,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,6.2999999999999998,5.3657831483776492,2,0,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,50000,10000000,79081,39793,0.0063775000000000004,274,59,2.7399999999999999e-05,0.0011800000000000001,49941,0.99882000000000004,49941,0.99882000000000004,0,0,59,0.0011800000000000001,24.070467999999966,22.100000000000001,34.600000000000001,48.5,580.5,65.427836000000099,61.399999999999999,81.799999999999997,126.40100000000021,762.70000000000005,5000,200,50000,MAX_FRAMES_REACHED,0,0,0,1,2419735f90651ebc4c3c839afd5aac189b37208fef65f8896614be3f31e420f4,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.5,2.565783148377649,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,81681,5000,0.065871774193548394,49385,4982,0.049384999999999998,0.99639999999999995,18,0.0035999999999999999,25,0.0050000000000000001,8,0.0016000000000000001,4975,0.995,32.937200000000054,29.899999999999999,44.105000000000018,59.508000000000173,660.20000000000005,75.745879999999985,69.900000000000006,94.105000000000004,145.21000000000021,710,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,05b05baee48fb770df9e49343d53df193dff6bd7c4e44d8eec2fbe4a291157f9,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.7000000000000002,2.7657831483776492,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,77069,5000,0.062152419354838707,45988,4983,0.045988000000000001,0.99660000000000004,17,0.0033999999999999998,22,0.0044000000000000003,5,0.001,4978,0.99560000000000004,35.690739999999927,30.699999999999999,47.405000000000015,78.126000000000559,1365.3,80.427740000000114,71.599999999999994,100.59999999999999,186.3320000000007,1510.3,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,61fbbe405b7340cedcabd91baf8a2c005905d03eaa4a8e9bd80d9516325f48d4,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,3.8999999999999999,2.9657831483776489,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,71831,5000,0.057928225806451614,41865,4949,0.041864999999999999,0.98980000000000001,51,0.010200000000000001,60,0.012,9,0.0018,4940,0.98799999999999999,33.328460000000057,30.100000000000001,44.5,58.904000000000082,818.70000000000005,76.458040000000054,70.5,93.099999999999994,132.91000000000022,858,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,8b1932a040f227a7a5c4773fd71d57afc65c4705bcc8f03b1a3b9ee8a22d81c5,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.0999999999999996,3.1657831483776486,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,67769,5000,0.054652419354838708,38987,4924,0.038987000000000001,0.98480000000000001,76,0.0152,78,0.015599999999999999,2,0.00040000000000000002,4922,0.98440000000000005,33.988020000000127,30.399999999999999,45.600000000000001,67.802000000000035,606.60000000000002,77.051580000000101,71,94.900000000000006,149.5180000000004,646.39999999999998,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,f1c2362add155ea7310f54dec57d569b941b029f2e7ac5715db09784621fc4a8,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.2999999999999998,3.3657831483776488,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,62861,5000,0.050694354838709675,35077,4855,0.035076999999999997,0.97099999999999997,145,0.029000000000000001,150,0.029999999999999999,5,0.001,4850,0.96999999999999997,34.614199999999997,30.5,47.405000000000015,77.706000000000145,631.79999999999995,78.781119999999859,71.200000000000003,102.81500000000005,168.73700000000079,854.10000000000002,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,02e872a0073f3651d68d37af59033ac25f9d1e268ba7a7b825a504abb746f87f,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.5,3.565783148377649,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,58786,5000,0.047408064516129035,32106,4780,0.032106000000000003,0.95599999999999996,220,0.043999999999999997,225,0.044999999999999998,7,0.0014,4775,0.95499999999999996,39.792720000000067,35.549999999999997,55.305000000000014,129.71800000000039,734.79999999999995,88.865799999999808,79.549999999999997,129.80500000000004,292.96400000000136,1672.0999999999999,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,07421397259ea2934e0bcc604cc2be04b0936d55674988d465615e30110556c1,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.7000000000000002,3.7657831483776492,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,54222,5000,0.043727419354838711,28550,4628,0.028549999999999999,0.92559999999999998,372,0.074399999999999994,370,0.073999999999999996,1,0.00020000000000000001,4630,0.92600000000000005,34.014079999999964,30.399999999999999,46.5,79.402000000000044,347.60000000000002,77.52938000000006,71.099999999999994,98.010000000000034,158.90500000000011,583.89999999999998,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,ba62643f621bb75430c9bd02e02e2c9efed167cb56eecbabe97457e1e9f490d6,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,4.9000000000000004,3.9657831483776493,2,0,60,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,50930,5000,0.04107258064516129,25897,4453,0.025897,0.89059999999999995,547,0.1094,545,0.109,1,0.00020000000000000001,4455,0.89100000000000001,32.672180000000075,29.699999999999999,44.405000000000015,58.502000000000045,810.79999999999995,75.351240000000089,69.599999999999994,93,151.41100000000026,972.60000000000002,5000,200,50000,TARGET_FRAME_ERRORS_REACHED,0,0,0,1,4cc5404e9bc05fad307deed4fb9c787e1a1c701d3c157e42e29977cbf8b653fb,WORKTREE,RESIDUAL_CFO_PHI0_ZERO,SNR
