schemaVersion,stage,channelType,caseName,organization,decoderType,payloadLength,encodedLength,frameRate,sourcePayloadEbN0Db,snrDb,noisePolicyVersion,initialPhaseDeg,frameRotationDeg,compensationMode,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,burstMode,burstLength,burstStartPolicy,burstInjectionDomain,backgroundAwgnEnabled,processedFrames,processedPayloadBits,channelHardBitErrors,channelHardFrameErrors,channelHardBER,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,avgTotalReceiverTimeUs,medianReceiverTimeUs,p95ReceiverTimeUs,p99ReceiverTimeUs,maxReceiverTimeUs,minFrames,targetFrameErrors,maxFrames,stopReason,checkpointCount,resumeCount,shardIndex,shardCount,configHash,gitCommit,resultClass,experimentAxis
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,3548,2536,0.0024898245614035086,141,64,0.00014100000000000001,0.012800000000000001,4936,0.98719999999999997,5000,1,64,0.012800000000000001,0,0,16.343839999999997,12.800000000000001,26.899999999999999,51.212000000000266,591.29999999999995,67.49988000000009,58.399999999999999,109.20500000000003,191.7050000000001,819.89999999999998,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,180a35da9c6839d30cdc73b460797b90ecd4d948214f482daaa93769723032b8,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,45,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,33502,4997,0.02351017543859649,9711,2988,0.0097109999999999991,0.59760000000000002,2012,0.40239999999999998,5000,1,2988,0.59760000000000002,0,0,14.649099999999969,12.300000000000001,22.800000000000001,31.800000000000001,533.60000000000002,64.152280000000047,58.100000000000001,79.099999999999994,142.82600000000056,607.10000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,d7632171bb67e76276c4b8001c19bdac0e30b12d1d1b48ae9b5dbd0547688561,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,90,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,712056,5000,0.49968842105263156,499910,5000,0.49991000000000002,1,0,0,5000,1,5000,1,0,0,17.66590000000005,14.6,27.399999999999999,47.212000000000266,232.90000000000001,71.626359999999892,64.900000000000006,91.105000000000004,154.41100000000026,638,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,7e104a583d9c6ac97c66f61c8ec52a8c49d25d4df166e1d6565b59b07954929b,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,135,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,1391778,5000,0.97668631578947374,990094,5000,0.99009400000000003,1,0,0,5000,1,5000,1,0,0,14.521940000000011,12.199999999999999,22.199999999999999,34.703000000000067,436.69999999999999,65.346880000000127,59.399999999999999,81.700000000000003,145.101,780.5,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,b70233f4244ee5bd6696871dd5ea00d32660aa322fe0714a71761281d1c5ebc6,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,0,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,5505,3319,0.0038631578947368422,288,132,0.00028800000000000001,0.0264,4868,0.97360000000000002,5000,1,132,0.0264,0,0,15.513200000000044,12.1,24.399999999999999,47.305000000000106,757,65.095119999999952,57.5,93.910000000000053,169.82800000000063,958.70000000000005,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,2cfd390ebef0499c75e778594de5f91a1aac0a66a88577841babb2de50438d39,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,45,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,137913,5000,0.096781052631578948,90767,5000,0.090767,1,0,0,5000,1,5000,1,0,0,20.124540000000007,17.800000000000001,30.905000000000015,71.814000000000291,407.80000000000001,79.665840000000216,68.799999999999997,125.605,246.20600000000013,4226.3000000000002,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,76403a2dde4b822da90db638bd7607d0a286fd6819b8d691a99acd71d5848cb3,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,90,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,1063639,5000,0.74641333333333337,719365,5000,0.71936500000000003,1,0,0,5000,1,5000,1,0,0,21.822719999999997,18.199999999999999,30.199999999999999,62.50400000000009,7252.1999999999998,84.062460000000002,69.900000000000006,121.00500000000002,227.83900000000085,21127.700000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,57d814fa7d0609d0789c7202413140b5f14a92a419f9d573827714a04276f922,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-S200,SEGMENTED,SYNDROME_LOOKUP,200,285,0.70175438596491224,7.5,5.9618513565547095,2,135,30,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,1411739,5000,0.99069403508771925,997629,5000,0.99762899999999999,1,0,0,5000,1,5000,1,0,0,20.137720000000009,18,28.600000000000001,66.111000000000232,1123,80.888180000000148,72.299999999999997,124.2,267.26800000000145,1187.7,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,8cd96899671318408078f286ed666f37fd2797aaeb9692766616587843f8a3fc,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,5.2999999999999998,4.3657831483776492,2,0,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,12105,4533,0.0097620967741935492,318,53,0.00031799999999999998,0.0106,4947,0.98939999999999995,4947,0.98939999999999995,0,0,53,0.0106,37.787559999999914,32,51.005000000000017,159.90200000000007,3585.4000000000001,90.611199999999869,77.400000000000006,131.61500000000004,366.03500000000076,3624.5999999999999,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,aeb282ab39a729f0d906726cec928a5f25dbf735a9ef41602efd79c269c5a72c,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
bch.s2.impairment.result.v1,S2_SCIENTIFIC_CORRECTION,RESIDUAL_CFO,BCH-B200,WHOLE_BLOCK_SHORTENED,BERLEKAMP_MASSEY_CHIEN,200,248,0.80645161290322576,5.2999999999999998,4.3657831483776492,2,45,0,NONE,0,0,1,UNIFORM_RANDOM,PURE,1,UNIFORM_RANDOM,POST_HARD_DECISION_BIT_FLIP,1,5000,1000000,61011,5000,0.049202419354838711,48390,4815,0.048390000000000002,0.96299999999999997,185,0.036999999999999998,190,0.037999999999999999,5,0.001,4810,0.96199999999999997,37.100420000000177,32.299999999999997,50.600000000000001,99.009000000000199,1262.8,83.746400000000008,73.799999999999997,124.2,209.70800000000017,1308.4000000000001,0,0,0,FIXED_FRAMES_REACHED,0,0,0,1,63fbbf00aebb354a7c51aeb73ce2e88ae932c944ca186b926477b94a879bbfbc,WORKTREE,INITIAL_PHASE_SENSITIVITY,INITIAL_PHASE
