candidateId,BG,Zc,kb,nb,mb,informationCapacity,payloadLength,fillerLength,parityLength,actualLength,transmittedLength,actualRate,targetLength,targetRate,lengthDifference,rateDifference,rankH,rankHp,isEncodable,rejectionReason
LDPC_BG2_K300_N360,2,40,8,9,1,320,300,20,40,360,360,0.83333333333333337,0,0,0,0,40,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N396,2,44,8,9,1,352,300,52,44,396,396,0.75757575757575757,0,0,0,0,44,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N400,2,40,8,10,2,320,300,20,80,400,400,0.75,0,0,0,0,80,80,true,
LDPC_BG2_K300_N432,2,48,8,9,1,384,300,84,48,432,432,0.69444444444444442,0,0,0,0,48,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N440,2,40,8,11,3,320,300,20,120,440,440,0.68181818181818177,0,0,0,0,120,118,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N440,2,44,8,10,2,352,300,52,88,440,440,0.68181818181818177,0,0,0,0,88,88,true,
LDPC_BG2_K300_N468,2,52,8,9,1,416,300,116,52,468,468,0.64102564102564108,0,0,0,0,52,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N480,2,40,8,12,4,320,300,20,160,480,480,0.625,0,0,0,0,160,159,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N480,2,48,8,10,2,384,300,84,96,480,480,0.625,0,0,0,0,96,96,true,
LDPC_BG2_K300_N484,2,44,8,11,3,352,300,52,132,484,484,0.6198347107438017,0,0,0,0,132,128,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N504,2,56,8,9,1,448,300,148,56,504,504,0.59523809523809523,0,0,0,0,56,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N520,2,40,8,13,5,320,300,20,200,520,520,0.57692307692307687,0,0,0,0,200,198,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N520,2,52,8,10,2,416,300,116,104,520,520,0.57692307692307687,0,0,0,0,104,104,true,
LDPC_BG2_K300_N528,2,44,8,12,4,352,300,52,176,528,528,0.56818181818181823,0,0,0,0,176,174,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N528,2,48,8,11,3,384,300,84,144,528,528,0.56818181818181823,0,0,0,0,144,143,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N540,2,60,8,9,1,480,300,180,60,540,540,0.55555555555555558,0,0,0,0,60,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N560,2,40,8,14,6,320,300,20,240,560,560,0.5357142857142857,0,0,0,0,240,200,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N560,2,56,8,10,2,448,300,148,112,560,560,0.5357142857142857,0,0,0,0,112,112,true,
LDPC_BG2_K300_N572,2,44,8,13,5,352,300,52,220,572,572,0.52447552447552448,0,0,0,0,220,219,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N572,2,52,8,11,3,416,300,116,156,572,572,0.52447552447552448,0,0,0,0,156,152,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N576,2,48,8,12,4,384,300,84,192,576,576,0.52083333333333337,0,0,0,0,192,190,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N576,2,64,8,9,1,512,300,212,64,576,576,0.52083333333333337,0,0,0,0,64,0,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N600,2,40,8,15,7,320,300,20,280,600,600,0.5,0,0,0,0,280,280,true,
LDPC_BG2_K300_N600,2,60,8,10,2,480,300,180,120,600,600,0.5,0,0,0,0,120,120,true,
LDPC_BG2_K300_N616,2,44,8,14,6,352,300,52,264,616,616,0.48701298701298701,0,0,0,0,264,220,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N616,2,56,8,11,3,448,300,148,168,616,616,0.48701298701298701,0,0,0,0,168,166,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N624,2,48,8,13,5,384,300,84,240,624,624,0.48076923076923078,0,0,0,0,240,238,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N624,2,52,8,12,4,416,300,116,208,624,624,0.48076923076923078,0,0,0,0,208,207,false,HP_NOT_FULL_RANK
LDPC_BG2_K300_N640,2,40,8,16,8,320,300,20,320,640,640,0.46875,0,0,0,0,320,320,true,
LDPC_BG2_K300_N640,2,64,8,10,2,512,300,212,128,640,640,0.46875,0,0,0,0,128,128,true,
