dtb,worstRelativeFerIncrease,worstRelativeBerIncrease,totalDecoderMemoryBytes,meanDecodeTimeUs,meanFirstDecisionDelaySymbols,performanceFirstRecommendation,balancedRecommendation,memoryFirstRecommendation,latencyFirstRecommendation,reliabilityGate
35,4.449999999999999,2.4945792462570986,7744,315.9192643039039,34.0,112,112,112,112,FAIL
49,1.2799999999999998,0.731027361899845,10432,319.67374042489274,48.0,112,112,112,112,FAIL
70,0.2905405405405406,0.1545354791514266,14464,329.3602389905318,69.0,112,112,112,112,FAIL
84,0.1250000000000001,0.07150694952450623,17152,334.85314677659676,83.0,112,112,112,112,FAIL
98,0.06756756756756763,0.03566203365032926,19840,341.0299810673608,97.0,112,112,112,112,FAIL
112,0.03378378378378381,0.015544989027066572,22528,342.6716269742425,111.0,112,112,112,112,PASS
