actualLength,algorithm,alpha,series,esN0Db,rawValue,isZeroError,plottedAsRegularPoint,upperBound95,plotTreatment,frames
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,5.5,0.00012179407241135636,false,true,,REGULAR_MEASURED_POINT,8019
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,6.0,4.3190940585748514e-05,false,true,,REGULAR_MEASURED_POINT,21841
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,6.0,4.2885704256520614e-05,false,true,,REGULAR_MEASURED_POINT,21841
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,6.5,1.5466666666666665e-05,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,6.5,1.52e-05,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,7.0,5.4e-06,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,7.0,5.5333333333333334e-06,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,7.5,1.6e-06,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,7.5,1.6e-06,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,8.0,4e-07,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,8.0,2.6666666666666667e-07,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,8.5,1.3333333333333334e-07,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,8.5,6.666666666666667e-08,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,9.0,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,9.0,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,9.5,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,9.5,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,10.0,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,10.0,0.0,true,false,1.9971546494357284e-07,ZERO_ERROR_CENSORED_NOT_CONNECTED,50000
