caseId,actualLength,snrDb,status,frames,bpFrameErrors,nmsFrameErrors,nextFrameIndex,updateTime,elapsedSeconds,checkpointPath
LDPC_BG2_K300_N480,480,-5.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.145838+00:00,2.3162867999926675,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m05p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-4.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.193312+00:00,2.3770794000010937,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m04p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-4.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.271976+00:00,2.452933700013091,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m04p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-3.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.328806+00:00,2.5154341000015847,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m03p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-3.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.311076+00:00,2.5026418999914313,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m03p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-2.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:50.445563+00:00,2.622074500002782,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m02p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-2.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:52.984036+00:00,2.834359799991944,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m02p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-1.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:53.073832+00:00,2.8731413999921642,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m01p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-1.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:53.032813+00:00,2.763124799996149,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m01p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,-0.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:53.130171+00:00,2.813527000005706,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_m00p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,0.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:53.019533+00:00,2.688353099991218,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p00p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,0.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:08:53.120896+00:00,2.699955100004445,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p00p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,1.0,COMPLETED,1000,999,1000,101000,2026-07-30T03:08:55.453339+00:00,2.46463849999418,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p01p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,1.5,COMPLETED,1000,992,985,101000,2026-07-30T03:08:55.293936+00:00,2.248722699994687,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p01p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,2.0,COMPLETED,1000,948,939,101000,2026-07-30T03:08:54.785172+00:00,1.7252293000055943,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p02p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,2.5,COMPLETED,1000,846,846,101000,2026-07-30T03:08:54.301233+00:00,1.2223352000000887,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p02p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,3.0,COMPLETED,1000,643,636,101000,2026-07-30T03:08:54.101929+00:00,0.9322821999958251,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p03p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,3.5,COMPLETED,1000,405,408,101000,2026-07-30T03:08:53.846795+00:00,0.6800597999972524,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p03p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,4.0,COMPLETED,1000,238,244,101000,2026-07-30T03:08:54.198361+00:00,0.3444166999979643,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p04p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,4.5,COMPLETED,1465,200,202,101465,2026-07-30T03:08:54.627368+00:00,0.5245714999909978,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p04p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,5.0,COMPLETED,3369,200,208,103369,2026-07-30T03:08:55.199310+00:00,1.0442550000007031,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p05p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,5.5,COMPLETED,8019,201,200,108019,2026-07-30T03:08:56.420717+00:00,2.2513078000047244,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p05p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,6.0,COMPLETED,21841,200,208,121841,2026-07-30T03:09:00.462121+00:00,6.384639500000048,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p06p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,6.5,COMPLETED,50000,165,172,150000,2026-07-30T03:09:08.139763+00:00,16.927451099996688,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p06p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,7.0,COMPLETED,50000,55,55,150000,2026-07-30T03:09:08.356371+00:00,17.285819000011543,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p07p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,7.5,COMPLETED,50000,18,18,150000,2026-07-30T03:09:08.597975+00:00,17.53912610000407,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p07p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,8.0,COMPLETED,50000,3,5,150000,2026-07-30T03:09:08.304620+00:00,16.798195499999565,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p08p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,8.5,COMPLETED,50000,1,2,150000,2026-07-30T03:09:10.390882+00:00,16.779744100000244,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p08p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,9.0,COMPLETED,50000,0,0,150000,2026-07-30T03:09:14.907592+00:00,15.078353000004427,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p09p0/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,9.5,COMPLETED,50000,0,0,150000,2026-07-30T03:09:24.011174+00:00,14.479550599993672,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p09p5/point_checkpoint_final.json
LDPC_BG2_K300_N480,480,10.0,COMPLETED,50000,0,0,150000,2026-07-30T03:09:24.216824+00:00,14.156190900001093,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n480_snr_p10p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-5.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:15.489368+00:00,2.9367595999938203,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m05p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-4.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:15.901830+00:00,3.070556500009843,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m04p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-4.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:16.463110+00:00,3.0792272000107914,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m04p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-3.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:18.242123+00:00,2.718402700003935,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m03p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-3.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:18.809712+00:00,2.8558771000098204,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m03p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-2.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:19.015930+00:00,2.8784173000021838,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m02p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-2.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:19.377677+00:00,2.908176500000991,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m02p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-1.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:21.019101+00:00,2.759737899992615,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m01p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-1.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:21.512488+00:00,2.6910963999980595,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m01p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,-0.5,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:21.685856+00:00,2.663910700008273,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_m00p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,0.0,COMPLETED,1000,1000,1000,101000,2026-07-30T03:09:22.104186+00:00,2.716746299993247,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p00p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,0.5,COMPLETED,1000,999,999,101000,2026-07-30T03:09:23.765320+00:00,2.735355900003924,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p00p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,1.0,COMPLETED,1000,998,999,101000,2026-07-30T03:09:24.156722+00:00,2.6767231000121683,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p01p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,1.5,COMPLETED,1000,991,990,101000,2026-07-30T03:09:24.073948+00:00,2.4121128999977373,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p01p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,2.0,COMPLETED,1000,944,944,101000,2026-07-30T03:09:24.015272+00:00,1.9357497999881161,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p02p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,2.5,COMPLETED,1000,831,830,101000,2026-07-30T03:09:24.935413+00:00,1.269066799999564,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p02p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,3.0,COMPLETED,1000,626,624,101000,2026-07-30T03:09:24.846930+00:00,0.8329590999928769,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p03p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,3.5,COMPLETED,1000,415,419,101000,2026-07-30T03:09:24.648084+00:00,0.6044321000081254,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p03p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,4.0,COMPLETED,1000,242,245,101000,2026-07-30T03:09:24.638082+00:00,0.5000266999995802,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p04p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,4.5,COMPLETED,1888,200,211,101888,2026-07-30T03:09:25.357011+00:00,0.7377629000111483,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p04p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,5.0,COMPLETED,3787,200,206,103787,2026-07-30T03:09:25.978820+00:00,1.4919251000101212,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p05p0/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,5.5,COMPLETED,10897,200,207,110897,2026-07-30T03:09:27.878317+00:00,3.1885142999963136,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p05p5/point_checkpoint_final.json
LDPC_BG2_K300_N560,560,6.0,COMPLETED,24989,200,202,124989,2026-07-30T03:09:31.249024+00:00,6.726657699997304,Task/LDPC/block/stages/stage15_formal_full_grid/results/points/n560_snr_p06p0/point_checkpoint_final.json
