actualLength,algorithm,alpha,series,esN0Db,rawValue,isZeroError,plottedAsRegularPoint,upperBound95,plotTreatment,frames
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,6.5,1.02362,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,6.5,1.0062,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,7.0,1.00858,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,7.0,1.00116,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,7.5,1.00216,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,7.5,1.00026,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,8.0,1.0013,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,8.0,1.00006,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,8.5,1.00066,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,8.5,1.00004,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,9.0,1.00002,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,9.0,1.00004,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,9.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,9.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_NMS,0.95,480比特 NMS（α=0.95）,10.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
480,DIRECT_LAYERED_SPA_BP,0.0,480比特 BP,10.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-5.0,28.464,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-5.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-4.5,28.114,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-4.5,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-4.0,28.19,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-4.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-3.5,28.469,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-3.5,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-3.0,28.165,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-3.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-2.5,27.986,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-2.5,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-2.0,27.478,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-2.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-1.5,26.737,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-1.5,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-1.0,26.33,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-1.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,-0.5,25.319,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,-0.5,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,0.0,23.391,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,0.0,32.0,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,0.5,21.803,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,0.5,31.94,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,1.0,19.953,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,1.0,31.285,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,1.5,15.824,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,1.5,28.991,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,2.0,12.817,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,2.0,23.021,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,2.5,9.033,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,2.5,14.441,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,3.0,7.375,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,3.0,8.679,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,3.5,4.061,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,3.5,3.948,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,4.0,3.079,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,4.0,2.507,false,true,,REGULAR_MEASURED_POINT,1000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,4.5,2.0709745762711864,false,true,,REGULAR_MEASURED_POINT,1888
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,4.5,1.5328389830508475,false,true,,REGULAR_MEASURED_POINT,1888
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,5.0,1.5035648270398732,false,true,,REGULAR_MEASURED_POINT,3787
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,5.0,1.2365988909426988,false,true,,REGULAR_MEASURED_POINT,3787
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,5.5,1.2158392218041663,false,true,,REGULAR_MEASURED_POINT,10897
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,5.5,1.0774525098651004,false,true,,REGULAR_MEASURED_POINT,10897
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,6.0,1.0772740005602466,false,true,,REGULAR_MEASURED_POINT,24989
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,6.0,1.025451198527352,false,true,,REGULAR_MEASURED_POINT,24989
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,6.5,1.03704,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,6.5,1.00736,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,7.0,1.01102,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,7.0,1.0018,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,7.5,1.00358,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,7.5,1.0005,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,8.0,1.00012,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,8.0,1.00012,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,8.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,8.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,9.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,9.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,9.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,9.5,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_NMS,0.95,560比特 NMS（α=0.95）,10.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
560,DIRECT_LAYERED_SPA_BP,0.0,560比特 BP,10.0,1.0,false,true,,REGULAR_MEASURED_POINT,50000
