actualLength,esN0Db,framesMatch,frameStartMatch,frameEndMatch,payloadSeedMatch,noiseSeedMatch,runIdMatch,payloadHashMatch,codewordHashMatch,llrHashMatch,status
480,-5.0,True,True,True,True,True,True,True,True,True,PASS
480,-4.5,True,True,True,True,True,True,True,True,True,PASS
480,-4.0,True,True,True,True,True,True,True,True,True,PASS
480,-3.5,True,True,True,True,True,True,True,True,True,PASS
480,-3.0,True,True,True,True,True,True,True,True,True,PASS
480,-2.5,True,True,True,True,True,True,True,True,True,PASS
480,-2.0,True,True,True,True,True,True,True,True,True,PASS
480,-1.5,True,True,True,True,True,True,True,True,True,PASS
480,-1.0,True,True,True,True,True,True,True,True,True,PASS
480,-0.5,True,True,True,True,True,True,True,True,True,PASS
480,0.0,True,True,True,True,True,True,True,True,True,PASS
480,0.5,True,True,True,True,True,True,True,True,True,PASS
480,1.0,True,True,True,True,True,True,True,True,True,PASS
480,1.5,True,True,True,True,True,True,True,True,True,PASS
480,2.0,True,True,True,True,True,True,True,True,True,PASS
480,2.5,True,True,True,True,True,True,True,True,True,PASS
480,3.0,True,True,True,True,True,True,True,True,True,PASS
480,3.5,True,True,True,True,True,True,True,True,True,PASS
480,4.0,True,True,True,True,True,True,True,True,True,PASS
480,4.5,True,True,True,True,True,True,True,True,True,PASS
480,5.0,True,True,True,True,True,True,True,True,True,PASS
480,5.5,True,True,True,True,True,True,True,True,True,PASS
480,6.0,True,True,True,True,True,True,True,True,True,PASS
480,6.5,True,True,True,True,True,True,True,True,True,PASS
480,7.0,True,True,True,True,True,True,True,True,True,PASS
480,7.5,True,True,True,True,True,True,True,True,True,PASS
480,8.0,True,True,True,True,True,True,True,True,True,PASS
480,8.5,True,True,True,True,True,True,True,True,True,PASS
480,9.0,True,True,True,True,True,True,True,True,True,PASS
480,9.5,True,True,True,True,True,True,True,True,True,PASS
480,10.0,True,True,True,True,True,True,True,True,True,PASS
560,-5.0,True,True,True,True,True,True,True,True,True,PASS
560,-4.5,True,True,True,True,True,True,True,True,True,PASS
560,-4.0,True,True,True,True,True,True,True,True,True,PASS
560,-3.5,True,True,True,True,True,True,True,True,True,PASS
560,-3.0,True,True,True,True,True,True,True,True,True,PASS
560,-2.5,True,True,True,True,True,True,True,True,True,PASS
560,-2.0,True,True,True,True,True,True,True,True,True,PASS
560,-1.5,True,True,True,True,True,True,True,True,True,PASS
560,-1.0,True,True,True,True,True,True,True,True,True,PASS
560,-0.5,True,True,True,True,True,True,True,True,True,PASS
560,0.0,True,True,True,True,True,True,True,True,True,PASS
560,0.5,True,True,True,True,True,True,True,True,True,PASS
560,1.0,True,True,True,True,True,True,True,True,True,PASS
560,1.5,True,True,True,True,True,True,True,True,True,PASS
560,2.0,True,True,True,True,True,True,True,True,True,PASS
560,2.5,True,True,True,True,True,True,True,True,True,PASS
560,3.0,True,True,True,True,True,True,True,True,True,PASS
560,3.5,True,True,True,True,True,True,True,True,True,PASS
560,4.0,True,True,True,True,True,True,True,True,True,PASS
560,4.5,True,True,True,True,True,True,True,True,True,PASS
560,5.0,True,True,True,True,True,True,True,True,True,PASS
560,5.5,True,True,True,True,True,True,True,True,True,PASS
560,6.0,True,True,True,True,True,True,True,True,True,PASS
560,6.5,True,True,True,True,True,True,True,True,True,PASS
560,7.0,True,True,True,True,True,True,True,True,True,PASS
560,7.5,True,True,True,True,True,True,True,True,True,PASS
560,8.0,True,True,True,True,True,True,True,True,True,PASS
560,8.5,True,True,True,True,True,True,True,True,True,PASS
560,9.0,True,True,True,True,True,True,True,True,True,PASS
560,9.5,True,True,True,True,True,True,True,True,True,PASS
560,10.0,True,True,True,True,True,True,True,True,True,PASS
640,-5.0,True,True,True,True,True,True,True,True,True,PASS
640,-4.5,True,True,True,True,True,True,True,True,True,PASS
640,-4.0,True,True,True,True,True,True,True,True,True,PASS
640,-3.5,True,True,True,True,True,True,True,True,True,PASS
640,-3.0,True,True,True,True,True,True,True,True,True,PASS
640,-2.5,True,True,True,True,True,True,True,True,True,PASS
640,-2.0,True,True,True,True,True,True,True,True,True,PASS
640,-1.5,True,True,True,True,True,True,True,True,True,PASS
640,-1.0,True,True,True,True,True,True,True,True,True,PASS
640,-0.5,True,True,True,True,True,True,True,True,True,PASS
640,0.0,True,True,True,True,True,True,True,True,True,PASS
640,0.5,True,True,True,True,True,True,True,True,True,PASS
640,1.0,True,True,True,True,True,True,True,True,True,PASS
640,1.5,True,True,True,True,True,True,True,True,True,PASS
640,2.0,True,True,True,True,True,True,True,True,True,PASS
640,2.5,True,True,True,True,True,True,True,True,True,PASS
640,3.0,True,True,True,True,True,True,True,True,True,PASS
640,3.5,True,True,True,True,True,True,True,True,True,PASS
640,4.0,True,True,True,True,True,True,True,True,True,PASS
640,4.5,True,True,True,True,True,True,True,True,True,PASS
640,5.0,True,True,True,True,True,True,True,True,True,PASS
640,5.5,True,True,True,True,True,True,True,True,True,PASS
640,6.0,True,True,True,True,True,True,True,True,True,PASS
640,6.5,True,True,True,True,True,True,True,True,True,PASS
640,7.0,True,True,True,True,True,True,True,True,True,PASS
640,7.5,True,True,True,True,True,True,True,True,True,PASS
640,8.0,True,True,True,True,True,True,True,True,True,PASS
640,8.5,True,True,True,True,True,True,True,True,True,PASS
640,9.0,True,True,True,True,True,True,True,True,True,PASS
640,9.5,True,True,True,True,True,True,True,True,True,PASS
640,10.0,True,True,True,True,True,True,True,True,True,PASS
