actualLength,esN0Db,bpEdgeUpdates,nmsEdgeUpdates,edgeUpdateReduction,bpTheoreticalOperations,nmsTheoreticalOperations,operationReduction
480,-5.0,21504.0,18214.56,0.15296874999999993,86016.0,120176.779,-0.3971444731212797
480,-4.5,21504.0,18133.248,0.15675000000000003,86016.0,119636.473,-0.3908630138578869
480,-4.0,21504.0,18320.736,0.14803124999999998,86016.0,120872.578,-0.405233654203869
480,-3.5,21504.0,18376.512,0.14543750000000005,86016.0,121247.568,-0.40959319196428573
480,-3.0,21504.0,18266.304,0.1505625,86016.0,120518.474,-0.401116931733631
480,-2.5,21504.0,17561.376,0.18334375,86016.0,115878.628,-0.34717526971726187
480,-2.0,21504.0,17436.384,0.18915625000000008,86016.0,115069.883,-0.33777300734747023
480,-1.5,21504.0,17255.616,0.19756249999999992,86016.0,113894.526,-0.32410860770089284
480,-1.0,21504.0,16492.224,0.2330625000000001,86016.0,108862.93,-0.26561256045386894
480,-0.5,21504.0,15432.48,0.28234375,86016.0,101892.708,-0.1845785435267857
480,0.0,21483.84,14053.536,0.34585548952142636,85935.36,92797.489,-0.07985221682902126
480,0.5,21283.584,12983.04,0.38999747410962354,85134.336,85736.296,-0.0070707076402170615
480,1.0,20420.064,11500.608,0.4367986309935169,81680.256,75962.627,0.07000013565089709
480,1.5,17738.784,8870.4,0.4999431753608365,70955.136,58602.052,0.17409710834744924
480,2.0,13584.48,7373.856,0.4571852584714321,54337.92,48712.266,0.10353090438500398
480,2.5,8873.088,6000.288,0.32376552559830357,35492.352,39653.068,-0.11722852292234677
480,3.0,5328.288,4505.76,0.15437003405221328,21313.152,29775.097,-0.3970292615564326
480,3.5,2616.768,2464.224,0.058294812532100615,10467.072,16296.131,-0.5568948985924621
480,4.0,1464.96,1850.016,-0.2628440366972477,5859.84,12236.788,-1.0882460954565312
480,4.5,1058.2279863481228,1322.4409556313992,-0.24967490247074117,4232.911945392491,8751.666894197951,-1.0675286911470265
480,5.0,775.7221727515583,1004.1104185218165,-0.2944201594240164,3102.8886910062333,6648.485900860789,-1.1426762487908506
480,5.5,728.1466517022072,803.3999251777029,-0.10334906203245482,2912.586606808829,5325.344431974062,-0.8283900707106414
480,6.0,693.2913328144316,735.381713291516,-0.060710957262681435,2773.1653312577264,4877.968911679868,-0.7589895765311405
480,6.5,676.1664,687.87264,-0.01731266149870815,2704.6656,4565.3641,-0.6879587997865615
480,7.0,672.77952,677.76576,-0.0074114027727835,2691.11808,4499.96148,-0.6721531148867312
480,7.5,672.17472,673.45152,-0.0018995061284065849,2688.69888,4472.64248,-0.663496984831563
480,8.0,672.04032,672.8736,-0.00123992560446382,2688.16128,4469.84198,-0.662787874096602
480,8.5,672.02688,672.44352,-0.0006199752009920041,2688.10752,4467.84694,-0.6620789558298622
480,9.0,672.02688,672.01344,1.9999200032087448e-05,2688.10752,4465.67726,-0.6612718154964279
480,9.5,672.0,672.0,0.0,2688.0,4466.12138,-0.6615034895833332
480,10.0,672.0,672.0,0.0,2688.0,4466.517,-0.6616506696428571
560,-5.0,25088.0,22315.776,0.11049999999999993,100352.0,147221.694,-0.46705291374362234
560,-4.5,25088.0,22041.376,0.12143749999999999,100352.0,145424.913,-0.44914812858737246
560,-4.0,25088.0,22100.96,0.11906250000000003,100352.0,145827.453,-0.45315940888073986
