caseId,displayName,payloadLength,encodedLength,actualRate,pointCount,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,aggregateBer,aggregateFer,minimumObservedBer,minimumObservedFer,highEndpointEbn0Db,highEndpointSnrDb,highEndpointBer,highEndpointFer,miscorrectionFrames,decoderFailureFrames
K200_M255K207,BCH255整块200,200,248,0.80645161290322576,3,60000,12000000,23625,3154,0.00196875,0.052566666666666664,6.08e-05,0.00192,10,12.07608310501746,6.0800000000000001e-05,0.00192,7,3148
K200_M511K385,BCH385整块200,200,326,0.61349693251533743,3,15000,3000000,157236,9784,0.052412,0.6522666666666667,0.00564,0.1104,7,7.888423912600234,0.00564,0.1104,0,9784
K200_M511K421,BCH421整块200,200,290,0.68965517241379315,3,16469,3293800,92903,7567,0.02820541623656567,0.4594693059687898,0.0012969547070644614,0.030916679548616478,8,9.3966199342900634,0.0012969547070644614,0.030916679548616478,0,7567
K200_S15,BCH15分块200,200,285,0.70175438596491224,3,60103,12020600,9180,2773,0.0007636890005490574,0.04613746402009883,6.7e-06,0.0006,16,17.472151313194523,6.7000000000000002e-06,0.00059999999999999995,2773,0
K300_M255K207,BCH255双块300,300,396,0.75757575757575757,3,60000,18000000,33620,4076,0.0018677777777777779,0.06793333333333333,7.686666666666666e-05,0.00392,10,11.804560644581313,7.686666666666666e-05,0.0039199999999999999,2,4080
K300_M511K385,BCH385整块300,300,426,0.70422535211267601,3,60000,18000000,79722,5322,0.004429,0.0887,3.36e-05,0.00088,9,10.487416512809247,3.3599999999999997e-05,0.00088000000000000003,0,5322
K300_M511K421,BCH421整块300,300,390,0.76923076923076927,3,60000,18000000,38227,3480,0.002123722222222222,0.058,9.933333333333334e-06,0.00032,10,11.870866433571445,9.9333333333333337e-06,0.00032000000000000003,0,3480
K300_S15,BCH15分块300,300,420,0.7142857142857143,3,60000,18000000,12951,3508,0.0007195,0.05846666666666667,7.533333333333333e-06,0.00096,16,17.549019599857431,7.5333333333333329e-06,0.00096000000000000002,3508,0
