runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,timingBatchCount,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason
formal_dense,FINAL_DENSE,W128-S25-D70,R12,DENSE_GRID,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,128,25,70,1000,7015,506,0.023383333333333332,0.50600000000000001,0.022848647556345518,0.023930224976015081,0.47504885836338107,0.53690522053479228,0.023875,0.022821428571428572,108,16,0.0059642147117296273,188,146.33333333333334,188,210,611,52.75,72,9,9,9,143998000,866000,1320.9393000000016,1760.5999999999999,1369.8,4313.8999999999996,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D70,R12,DENSE_GRID,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,128,25,70,1000,3217,296,0.010723333333333333,0.29599999999999999,0.010360984899738041,0.011098211847595504,0.26853097433797923,0.32503034312412726,0.010874999999999999,0.01055,11,2,0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,143998000,866000,1282.8282000000015,1549.0999999999999,1377,3036.1999999999998,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D70,R12,DENSE_GRID,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,128,25,70,1240,1710,200,0.004596774193548387,0.16129032258064516,0.0043844592924837077,0.0048193205539663435,0.14186988850141569,0.18280288708172227,0.0045715725806451616,0.0046255760368663591,2,1,0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,178557520,1073840,1351.6141935483865,1531.0999999999999,1388.8,2614.4000000000001,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-1239,CC-C-R12-S-W128-S25-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D70,R12,DENSE_GRID,-0.59999999999999987,-0.59999999999999987,2.4963016742589881,0.49019607843137253,0.5740768107484413,128,25,70,2430,1418,200,0.0019451303155006859,0.082304526748971193,0.0018465780059963429,0.0020489315884906273,0.072025408506278338,0.09390218606118933,0.0020447530864197531,0.001831275720164609,0,0,0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,349915140,2104380,1315.5168724279847,1492.7,1388.2,2218.6999999999998,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-2429,CC-C-R12-S-W128-S25-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D70,R12,DENSE_GRID,-0.19999999999999996,-0.19999999999999996,2.8963016742589875,0.49019607843137253,0.52356427402544969,128,25,70,5651,1153,200,0.00068011561375567748,0.035391966023712619,0.00064198721652094213,0.00072050686998632375,0.030881483924932396,0.04053368514064111,0.00061935940541497079,0.00074955128043077083,0,0,0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,813732698,4893766,1301.8869580605203,1503.2,1383.4000000000001,3004.8000000000002,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-5650,CC-C-R12-S-W128-S25-D70,STAGE13-1200,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D98,R23,DENSE_GRID,-0.5,-0.5,1.3469143081759878,0.65359477124183007,0.56100922715098167,128,25,98,1000,24565,805,0.081883333333333336,0.80500000000000005,0.080907531694242862,0.082869842688361256,0.77929577121571003,0.82836990610810157,0.089175000000000004,0.073550000000000004,1660,119,0.0062500000000000056,183,137.66666666666666,181,183,458,34.25,38,9,9,9,143998000,1090000,1187.8641999999982,1366.2,1269.4000000000001,2371,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D98,STAGE13-2300,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D98,R23,DENSE_GRID,-0.099999999999999978,-0.099999999999999978,1.7469143081759877,0.65359477124183007,0.51164649614037705,128,25,98,1000,12785,590,0.042616666666666664,0.58999999999999997,0.041899700911069461,0.043345345733878334,0.55922844111867087,0.62008274235392913,0.0465,0.03817857142857143,623,52,0.010273972602739736,183,137.66666666666666,181,183,458,34.25,38,9,9,9,143998000,1090000,1277.1743000000015,1531.2,1343.9000000000001,2470.5,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D98,STAGE13-2300,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D98,R23,DENSE_GRID,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,128,25,98,1000,5733,350,0.019109999999999999,0.34999999999999998,0.018626198943746335,0.019606116359439783,0.32106271005247566,0.38008531749319086,0.020750000000000001,0.017235714285714285,143,12,0.0057471264367816143,183,137.66666666666666,181,183,458,34.25,38,9,9,9,143998000,1090000,1322.921600000001,1568.4000000000001,1389.0999999999999,3426.5,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D98,STAGE13-2300,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D98,R23,DENSE_GRID,0.70000000000000018,0.70000000000000018,2.546914308175988,0.65359477124183007,0.42556901910118822,128,25,98,1093,2434,200,0.0074229948154925281,0.18298261665141813,0.0071349123509543474,0.0077226185555035361,0.16118383848859932,0.20700196956327524,0.0077939158279963401,0.0069990850869167433,27,3,0,183,137.66666666666666,181,183,458,34.25,38,9,9,9,157389814,1191370,1289.45077767612,1553.5999999999999,1369.8,2338.5,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-1092,CC-C-R23-S-W128-S25-D98,STAGE13-2300,TARGET_ERRORS_REACHED
formal_dense,FINAL_DENSE,W128-S25-D98,R23,DENSE_GRID,1.1000000000000001,1.1000000000000001,2.9469143081759879,0.65359477124183007,0.38812355831434586,128,25,98,2549,1914,202,0.0025029423303256177,0.079246763436641818,0.0023934227168929726,0.002617460256456179,0.069382306259061985,0.090377500763619209,0.002451941938014908,0.0025612284929664294,28,2,0.0099999999999999083,183,137.66666666666666,181,183,458,34.25,38,9,9,9,367050902,2778410,1394.7517457826611,1736.8,1424.7,4001.8000000000002,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-2548,CC-C-R23-S-W128-S25-D98,STAGE13-2300,TARGET_ERRORS_REACHED
