caseName,fieldDegree,primitivePolynomial,generatorPolynomial,generatorDegree,correctionCapability,shorteningLength,shortenedN,shortenedK
BCH-B200,8,285,1110001111110101110000101110111110011110010010111,48,6,7,248,200
BCH-B300,9,529,1011001111111001001110010101010110111010110100110001000011110000110100100111000111101001011,90,10,121,390,300
