rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Float,0,0,0,1000,3108,301,0.010359999999999999,0.30099999999999999,0.010003886380260512,0.010728653005154144,0.27337621044619009,0.33014683943106082,424.24509999999975,431.30000000000001,528.39999999999998,1228.7,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q5,5,1.5,0.10000000000000001,1000,3306,310,0.01102,0.31,0.010652641145938601,0.011399881337273677,0.28210764506522773,0.33934652315928321,405.5757000000005,412.69999999999999,485.5,1363.9000000000001,383,512,58752,59647,166087,27.138398692810458,178896,29.231372549019607,0,0,0.063706563706563787,0.029900332225913647,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q6,6,1.5,0.048387096774193547,1000,3294,309,0.01098,0.309,0.0106133126118394,0.011359210895748777,0.28113685771666347,0.33832496402481854,403.44940000000008,410.39999999999998,505.69999999999999,980.39999999999998,459,512,58752,59723,166087,27.138398692810458,172151,28.129248366013073,0,0,0.05984555984555992,0.026578073089701022,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q7,7,2,0.031746031746031744,1000,3125,299,0.010416666666666666,0.29899999999999999,0.010059573307579088,0.010786297959969706,0.27143763442230356,0.32810072248888961,403.43400000000025,409.19999999999999,482.5,1568.5,536,512,58752,59800,68480,11.18954248366013,70741,11.558986928104575,0,0,0.0054697554697554704,-0.0066445182724252554,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.2999999999999998,-1.2999999999999998,1.7963016742589879,0.49019607843137253,0.67448144129582677,Q8,8,2,0.015748031496062992,1000,3094,299,0.010313333333333334,0.29899999999999999,0.0099580286335454425,0.010681178613641099,0.27143763442230356,0.32810072248888961,399.5886999999999,407.5,479.60000000000002,2520.5,612,512,58752,59876,68480,11.18954248366013,69589,11.370751633986927,0,0,-0.004504504504504377,-0.0066445182724252554,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
