rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R34,2.8000000000000003,2.8000000000000003,4.135389083702175,0.73529411764705888,0.26240373012488627,Float,0,0,0,17646,1592,200,0.00030072915486040273,0.011334013374135782,0.00028631710385147052,0.00031586642132089705,0.0098750649700357889,0.013005676466815485,391.65774113113542,400.5,469.60000000000002,1320.9000000000001,3264,1024,58752,63040,0,0,0,0,0,0,0,0,2026072001,2026072902,0-17645,CC-B-R34-S-Float,STAGE11-3400,dense,TARGET_ERRORS_REACHED,5
R34,2.8000000000000003,2.8000000000000003,4.135389083702175,0.73529411764705888,0.26240373012488627,Q5,5,1.5,0.10000000000000001,17646,1663,212,0.0003141410706864634,0.012014054176583928,0.00029940343915407428,0.0003296038982056503,0.010509454820167014,0.013731072202067278,362.13719823189479,370.39999999999998,420,2558.9000000000001,255,512,58752,59519,1184814,16.456737404244254,1367223,18.990347754198584,0,0,0.044597989949748729,0.059999999999999915,2026072001,2026072902,0-17645,CC-B-R34-S-Q5,STAGE11-3400,dense,TARGET_ERRORS_REACHED,5
R34,2.8000000000000003,2.8000000000000003,4.135389083702175,0.73529411764705888,0.26240373012488627,Q6,6,1.5,0.048387096774193547,17646,1639,202,0.00030960746533680912,0.01144735350787714,0.00029497909711177946,0.0003249610361282752,0.0099807007565458628,0.013126671611202585,355.94890060070094,365.5,413.39999999999998,1730,306,512,58752,59570,1184814,16.456737404244254,1271111,17.655378767170475,0,0,0.029522613065326726,0.010000000000000037,2026072001,2026072902,0-17645,CC-B-R34-S-Q6,STAGE11-3400,dense,TARGET_ERRORS_REACHED,5
R34,2.8000000000000003,2.8000000000000003,4.135389083702175,0.73529411764705888,0.26240373012488627,Q7,7,2,0.031746031746031744,17646,1597,204,0.00030167365597491406,0.011560693641618497,0.00028723844201406352,0.00031683408401656871,0.010086375623776501,0.013247627674869113,354.1175507197085,362.39999999999998,411.10000000000002,2857.5999999999999,357,512,58752,59621,182873,2.5400551810886429,196537,2.7298443462163284,0,0,0.0031407035175879993,0.019999999999999921,2026072001,2026072902,0-17645,CC-B-R34-S-Q7,STAGE11-3400,dense,TARGET_ERRORS_REACHED,5
R34,2.8000000000000003,2.8000000000000003,4.135389083702175,0.73529411764705888,0.26240373012488627,Q8,8,2,0.015748031496062992,17646,1619,204,0.00030582946087876384,0.011560693641618497,0.00029129275821161021,0.0003210913715953861,0.010086375623776501,0.013247627674869113,352.08148588915287,361.10000000000002,408.39999999999998,1285.8,408,512,58752,59672,182873,2.5400551810886429,189687,2.634699748651586,0,0,0.01695979899497491,0.019999999999999921,2026072001,2026072902,0-17645,CC-B-R34-S-Q8,STAGE11-3400,dense,TARGET_ERRORS_REACHED,5
