rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R23,0.90000000000000013,0.90000000000000013,2.7469143081759881,0.65359477124183007,0.40641525808204959,Float,0,0,0,1842,2215,200,0.0040083242851972492,0.10857763300760044,0.0038451459518499707,0.0041783984504397071,0.095176251476354903,0.12360822586370225,424.39131378935969,415.89999999999998,547.79999999999995,3230.9000000000001,3672,1024,58752,63448,0,0,0,0,0,0,0,0,2026072001,2026072902,0-1841,CC-B-R23-S-Float,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.90000000000000013,0.90000000000000013,2.7469143081759881,0.65359477124183007,0.40641525808204959,Q5,5,1.5,0.10000000000000001,1842,2396,211,0.0043358668114368438,0.11454940282301845,0.0041660432273765338,0.0045125816735292149,0.1008006609755724,0.12990249978925497,391.49695982627594,385.39999999999998,484.5,2028.2,287,512,58752,59551,182429,21.577025067476622,202528,23.954260193641939,0,0,0.081715575620767478,0.054999999999999896,2026072001,2026072902,0-1841,CC-B-R23-S-Q5,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.90000000000000013,0.90000000000000013,2.7469143081759881,0.65359477124183007,0.40641525808204959,Q6,6,1.5,0.048387096774193547,1842,2266,209,0.0041006152732537098,0.11346362649294245,0.0039355375748308013,0.004272587520439095,0.099777085076347735,0.12875904233852142,381.42128121606936,378.69999999999999,476.10000000000002,2440.5999999999999,345,512,58752,59609,182429,21.577025067476622,192010,22.710230189313027,0,0,0.023024830699774304,0.044999999999999887,2026072001,2026072902,0-1841,CC-B-R23-S-Q6,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.90000000000000013,0.90000000000000013,2.7469143081759881,0.65359477124183007,0.40641525808204959,Q7,7,2,0.031746031746031744,1842,2181,201,0.0039467969598262756,0.10912052117263844,0.0037848971813452779,0.0041155934256242536,0.095687021236640538,0.12418097277839572,383.48604777415903,375.89999999999998,468.39999999999998,3261.5999999999999,402,512,58752,59666,48743,5.7651411390952809,51150,6.0498321659463636,0,0,-0.015349887133182869,0.0050000000000000018,2026072001,2026072902,0-1841,CC-B-R23-S-Q7,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.90000000000000013,0.90000000000000013,2.7469143081759881,0.65359477124183007,0.40641525808204959,Q8,8,2,0.015748031496062992,1842,2246,203,0.0040644227289178426,0.11020629750271443,0.0039000872765385898,0.004235653233248868,0.096708890425678803,0.12532613693931566,377.90580890336645,375,471.60000000000002,2095.5,459,512,58752,59723,48743,5.7651411390952809,49914,5.9036426731387452,0,0,0.013995485327313716,0.014999999999999878,2026072001,2026072902,0-1841,CC-B-R23-S-Q8,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
