rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R23,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,Float,0,0,0,1000,5513,333,0.018376666666666666,0.33300000000000002,0.017902186704110045,0.018863480712634276,0.30447790334835623,0.36280023398581918,413.48930000000092,417.39999999999998,496.39999999999998,1163.9000000000001,3672,1024,58752,63448,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R23-S-Float,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,Q5,5,1.5,0.10000000000000001,1000,5659,332,0.018863333333333333,0.33200000000000002,0.018382646096876606,0.019356342189960907,0.30350363489239063,0.36178215595875596,383.60159999999973,385.30000000000001,447.80000000000001,1224.7,287,512,58752,59551,106442,23.189978213507626,116962,25.481917211328977,0,0,0.02648285869762379,-0.0030030030030030056,2026072001,2026072902,0-999,CC-B-R23-S-Q5,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,Q6,6,1.5,0.048387096774193547,1000,5714,339,0.019046666666666667,0.33900000000000002,0.018563663065261634,0.019541987193186328,0.31032659115369232,0.36890562507865643,378.8329,380,441.39999999999998,1129.3,345,512,58752,59609,106442,23.189978213507626,111380,24.265795206971678,0,0,0.036459278070016352,0.018018018018018032,2026072001,2026072902,0-999,CC-B-R23-S-Q6,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,Q7,7,2,0.031746031746031744,1000,5620,336,0.018733333333333334,0.33600000000000002,0.018254295834911546,0.019224695781147653,0.30740158982270954,0.36585358696055253,374.07729999999992,376.10000000000002,423.60000000000002,2143.5,402,512,58752,59666,32832,7.1529411764705886,34333,7.4799564270152503,0,0,0.019408670415381916,0.0090090090090090159,2026072001,2026072902,0-999,CC-B-R23-S-Q7,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
R23,0.30000000000000004,0.30000000000000004,2.1469143081759876,0.65359477124183007,0.4666271503984955,Q8,8,2,0.015748031496062992,1000,5607,335,0.018689999999999998,0.33500000000000002,0.018211513758889186,0.019180812300243898,0.30642688114062866,0.3648359491596046,371.41620000000012,374.89999999999998,428.60000000000002,620.29999999999995,459,512,58752,59723,32832,7.1529411764705886,33531,7.3052287581699344,0,0,0.017050607654634436,0.0060060060060060112,2026072001,2026072902,0-999,CC-B-R23-S-Q8,STAGE11-2300,dense,TARGET_ERRORS_REACHED,5
