patternId,targetRate,periodMotherBits,keepMask,keepCount,status
R23_A_1110,2/3,4,1110,3,CANDIDATE
R23_B_1101,2/3,4,1101,3,SELECTED
R34_A_111001,3/4,6,111001,4,CANDIDATE
R34_B_110110,3/4,6,110110,4,SELECTED
