patternId,K_payload,K_codec_input,N_mother,N_transmitted,puncturedLength,actualRate
MOTHER_R12,300,306,612,612,0,0.49019607843137253
R23_A_1110,300,306,612,459,153,0.6535947712418301
R23_B_1101,300,306,612,459,153,0.6535947712418301
R34_A_111001,300,306,612,408,204,0.7352941176470589
R34_B_110110,300,306,612,408,204,0.7352941176470589
