caseId,frames,payloadBitMismatch,payloadFrameMismatch,nonFiniteMetricCount,K_payload,K_codec_input,N_mother,N_transmitted,actualRate,finalState,observedMaskCount
CC-B-R12-H,100,0,0,0,300,306,612,612,0.49019607843137253,0,612
CC-B-R12-S,100,0,0,0,300,306,612,612,0.49019607843137253,0,612
CC-B-R23-H,100,0,0,0,300,306,612,459,0.65359477124183007,0,459
CC-B-R23-S,100,0,0,0,300,306,612,459,0.65359477124183007,0,459
CC-B-R34-H,100,0,0,0,300,306,612,408,0.73529411764705888,0,408
CC-B-R34-S,100,0,0,0,300,306,612,408,0.73529411764705888,0,408
