caseId,snrIndex,snrDb,totalFrames,payloadErrorFrames,stopReason,ber,fer,passed
K200_S15,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.18171499999999999,1,true
K200_S15,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.16428000000000001,1,true
K200_S15,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.147005,1,true
K200_S15,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.12745500000000001,1,true
K200_S15,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.10949,1,true
K200_S15,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091649999999999995,1,true
K200_S15,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.074510000000000007,1,true
K200_S15,7,3.5,1000,997,TARGET_FRAME_ERRORS_REACHED,0.05747,0.997,true
K200_S15,8,4,1000,981,TARGET_FRAME_ERRORS_REACHED,0.044104999999999998,0.98099999999999998,true
K200_S15,9,4.5,1000,955,TARGET_FRAME_ERRORS_REACHED,0.032930000000000001,0.95499999999999996,true
K200_S15,10,5,1000,860,TARGET_FRAME_ERRORS_REACHED,0.022315000000000002,0.85999999999999999,true
K200_S15,11,5.5,1000,746,TARGET_FRAME_ERRORS_REACHED,0.015235,0.746,true
K200_S15,12,6,1000,586,TARGET_FRAME_ERRORS_REACHED,0.0091900000000000003,0.58599999999999997,true
K200_S15,13,6.5,1000,398,TARGET_FRAME_ERRORS_REACHED,0.00547,0.39800000000000002,true
K200_S15,14,7,1000,237,TARGET_FRAME_ERRORS_REACHED,0.002905,0.23699999999999999,true
K200_S15,15,7.5,1539,200,TARGET_FRAME_ERRORS_REACHED,0.0015562053281351527,0.12995451591942819,true
K200_S15,16,8,3224,200,TARGET_FRAME_ERRORS_REACHED,0.00069633995037220848,0.062034739454094295,true
K200_S15,17,8.5,7089,200,TARGET_FRAME_ERRORS_REACHED,0.00031175059952038371,0.028212723938496262,true
K200_S15,18,9,20501,200,TARGET_FRAME_ERRORS_REACHED,0.00010633627627920589,0.0097556216769913665,true
K200_S15,19,9.5,50000,172,MAX_FRAMES_REACHED,3.82e-05,0.0034399999999999999,true
K200_S15,20,10,50000,57,MAX_FRAMES_REACHED,1.2500000000000001e-05,0.00114,true
K200_S15,21,10.5,50000,17,MAX_FRAMES_REACHED,3.4000000000000001e-06,0.00034000000000000002,true
K200_S15,22,11,50000,4,MAX_FRAMES_REACHED,8.9999999999999996e-07,8.0000000000000007e-05,true
K200_S15,23,11.5,50000,1,MAX_FRAMES_REACHED,1.9999999999999999e-07,2.0000000000000002e-05,true
K200_S15,24,12,50000,1,MAX_FRAMES_REACHED,2.9999999999999999e-07,2.0000000000000002e-05,true
K200_S15,25,12.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,26,13,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,27,13.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,28,14,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,29,14.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,30,15,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,31,15.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,32,16,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,33,16.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,34,17,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,35,17.5,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_S15,36,18,50000,0,MAX_FRAMES_REACHED,0,0,true
K200_M255K207,0,0,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.15698500000000001,1,true
K200_M255K207,1,0.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.145005,1,true
K200_M255K207,2,1,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.13031000000000001,1,true
K200_M255K207,3,1.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.117925,1,true
K200_M255K207,4,2,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.103395,1,true
K200_M255K207,5,2.5,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.091575000000000004,1,true
K200_M255K207,6,3,1000,1000,TARGET_FRAME_ERRORS_REACHED,0.07825,1,true
K200_M255K207,7,3.5,1000,997,TARGET_FRAME_ERRORS_REACHED,0.067455000000000001,0.997,true
K200_M255K207,8,4,1000,993,TARGET_FRAME_ERRORS_REACHED,0.056485,0.99299999999999999,true
K200_M255K207,9,4.5,1000,962,TARGET_FRAME_ERRORS_REACHED,0.046295000000000003,0.96199999999999997,true
K200_M255K207,10,5,1000,829,TARGET_FRAME_ERRORS_REACHED,0.034055000000000002,0.82899999999999996,true
K200_M255K207,11,5.5,1000,580,TARGET_FRAME_ERRORS_REACHED,0.02147,0.57999999999999996,true
K200_M255K207,12,6,1000,367,TARGET_FRAME_ERRORS_REACHED,0.012534999999999999,0.36699999999999999,true
K200_M255K207,13,6.5,1464,200,TARGET_FRAME_ERRORS_REACHED,0.0042418032786885242,0.13661202185792351,true
