stageId,gitCommit,configHash,caseId,displayName,legendLabel,styleId,payloadLength,motherN,motherK,motherT,blockCount,encodedLength,actualRate,snrIndex,snrDb,snrLinear,ebn0Db,sigma2,masterSeed,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,encodeTimeTotalNs,decodeTimeTotalNs,encodeTimeMeanNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,noiseChecksum,stopReason,checkpointId,pointRunId
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,0,0,1,-1.4721513131945216,1,2026072707,1000,200000,36343,1000,0,1000,0,0,0.18171499999999999,1,0,1,0,0,3696000,8925500,3696,8925,7500,13700,18000,58800,14685732455322424930,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_0,stage07_awgn_dense_formal_K200_S15_0
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,1,0.5,1.1220184543019633,-0.97215131319452164,0.89125093813374556,2026072707,1000,200000,32856,1000,0,1000,0,0,0.16428000000000001,1,0,1,0,0,3390200,8401800,3390,8401,7300,12500,17000,38400,10013568447114372444,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_1,stage07_awgn_dense_formal_K200_S15_1
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,2,1,1.2589254117941673,-0.47215131319452164,0.79432823472428149,2026072707,1000,200000,29401,1000,0,1000,0,0,0.147005,1,0,1,0,0,2880400,7445200,2880,7445,7000,10000,14700,33900,11927363951529721476,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_2,stage07_awgn_dense_formal_K200_S15_2
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,3,1.5,1.4125375446227544,0.027848686805478362,0.70794578438413791,2026072707,1000,200000,25491,1000,0,1000,0,0,0.12745500000000001,1,0,1,0,0,3652700,8540900,3652,8540,7300,12400,14800,49600,11828147471031830495,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_3,stage07_awgn_dense_formal_K200_S15_3
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,4,2,1.5848931924611136,0.52784868680547836,0.63095734448019325,2026072707,1000,200000,21898,1000,0,1000,0,0,0.10949,1,0,1,0,0,3256300,8139500,3256,8139,7200,11400,15100,67100,6602979061015238156,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_4,stage07_awgn_dense_formal_K200_S15_4
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,5,2.5,1.7782794100389228,1.0278486868054784,0.56234132519034907,2026072707,1000,200000,18330,1000,0,1000,0,0,0.091649999999999995,1,0,1,0,0,3464000,8504300,3464,8504,7100,12100,18900,104000,9623433725037770008,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_5,stage07_awgn_dense_formal_K200_S15_5
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,6,3,1.9952623149688795,1.5278486868054784,0.50118723362727235,2026072707,1000,200000,14902,1000,0,1000,0,0,0.074510000000000007,1,0,1,0,0,3857800,8665400,3857,8665,7100,12200,19900,78900,5267410710066986156,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_6,stage07_awgn_dense_formal_K200_S15_6
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,7,3.5,2.2387211385683394,2.0278486868054784,0.44668359215096315,2026072707,1000,200000,11494,997,0,997,0,3,0.05747,0.997,0,0.997,0,0.0030000000000000001,3444600,8119100,3444,8119,6900,11900,16700,80600,15771373467849881254,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_7,stage07_awgn_dense_formal_K200_S15_7
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,8,4,2.5118864315095801,2.5278486868054784,0.39810717055349726,2026072707,1000,200000,8821,981,0,981,0,19,0.044104999999999998,0.98099999999999998,0,0.98099999999999998,0,0.019,3788700,7709500,3788,7709,6700,10900,17000,283200,17882804078939191040,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_8,stage07_awgn_dense_formal_K200_S15_8
stage07_awgn_dense_formal,8bd58cf80c60f2d373d479b9d8e02a1919fdca8d,06c0a60191fbbad29be0c8054a0f2f0e1a2a41ec8a64c125eb84b9670f0ea338,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,9,4.5,2.8183829312644537,3.0278486868054784,0.35481338923357547,2026072707,1000,200000,6586,955,0,955,0,45,0.032930000000000001,0.95499999999999996,0,0.95499999999999996,0,0.044999999999999998,3506100,8536500,3506,8536,6700,11700,17500,299000,8743085798537985443,TARGET_FRAME_ERRORS_REACHED,dense_K200_S15_9,stage07_awgn_dense_formal_K200_S15_9
