scheme,configurationId,comparisonRole,rankAmongInterleavers,meanFormalFer,worstHighWorkpointStartFer,burstToleranceStatus,decodeTimeMeanNsWeighted,additionalCpuTimeMeanNsWeighted,bufferBits,startupDelayBits,startupDelayTrellisSteps,interpretationScope
BCH,BCH_CODEBLOCK_D19,FORMAL_METHOD,2,0.7821913844308455,1.0,WITHIN_TESTED_GRID,9158.155535619127,661.3907398328062,285,285,0,CONTROLLED_EQUAL_SPAN_285_COMPARISON
BCH,BCH_GLOBAL_PSEUDO_285,FORMAL_METHOD,3,0.9326201232111357,1.0,BELOW_MIN_TESTED_2_PERCENT,8925.406650475321,662.0804755583689,285,285,0,CONTROLLED_EQUAL_SPAN_285_COMPARISON
BCH,BCH_NONE,BASELINE,,,,BELOW_MIN_TESTED_2_PERCENT,8553.286132044557,647.8431202695607,0,0,0,BASELINE_REFERENCE
BCH,BCH_ROW_COLUMN_R15,FORMAL_METHOD,1,0.7818114086906416,1.0,WITHIN_TESTED_GRID,9052.931998121227,654.8372563798248,285,285,0,CONTROLLED_EQUAL_SPAN_285_COMPARISON
CC,CC_NONE,BASELINE,,,,BELOW_MIN_TESTED_2_PERCENT,308538.06307957944,1148.487410083933,0,0,0,BASELINE_REFERENCE
CC,CC_PSEUDO_128_RECOMMENDED,RECOMMENDED_ENGINEERING_CONFIGURATION,1,0.906391805053418,1.0,BELOW_MIN_TESTED_2_PERCENT,307559.02173985506,1146.4916900553997,256,256,128,RECOMMENDED_ENGINEERING_CONFIGURATION_COMPARISON;CONTROLLED_EQUAL_SPAN_128_COMPARISON
CC,CC_SHORT_D16_CONTROL_128,CONTROLLED_EQUAL_SPAN_128,3,0.962055199633686,1.0,BELOW_MIN_TESTED_2_PERCENT,307068.2892780715,1217.6298824674502,256,256,128,CONTROLLED_EQUAL_SPAN_128_COMPARISON
CC,CC_SHORT_D8_RECOMMENDED,RECOMMENDED_ENGINEERING_CONFIGURATION,2,0.9437581788638151,1.0,BELOW_MIN_TESTED_2_PERCENT,307978.6892087386,1124.9175672162185,128,128,64,RECOMMENDED_ENGINEERING_CONFIGURATION_COMPARISON
