caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_S15,分块,200,285,0.70175438596491224,1.5381486434452905,0,0,ber,0.088169999999999998,1000,17634,0,0,0.088169999999999998
K200_S15,分块,200,285,0.70175438596491224,2.0381486434452905,0.5,0.5,ber,0.069745000000000001,1000,13949,0,0,0.069745000000000001
K200_S15,分块,200,285,0.70175438596491224,2.5381486434452905,1,1,ber,0.055474999999999997,1000,11095,0,0,0.055474999999999997
K200_S15,分块,200,285,0.70175438596491224,3.0381486434452905,1.5,1.5,ber,0.041834999999999997,1000,8367,0,0,0.041834999999999997
K200_S15,分块,200,285,0.70175438596491224,3.5381486434452905,2,2,ber,0.030110000000000001,1000,6022,0,0,0.030110000000000001
K200_S15,分块,200,285,0.70175438596491224,4.0381486434452905,2.5,2.5,ber,0.020709999999999999,1000,4142,0,0,0.020709999999999999
K200_S15,分块,200,285,0.70175438596491224,4.5381486434452905,3,3,ber,0.01346,1000,2692,0,0,0.01346
K200_S15,分块,200,285,0.70175438596491224,5.0381486434452905,3.5,3.5,ber,0.0087799999999999996,1000,1756,0,0,0.0087799999999999996
K200_S15,分块,200,285,0.70175438596491224,5.5381486434452905,4,4,ber,0.00528,1000,1056,0,0,0.00528
K200_S15,分块,200,285,0.70175438596491224,6.0381486434452905,4.5,4.5,ber,0.0029399999999999999,1000,588,0,0,0.0029399999999999999
K200_S15,分块,200,285,0.70175438596491224,6.5381486434452905,5,5,ber,0.0014375,1600,460,0,0,0.0014375
K200_S15,分块,200,285,0.70175438596491224,7.0381486434452905,5.5,5.5,ber,0.00074516129032258069,3100,462,0,0,0.00074516129032258069
K200_S15,分块,200,285,0.70175438596491224,7.5381486434452905,6,6,ber,0.00029507042253521128,7100,419,0,0,0.00029507042253521128
K200_S15,分块,200,285,0.70175438596491224,8.0381486434452896,6.4999999999999991,6.4999999999999991,ber,0.0001123076923076923,19500,438,0,0,0.0001123076923076923
K200_S15,分块,200,285,0.70175438596491224,8.5381486434452896,6.9999999999999991,6.9999999999999991,ber,3.79e-05,50000,379,0,0,3.79e-05
K200_S15,分块,200,285,0.70175438596491224,9.0381486434452896,7.4999999999999991,7.4999999999999991,ber,1.3699999999999999e-05,50000,137,0,0,1.3699999999999999e-05
K200_S15,分块,200,285,0.70175438596491224,9.5381486434452896,7.9999999999999991,7.9999999999999991,ber,6.7000000000000002e-06,50000,67,0,0,6.7000000000000002e-06
K200_M255K207,255整块,200,248,0.80645161290322576,0.93421685162235091,0,0,ber,0.084324999999999997,1000,16865,0,0,0.084324999999999997
K200_M255K207,255整块,200,248,0.80645161290322576,1.434216851622351,0.50000000000000011,0.50000000000000011,ber,0.073145000000000002,1000,14629,0,0,0.073145000000000002
K200_M255K207,255整块,200,248,0.80645161290322576,1.934216851622351,1,1,ber,0.061830000000000003,1000,12366,0,0,0.061830000000000003
K200_M255K207,255整块,200,248,0.80645161290322576,2.434216851622351,1.5,1.5,ber,0.050564999999999999,1000,10113,0,0,0.050564999999999999
K200_M255K207,255整块,200,248,0.80645161290322576,2.934216851622351,2,2,ber,0.04086,1000,8172,0,0,0.04086
K200_M255K207,255整块,200,248,0.80645161290322576,3.434216851622351,2.5,2.5,ber,0.030450000000000001,1000,6090,0,0,0.030450000000000001
K200_M255K207,255整块,200,248,0.80645161290322576,3.934216851622351,3,3,ber,0.017925,1000,3585,0,0,0.017925
K200_M255K207,255整块,200,248,0.80645161290322576,4.4342168516223506,3.4999999999999996,3.4999999999999996,ber,0.00941,1000,1882,0,0,0.00941
