caseId,sampleId,continuousError,hardMismatch,payloadMismatch,statusMismatch,passed
K200_S15,0,2.22044604925031e-16,0,0,0,1
K200_S15,1,2.22044604925031e-16,0,0,0,1
K200_S15,2,2.22044604925031e-16,0,0,0,1
K200_M511K385,0,2.22044604925031e-16,0,0,0,1
K200_M511K385,1,2.22044604925031e-16,0,0,0,1
K200_M511K385,2,2.22044604925031e-16,0,0,0,1
K300_S15,0,4.44089209850063e-16,0,0,0,1
K300_S15,1,2.22044604925031e-16,0,0,0,1
K300_S15,2,2.22044604925031e-16,0,0,0,1
K300_M255K207,0,4.44089209850063e-16,0,0,0,1
K300_M255K207,1,2.22044604925031e-16,0,0,0,1
K300_M255K207,2,2.22044604925031e-16,0,0,0,1
