stageId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,initialPhaseDeg,targetEndPhaseDeg,deltaPhaseRadPerSymbol,actualEndPhaseDeg,ebn0Index,ebn0Db,snrDb,sigmaDimension2,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,noiseChecksum,stopReason,checkpointId,shardId
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,11,7.0381486434452905,5.5,0.14091914656322269,3100,620000,462,200,0,200,0,2900,20379300,6573,5800,9700,12200,0.00074516129032258069,0.064516129032258063,0,0.064516129032258063,0,0.93548387096774188,1633818218356472268,TARGET_FRAME_ERRORS_REACHED,stage10_K200_S15_11,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,12,7.5381486434452905,6,0.12559432157547901,7100,1420000,419,201,0,201,0,6899,44601800,6281,5600,9300,13900,0.00029507042253521128,0.028309859154929576,0,0.028309859154929576,0,0.97169014084507044,10076998085892259228,TARGET_FRAME_ERRORS_REACHED,stage10_K200_S15_12,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,13,8.0381486434452896,6.4999999999999991,0.11193605692841702,19500,3900000,438,204,0,204,0,19296,181304000,9297,6000,12400,44500,0.0001123076923076923,0.010461538461538461,0,0.010461538461538461,0,0.98953846153846159,2985079736257071735,TARGET_FRAME_ERRORS_REACHED,stage10_K200_S15_13,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,14,8.5381486434452896,6.9999999999999991,0.099763115748444015,50000,10000000,379,181,0,181,0,49819,398350000,7967,7500,11200,24900,3.79e-05,0.00362,0,0.00362,0,0.99638000000000004,1756474235005861396,MAX_FRAMES_REACHED,stage10_K200_S15_14,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,15,9.0381486434452896,7.4999999999999991,0.08891397050194616,50000,10000000,137,68,0,68,0,49932,381503300,7630,6100,10900,23800,1.3699999999999999e-05,0.0013600000000000001,0,0.0013600000000000001,0,0.99863999999999997,10603566217640064313,MAX_FRAMES_REACHED,stage10_K200_S15_15,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_S15,分块200,200,285,0.70175438596491224,0,30,0.0018436576605573901,30,16,9.5381486434452896,7.9999999999999991,0.079244659623055672,50000,10000000,67,32,0,32,0,49968,379670600,7593,6000,10700,23700,6.7000000000000002e-06,0.00064000000000000005,0,0.00064000000000000005,0,0.99936000000000003,17355470105088401994,MAX_FRAMES_REACHED,stage10_K200_S15_16,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,0,0.93421685162235091,0,0.50000000000000011,1000,200000,16865,1000,999,1,0,0,17611000,17611,16200,24800,36200,0.084324999999999997,1,0.999,0.001,0,0,423907137486138520,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_0,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,1,1.434216851622351,0.50000000000000011,0.44562546906687278,1000,200000,14629,1000,999,1,0,0,17147100,17147,16100,22600,29400,0.073145000000000002,1,0.999,0.001,0,0,17761919813029948538,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_1,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,2,1.934216851622351,1,0.3971641173621408,1000,200000,12366,997,997,0,0,3,18639100,18639,16300,28700,52800,0.061830000000000003,0.997,0.997,0,0,0.0030000000000000001,4260203735889696167,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_2,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,3,2.434216851622351,1.5,0.35397289219206896,1000,200000,10113,980,980,0,0,20,18718700,18718,17900,23600,39500,0.050564999999999999,0.97999999999999998,0.97999999999999998,0,0,0.02,4314901631387191043,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_3,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,4,2.934216851622351,2,0.31547867224009662,1000,200000,8172,927,925,2,0,73,19043700,19043,18600,23400,38600,0.04086,0.92700000000000005,0.92500000000000004,0.002,0,0.072999999999999995,16478764574410196208,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_4,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,5,3.434216851622351,2.5,0.28117066259517454,1000,200000,6090,808,807,1,0,192,20425600,20425,20500,28900,42400,0.030450000000000001,0.80800000000000005,0.80700000000000005,0.001,0,0.192,9666245384277021908,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_5,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,6,3.934216851622351,3,0.25059361681363612,1000,200000,3585,540,540,0,0,460,20608900,20608,20400,26900,45500,0.017925,0.54000000000000004,0.54000000000000004,0,0,0.46000000000000002,17650985223860525390,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_6,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,7,4.4342168516223506,3.4999999999999996,0.22334179607548157,1000,200000,1882,310,310,0,0,690,17691100,17691,16900,23400,33900,0.00941,0.31,0.31,0,0,0.68999999999999995,12000625682425426567,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_7,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,8,4.9342168516223506,3.9999999999999996,0.19905358527674863,1600,320000,1123,200,200,0,0,1400,26799000,16749,16000,23300,40900,0.0035093749999999999,0.125,0.125,0,0,0.875,4597541670309358050,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_8,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,9,5.4342168516223506,4.5,0.17740669461678774,6300,1260000,1093,200,198,2,0,6100,98077200,15567,14400,22900,40200,0.00086746031746031749,0.031746031746031744,0.031428571428571431,0.00031746031746031746,0,0.96825396825396826,7461404960197999720,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_9,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,10,5.9342168516223506,5,0.15811388300841897,36900,7380000,1024,200,200,0,0,36700,593920200,16095,14300,24000,47300,0.00013875338753387533,0.0054200542005420054,0.0054200542005420054,0,0,0.99457994579945797,2524707355824562695,TARGET_FRAME_ERRORS_REACHED,stage10_K200_M255K207_10,0
stage10_cfo_formal,3768c26a3f2cab3bc6b71a55b67cd985f1f6257e,K200_M255K207,255整块200,200,248,0.80645161290322576,0,30,0.0021198330995882545,30,11,6.4342168516223506,5.5,0.14091914656322269,50000,10000000,150,31,31,0,0,49969,678862300,13577,12300,20000,34300,1.5e-05,0.00062,0.00062,0,0,0.99938000000000005,1758676069445323855,MAX_FRAMES_REACHED,stage10_K200_M255K207_11,0
