caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_S15,分块,200,285,0.70175438596491224,4.5,2.9618513565547095,decodeTimeMeanNs,7264,5000,3683,0,0,7264
K200_S15,分块,200,285,0.70175438596491224,5.5,3.9618513565547095,decodeTimeMeanNs,7048,5000,1976,0,0,7048
K200_S15,分块,200,285,0.70175438596491224,6.5,4.9618513565547095,decodeTimeMeanNs,11358,5000,637,0,0,11358
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,decodeTimeMeanNs,6745,6300,200,0,0,6745
K200_S15,分块,200,285,0.70175438596491224,8.5,6.9618513565547095,decodeTimeMeanNs,6550,50000,196,0,0,6550
K200_M255K207,255整块,200,248,0.80645161290322576,4.5,3.565783148377649,decodeTimeMeanNs,16101,5000,2,0,0,16101
K200_M255K207,255整块,200,248,0.80645161290322576,5.5,4.5657831483776494,decodeTimeMeanNs,13867,7900,0,0,0,13867
K200_M255K207,255整块,200,248,0.80645161290322576,6.5,5.5657831483776494,decodeTimeMeanNs,12236,50000,0,0,0,12236
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,decodeTimeMeanNs,11422,50000,0,0,0,11422
K200_M255K207,255整块,200,248,0.80645161290322576,8.5,7.5657831483776494,decodeTimeMeanNs,10434,50000,0,0,0,10434
K200_M511K421,421整块,200,290,0.68965517241379315,4.5,2.8863199776502517,decodeTimeMeanNs,42889,5000,0,0,0,42889
K200_M511K421,421整块,200,290,0.68965517241379315,5.5,3.8863199776502517,decodeTimeMeanNs,33789,12800,0,0,0,33789
K200_M511K421,421整块,200,290,0.68965517241379315,6.5,4.8863199776502517,decodeTimeMeanNs,27809,50000,0,0,0,27809
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,decodeTimeMeanNs,24470,50000,0,0,0,24470
K200_M511K421,421整块,200,290,0.68965517241379315,8.5,6.8863199776502517,decodeTimeMeanNs,22697,50000,0,0,0,22697
K200_M511K385,385整块,200,326,0.61349693251533743,4.5,2.3781239559604219,decodeTimeMeanNs,63291,5000,0,0,0,63291
K200_M511K385,385整块,200,326,0.61349693251533743,5.5,3.3781239559604219,decodeTimeMeanNs,50632,16500,0,0,0,50632
K200_M511K385,385整块,200,326,0.61349693251533743,6.5,4.3781239559604224,decodeTimeMeanNs,40857,50000,0,0,0,40857
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,decodeTimeMeanNs,35955,50000,0,0,0,35955
K200_M511K385,385整块,200,326,0.61349693251533743,8.5,6.3781239559604224,decodeTimeMeanNs,33382,50000,0,0,0,33382
