caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,targetSnrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_M511K421,421整块,300,390,0.76923076923076927,7.1394335230683676,6,6,decodeTimeMeanNs,42278,50000,0,0,0,42278
K300_M511K421,421整块,300,390,0.76923076923076927,7.6394335230683676,6.5,6.5,decodeTimeMeanNs,38954,50000,0,0,0,38954
K300_M511K421,421整块,300,390,0.76923076923076927,8.1394335230683676,7,7,decodeTimeMeanNs,39792,50000,0,0,0,39792
K300_M511K421,421整块,300,390,0.76923076923076927,8.6394335230683676,7.5,7.5,decodeTimeMeanNs,38424,50000,0,0,0,38424
K300_M511K421,421整块,300,390,0.76923076923076927,9.1394335230683676,8,8,decodeTimeMeanNs,34331,50000,0,0,0,34331
K300_M511K385,385整块,300,426,0.70422535211267601,1.5228834438305652,0,0,decodeTimeMeanNs,82079,1000,0,0,0,82079
K300_M511K385,385整块,300,426,0.70422535211267601,2.0228834438305654,0.50000000000000022,0.50000000000000022,decodeTimeMeanNs,86512,1000,0,0,0,86512
K300_M511K385,385整块,300,426,0.70422535211267601,2.5228834438305654,1.0000000000000002,1.0000000000000002,decodeTimeMeanNs,89464,1000,0,0,0,89464
K300_M511K385,385整块,300,426,0.70422535211267601,3.0228834438305654,1.5000000000000002,1.5000000000000002,decodeTimeMeanNs,84495,1000,0,0,0,84495
K300_M511K385,385整块,300,426,0.70422535211267601,3.5228834438305654,2,2,decodeTimeMeanNs,85578,1000,0,0,0,85578
K300_M511K385,385整块,300,426,0.70422535211267601,4.0228834438305654,2.5,2.5,decodeTimeMeanNs,81035,1000,0,0,0,81035
K300_M511K385,385整块,300,426,0.70422535211267601,4.5228834438305654,3,3,decodeTimeMeanNs,79258,1000,0,0,0,79258
K300_M511K385,385整块,300,426,0.70422535211267601,5.0228834438305654,3.5,3.5,decodeTimeMeanNs,72383,3500,0,0,0,72383
K300_M511K385,385整块,300,426,0.70422535211267601,5.5228834438305654,4,4,decodeTimeMeanNs,75210,39700,0,0,0,75210
K300_M511K385,385整块,300,426,0.70422535211267601,6.0228834438305654,4.5,4.5,decodeTimeMeanNs,62095,50000,0,0,0,62095
K300_M511K385,385整块,300,426,0.70422535211267601,6.5228834438305654,5,5,decodeTimeMeanNs,52129,50000,0,0,0,52129
K300_M511K385,385整块,300,426,0.70422535211267601,7.0228834438305654,5.5,5.5,decodeTimeMeanNs,48262,50000,0,0,0,48262
K300_M511K385,385整块,300,426,0.70422535211267601,7.5228834438305654,6,6,decodeTimeMeanNs,46634,50000,0,0,0,46634
K300_M511K385,385整块,300,426,0.70422535211267601,8.0228834438305654,6.5,6.5,decodeTimeMeanNs,45228,50000,0,0,0,45228
K300_M511K385,385整块,300,426,0.70422535211267601,8.5228834438305654,7,7,decodeTimeMeanNs,42815,50000,0,0,0,42815
K300_M511K385,385整块,300,426,0.70422535211267601,9.0228834438305654,7.5,7.5,decodeTimeMeanNs,42154,50000,0,0,0,42154
K300_M511K385,385整块,300,426,0.70422535211267601,9.5228834438305654,8,8,decodeTimeMeanNs,41373,50000,0,0,0,41373
