caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_S15,分块,200,285,0.70175438596491224,4.5,2.9618513565547095,fer,0.73660000000000003,5000,3683,0,0,0.73660000000000003
K200_S15,分块,200,285,0.70175438596491224,5.5,3.9618513565547095,fer,0.3952,5000,1976,0,0,0.3952
K200_S15,分块,200,285,0.70175438596491224,6.5,4.9618513565547095,fer,0.12740000000000001,5000,637,0,0,0.12740000000000001
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,fer,0.031746031746031744,6300,200,0,0,0.031746031746031744
K200_S15,分块,200,285,0.70175438596491224,8.5,6.9618513565547095,fer,0.0039199999999999999,50000,196,0,0,0.0039199999999999999
K200_M255K207,255整块,200,248,0.80645161290322576,4.5,3.565783148377649,fer,0.27360000000000001,5000,1368,0,0,0.27360000000000001
K200_M255K207,255整块,200,248,0.80645161290322576,5.5,4.5657831483776494,fer,0.025443037974683544,7900,201,0,0,0.025443037974683544
K200_M255K207,255整块,200,248,0.80645161290322576,6.5,5.5657831483776494,fer,0.00042000000000000002,50000,21,0,0,0.00042000000000000002
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,fer,0,50000,0,1,1,1.0000000000000001e-05
K200_M255K207,255整块,200,248,0.80645161290322576,8.5,7.5657831483776494,fer,0,50000,0,1,1,1.0000000000000001e-05
K200_M511K421,421整块,200,290,0.68965517241379315,4.5,2.8863199776502517,fer,0.2732,5000,1366,0,0,0.2732
K200_M511K421,421整块,200,290,0.68965517241379315,5.5,3.8863199776502517,fer,0.01578125,12800,202,0,0,0.01578125
K200_M511K421,421整块,200,290,0.68965517241379315,6.5,4.8863199776502517,fer,0.00013999999999999999,50000,7,0,0,0.00013999999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,fer,0,50000,0,1,1,1.0000000000000001e-05
K200_M511K421,421整块,200,290,0.68965517241379315,8.5,6.8863199776502517,fer,0,50000,0,1,1,1.0000000000000001e-05
K200_M511K385,385整块,200,326,0.61349693251533743,4.5,2.3781239559604219,fer,0.26740000000000003,5000,1337,0,0,0.26740000000000003
K200_M511K385,385整块,200,326,0.61349693251533743,5.5,3.3781239559604219,fer,0.012121212121212121,16500,200,0,0,0.012121212121212121
K200_M511K385,385整块,200,326,0.61349693251533743,6.5,4.3781239559604224,fer,4.0000000000000003e-05,50000,2,0,0,4.0000000000000003e-05
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,fer,0,50000,0,1,1,1.0000000000000001e-05
K200_M511K385,385整块,200,326,0.61349693251533743,8.5,6.3781239559604224,fer,0,50000,0,1,1,1.0000000000000001e-05
