caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_S15,分块,300,420,0.7142857142857143,5,3.53871964321762,ber,0.0084333333333333326,5000,12650,0,0,0.0084333333333333326
K300_S15,分块,300,420,0.7142857142857143,6,4.53871964321762,ber,0.0028346666666666668,5000,4252,0,0,0.0028346666666666668
K300_S15,分块,300,420,0.7142857142857143,7,5.53871964321762,ber,0.00062266666666666666,5000,934,0,0,0.00062266666666666666
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,ber,0.00010883838383838384,13200,431,0,0,0.00010883838383838384
K300_S15,分块,300,420,0.7142857142857143,9,7.53871964321762,ber,1.38e-05,50000,207,0,0,1.38e-05
K300_M255K207,255双块,300,396,0.75757575757575757,5,3.7942606879415015,ber,0.0034386666666666667,5000,5158,0,0,0.0034386666666666667
K300_M255K207,255双块,300,396,0.75757575757575757,6,4.7942606879415015,ber,0.00018659611992945325,18900,1058,0,0,0.00018659611992945325
K300_M255K207,255双块,300,396,0.75757575757575757,7,5.7942606879415015,ber,1.8666666666666667e-06,50000,28,0,0,1.8666666666666667e-06
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M255K207,255双块,300,396,0.75757575757575757,9,7.7942606879415015,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K421,421整块,300,390,0.76923076923076927,5,3.8605664769316324,ber,0.0028093333333333334,5000,4214,0,0,0.0028093333333333334
K300_M511K421,421整块,300,390,0.76923076923076927,6,4.8605664769316324,ber,3.0000000000000001e-05,50000,450,0,0,3.0000000000000001e-05
K300_M511K421,421整块,300,390,0.76923076923076927,7,5.8605664769316324,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K421,421整块,300,390,0.76923076923076927,9,7.8605664769316324,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K385,385整块,300,426,0.70422535211267601,5,3.4771165561694346,ber,0.0018546666666666666,5000,2782,0,0,0.0018546666666666666
K300_M511K385,385整块,300,426,0.70422535211267601,6,4.4771165561694346,ber,8.9333333333333331e-06,50000,134,0,0,8.9333333333333331e-06
K300_M511K385,385整块,300,426,0.70422535211267601,7,5.4771165561694346,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,ber,0,50000,0,1,1,3.3333333333333334e-08
K300_M511K385,385整块,300,426,0.70422535211267601,9,7.4771165561694346,ber,0,50000,0,1,1,3.3333333333333334e-08
