path,bytes,rowCount,sha256
acceptance_matrix.csv,606,4,57b2cdc12a064fa2355bdf1b5b575653c625a7003d3c66e5eb9aeaefc5119a4c
bch13_prescan_200bit_ber.png,109651,0,55c37f5543a3539d76326a931e5b5b94690b994dda29df503631debe6c41f2d4
bch13_prescan_200bit_fer.png,99907,0,5dd4ba2490b1030c38a052b54eb5f22ce70931824d66439019dd3400b32bbcac
bch13_prescan_300bit_ber.png,110046,0,accbe9a1d2c82246b25f8db0df65d60987279bd792dedaf5eb451a497a6a7a60
bch13_prescan_300bit_fer.png,96344,0,444c7beff4fc9fce0e2ccde50d3026fdd9021dd2d8e86fc581f2076300b5564e
bch13_prescan_decode_time.png,140721,0,9b3f3ece0840bb3450ab0abdcd820d624a625e1aa179c673072e40b77b9d783f
bch13_prescan_miscorrection.png,125993,0,c581e0995112b37cf6f12d3c1899b47f655f85a3b12e897ba98a3bca9afabc29
changed_files.md,373,0,7a5bd9a9107d265a9d5e9bc2612b98f295dd044512420324cbc35e790f50cb0f
commands_used.md,509,0,d071d9c861f432b88a3ad9516ef82b853753f9fa37dd68eb9ff11eb40339f4c5
figure_data_audit.csv,32045,336,5a74985214a7fbd046bf8138e2fed71c994cd39c557723f2dcd3909c8437131c
figure_data_bch13_prescan_200bit_ber.csv,2425,42,b982dab875b1641a125c6935853f94892e707b7d3a579972398f737effe20788
figure_data_bch13_prescan_200bit_fer.csv,2247,42,0540260ebb7373db350123dbc6ccc858b79557c80a81ff0dc77ea549f65a23a9
figure_data_bch13_prescan_300bit_ber.csv,2929,42,f554c4990bcf1801b18aaf2fff73b100cbe0e93d3bbee9874269060115928234
figure_data_bch13_prescan_300bit_fer.csv,2170,42,296f4748e3ee9f2c7c16766dbdbb6b78adeff5c3ef7371bc35ce1b7919ecdccc
figure_data_bch13_prescan_decode_time.csv,6475,84,de4bdad738dc4576ac680295fa4b56bdc7fe675e674ca759c0e81d8937518644
figure_data_bch13_prescan_miscorrection.csv,6035,84,f5c6fd76e0e95e08cd28ffef8daf041d429bbf99522b030a956dbc0b7b8764eb
frozen_config.csv,243,1,b7d5524175af3aa32613ad41ea551137c40d0c293bd226a7f87212212921adfb
known_issues.md,336,0,296e1b1e14c2bc7e07e7932f2cf00b32bab0b308f4e6f7585241fa6720070cb6
plot_manifest.json,2843,0,aff9e942f7472a06150cab9f0a3f9e3aec5485b7b19c99dc4879a0f08b22a1d2
prescan_case_recommendations.csv,1050,4,62b0daac27e1cec4b7ad84dc61c1396999ce8ea47c0bf652d8015e1fafef6192
prescan_status_distribution.csv,247,4,3852fefb75217c9cd57f859f6ee8d7ae583519e919b2d5d6838d0afac6d4616a
prescan_summary.csv,45817,84,a3e26fb18e21f3dde2290cccdd935cc38b1635cef699c72dadc1614149ac63e1
prescan_timing_summary.csv,443,4,bd30c55e45378b32f56318d9ede7f8041fe01b81783cdcef157ca75bc001d92d
progress.jsonl,29901,0,b91885f1d25324e37b2d7fb8dc0d3b31396ad5309e152ea1286658762f41ab8a
progress_summary.csv,2308,84,ca3a81c87c380697b9b57838ebd7abb5ef90cc074101c46bb6f075fadb981035
stage_plan.md,653,0,5e5cf0e7d5757fe521f2372a237f7c532f080e4b31a9ab9c5b839a097bed2c7a
test_summary.csv,430,7,584d4bd230ae5f9f5c69b26b43f7c62bbe718e9411277cbe0359094c1374d4c7
validation_report.md,1125,0,2249cde394551ecfbc751445b061a1b7c9d94472c973664bde44270b0fc559fd
