caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
BCH-B300,1.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,2,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,2.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,3,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,3.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,4.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,5.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,6,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,6.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,7,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,7.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,8,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,8.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,9,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,9.5,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
BCH-B300,10,miscorrectionRate,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
