stageId,runId,gitCommit,caseId,legendLabel,payloadLength,encodedLength,actualRate,motherN,motherK,motherT,blockCount,burstLengthIndex,burstLengthBits,burstRatio,burstStartPolicy,burstWrapAround,masterSeed,framesProcessed,payloadBitsProcessed,payloadErrorBits,payloadErrorFrames,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,affectedCodeBlocksTotal,meanAffectedCodeBlocks,maxAffectedCodeBlocks,maxErrorsInOneCodeBlockObserved,meanMaxErrorsInOneCodeBlock,decoderTimeTotalNs,decoderTimeMeanNs,decoderTimeP50Ns,decoderTimeP95Ns,decoderTimeP99Ns,decoderTimeMaxNs,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointPath,resultSha256
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,10,15,0.052631578947368418,RANDOM_PER_FRAME,false,1397048147,1000,200000,10735,1000,1000,0,0,1000,73,1927,1.927,2,15,11.401,7682300,7682,8500,9400,13400,57800,0.053675,1,0,1,0.072999999999999995,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L15.json,cc4098057f3ef74689bb1c6d2b8ce1908064201236e4e8acb07953a44b478aec
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,11,20,0.070175438596491224,RANDOM_PER_FRAME,false,1397048147,1000,200000,14284,1000,1000,0,0,1000,0,2263,2.2629999999999999,3,15,13.298,8577300,8577,8700,9600,17800,32500,0.071419999999999997,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L20.json,6c0ac6709ecd0d3b2f834a740b51fb965e6a26857bd8bcfc09a73a5234525200
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,12,25,0.08771929824561403,RANDOM_PER_FRAME,false,1397048147,1000,200000,18072,1000,1000,0,0,1000,0,2593,2.593,3,15,14.596,18587400,18587,8900,43900,244600,955000,0.090359999999999996,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L25.json,4df588e6a08f05714ba529c3be810ff8431ac0a73bd575e9bc716090df544b9d
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,13,30,0.10526315789473684,RANDOM_PER_FRAME,false,1397048147,1000,200000,21766,1000,1000,0,0,1000,81,2919,2.919,3,15,15,9487600,9487,8700,9800,28100,198800,0.10883,1,0,1,0.081000000000000003,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L30.json,df4eb49a77843f731f41266a855977dfb05d1ec50cb54f3b9688b1500bb2b499
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,14,40,0.14035087719298245,RANDOM_PER_FRAME,false,1397048147,1000,200000,29058,1000,1000,0,0,1000,0,3625,3.625,4,15,15,6764600,6764,5400,9300,11600,21600,0.14529,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L40.json,d5a606ee0684900d5030b461a4b904e9897a63c159b5ca8173a7122989935b30
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_S15,分块200,200,285,0.70175438596491224,15,11,1,19,15,50,0.17543859649122806,RANDOM_PER_FRAME,false,1397048147,1000,200000,36377,1000,1000,0,0,1000,0,4256,4.2560000000000002,5,15,15,7806800,7806,8400,9200,9700,26800,0.18188499999999999,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,results/checkpoints/stage14_burst_formal_K200_S15_L50.json,55082b978f943f8c13fbb0315103e685a953dbaf223841eab4238b7258423ee2
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_M255K207,255整块200,200,248,0.80645161290322576,255,207,6,1,0,0,0,RANDOM_PER_FRAME,false,1397048147,50000,10000000,0,0,50000,0,50000,0,0,0,0,0,0,0,588296400,11765,9900,16600,26500,4151700,0,0,0,0,0,1,MAX_FRAMES_REACHED,results/checkpoints/stage14_burst_formal_K200_M255K207_L0.json,2dcababe0665344c3d1c90ea55ee625c897b1c7d01cc2a93e9d29ea2cbabd379
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_M255K207,255整块200,200,248,0.80645161290322576,255,207,6,1,1,1,0.0040322580645161289,RANDOM_PER_FRAME,false,1397048147,50000,10000000,0,0,50000,0,50000,0,0,50000,1,1,1,1,675530300,13510,11500,19500,28500,1319400,0,0,0,0,0,1,MAX_FRAMES_REACHED,results/checkpoints/stage14_burst_formal_K200_M255K207_L1.json,3cae25bb302c9764967156fdeccdcc06fb01d4c8b7dbfa4c418d51c6c5a8c151
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_M255K207,255整块200,200,248,0.80645161290322576,255,207,6,1,2,2,0.0080645161290322578,RANDOM_PER_FRAME,false,1397048147,50000,10000000,0,0,50000,0,50000,0,0,50000,1,1,2,2,903858200,18077,14100,21200,59100,17495900,0,0,0,0,0,1,MAX_FRAMES_REACHED,results/checkpoints/stage14_burst_formal_K200_M255K207_L2.json,35b3410378242f597faea1e99e3eb3cf45f5009146635d412160fcc3c237348e
stage14_burst_formal,stage14_formal_v1,793f7247491a6f3e44b22072722e1ca693f26cae,K200_M255K207,255整块200,200,248,0.80645161290322576,255,207,6,1,3,3,0.012096774193548387,RANDOM_PER_FRAME,false,1397048147,50000,10000000,0,0,50000,0,50000,0,0,50000,1,1,3,3,929311900,18586,15400,22400,62200,11500100,0,0,0,0,0,1,MAX_FRAMES_REACHED,results/checkpoints/stage14_burst_formal_K200_M255K207_L3.json,d4f5bf0eac83904985c39c95dde08ee37936319dddafbb5fbd421fe0841eae54
