caseId,L_tol_1e_1,L_tol_1e_1_status,L_tol_1e_2,L_tol_1e_2_status
K200_S15,1,OBSERVED,1,OBSERVED
K200_M255K207,6,OBSERVED,6,OBSERVED
K200_M511K421,10,OBSERVED,10,OBSERVED
K200_M511K385,12,OBSERVED,12,OBSERVED
K300_S15,1,OBSERVED,1,OBSERVED
K300_M255K207,6,OBSERVED,6,OBSERVED
K300_M511K421,10,OBSERVED,10,OBSERVED
K300_M511K385,12,OBSERVED,12,OBSERVED
