caseId,burstLengthBits,framesProcessed,decoderTimeTotalNs,decoderTimeMeanNs,decoderTimeP50Ns,decoderTimeP95Ns,decoderTimeP99Ns,decoderTimeMaxNs
K200_S15,0,50000,363102700,7262,5400,9100,16900,6832400
K200_S15,1,50000,404038000,8080,5700,9200,19900,12520700
K200_S15,2,1000,7303600,7303,6800,9600,16700,63200
K200_S15,3,1000,7199400,7199,7000,9500,12000,26800
K200_S15,4,1000,32747700,32747,8800,46200,203600,7638200
K200_S15,5,1000,15188400,15188,8800,24600,212100,1417000
K200_S15,6,1000,6012700,6012,5300,8400,9500,29600
K200_S15,8,1000,6261500,6261,5300,9300,11000,53900
K200_S15,10,1000,17007300,17007,8700,27300,239100,1474500
K200_S15,12,1000,22724700,22724,9000,35700,211600,4759900
K200_S15,15,1000,7682300,7682,8500,9400,13400,57800
K200_S15,20,1000,8577300,8577,8700,9600,17800,32500
K200_S15,25,1000,18587400,18587,8900,43900,244600,955000
K200_S15,30,1000,9487600,9487,8700,9800,28100,198800
K200_S15,40,1000,6764600,6764,5400,9300,11600,21600
K200_S15,50,1000,7806800,7806,8400,9200,9700,26800
K200_M255K207,0,50000,588296400,11765,9900,16600,26500,4151700
K200_M255K207,1,50000,675530300,13510,11500,19500,28500,1319400
K200_M255K207,2,50000,903858200,18077,14100,21200,59100,17495900
K200_M255K207,3,50000,929311900,18586,15400,22400,62200,11500100
K200_M255K207,4,50000,1323026200,26460,18200,36100,137900,19081900
K200_M255K207,5,50000,1443393500,28867,19800,41100,162000,18883900
K200_M255K207,6,50000,993991900,19879,18100,26300,37400,1426800
K200_M255K207,8,1000,19450400,19450,16200,28300,36400,101900
K200_M255K207,10,1000,31988100,31988,22300,67300,210900,955600
K200_M255K207,12,1000,23618000,23618,22900,26300,41700,220700
K200_M255K207,15,1000,25651900,25651,22200,38900,102400,380000
K200_M255K207,20,1000,20635700,20635,22000,25800,35300,59100
K200_M255K207,25,1000,23395600,23395,21400,35300,49300,235300
K200_M255K207,30,1000,27925900,27925,23200,41700,127400,787700
K200_M255K207,40,1000,41282600,41282,20800,39400,382200,7501000
K200_M255K207,50,1000,22204100,22204,23200,28300,38500,77200
K200_M511K421,0,50000,2167006300,43340,25900,75000,300400,15942000
K200_M511K421,1,50000,2425014100,48500,30800,83300,346300,21604700
K200_M511K421,2,50000,2990150000,59803,32900,115600,489400,23890800
K200_M511K421,3,50000,2223790100,44475,33300,63700,242300,30809200
K200_M511K421,4,50000,2142196300,42843,37000,56200,113000,13656100
K200_M511K421,5,50000,2302266300,46045,40200,59200,115800,7266300
K200_M511K421,6,50000,2512806500,50256,43100,65700,168700,17096400
K200_M511K421,8,50000,3774371400,75487,51200,130900,495400,19723500
K200_M511K421,10,50000,4029869500,80597,59700,131200,471100,38469500
K200_M511K421,12,1000,57033500,57033,53900,78700,106700,340100
K200_M511K421,15,1000,55927200,55927,54600,66700,74400,80200
K200_M511K421,20,1000,60071400,60071,60600,78700,99000,135900
K200_M511K421,25,1000,61856100,61856,62200,74400,94300,174300
K200_M511K421,30,1000,56111200,56111,57400,72800,90400,189400
K200_M511K421,40,1000,61000600,61000,63600,72700,80700,127400
K200_M511K421,50,1000,56606800,56606,54300,73800,93100,202900
K200_M511K385,0,50000,2660653600,53213,39200,73600,268200,18570400
K200_M511K385,1,50000,3304306400,66086,43000,107300,450000,18644500
K200_M511K385,2,50000,3236845400,64736,43700,107500,425600,15136600
K200_M511K385,3,50000,3097541600,61950,45700,84400,300600,14818100
K200_M511K385,4,50000,2853887500,57077,51800,73800,147700,12848600
K200_M511K385,5,50000,3551222600,71024,57100,94900,311400,24645400
K200_M511K385,6,50000,3800429500,76008,61300,104600,359600,23788600
K200_M511K385,8,50000,4133730500,82674,67400,115100,354900,27024600
K200_M511K385,10,50000,4525608500,90512,75000,121700,391700,25080000
K200_M511K385,12,50000,4111355100,82227,76400,102600,189900,12441500
K200_M511K385,15,1000,86365800,86365,89200,101000,117200,229200
K200_M511K385,20,1000,167408300,167408,96600,328800,1870700,7779300
K200_M511K385,25,1000,189111600,189111,94400,415300,1432500,11123300
K200_M511K385,30,1000,74850800,74850,67500,100500,126100,184300
K200_M511K385,40,1000,77752300,77752,73400,102100,135600,227300
K200_M511K385,50,1000,188538600,188538,105000,531400,1278600,5209700
K300_S15,0,50000,872326600,17446,13800,23200,66300,20107300
K300_S15,1,50000,956441500,19128,13300,29300,119100,9432500
K300_S15,2,1000,10167600,10167,8300,14000,22700,116300
K300_S15,3,1000,17629300,17629,15000,28300,101900,271400
K300_S15,4,1000,12936800,12936,12900,15700,29000,53600
K300_S15,5,1000,16391500,16391,14700,22200,57900,161000
K300_S15,6,1000,9724000,9724,8100,13700,16800,36600
K300_S15,8,1000,14931400,14931,14700,16700,36500,51800
K300_S15,10,1000,13701800,13701,14100,17500,36000,160300
K300_S15,12,1000,15682000,15682,14600,20000,42000,121000
K300_S15,15,1000,12922000,12922,13100,15800,30900,79300
K300_S15,20,1000,14557700,14557,14300,17100,35300,76400
K300_S15,25,1000,15552200,15552,14600,18100,34600,586000
K300_S15,30,1000,15104900,15104,14500,21600,39300,59100
K300_S15,40,1000,12643600,12643,12800,16000,32200,59400
K300_S15,50,1000,14670000,14670,14200,16600,30200,126300
K300_M255K207,0,50000,1660849900,33216,25000,44100,164100,13689400
K300_M255K207,1,50000,1859319100,37186,28300,50900,160100,15137500
K300_M255K207,2,50000,1581507100,31630,27700,42000,87100,15680600
K300_M255K207,3,50000,1417743000,28354,27800,38100,50500,781800
K300_M255K207,4,50000,2103526700,42070,32800,60700,208800,19948100
K300_M255K207,5,50000,2307760300,46155,34700,61200,231500,23875100
K300_M255K207,6,50000,1652339100,33046,32300,44600,59500,1263000
K300_M255K207,8,1000,35505100,35505,35700,43500,52000,131100
K300_M255K207,10,1000,36048900,36048,35100,49500,74700,160600
K300_M255K207,12,1000,37415000,37415,35900,51400,76200,191800
K300_M255K207,15,1000,29071100,29071,26100,42900,65800,231700
K300_M255K207,20,1000,31955100,31955,29500,47800,68500,127000
K300_M255K207,25,1000,36413700,36413,35400,50500,76200,253300
K300_M255K207,30,1000,34467000,34467,33700,50700,63400,121800
K300_M255K207,40,1000,66331300,66331,34000,76200,1034500,4939000
K300_M255K207,50,1000,61560600,61560,37300,58300,592800,6221400
K300_M511K421,0,50000,2482599900,49651,33800,74000,266900,20553200
K300_M511K421,1,50000,2772112800,55442,40200,87700,320600,20964900
K300_M511K421,2,50000,3225133400,64502,42800,108100,408600,30227100
K300_M511K421,3,50000,2335427100,46708,40900,61800,115800,15508900
K300_M511K421,4,50000,3400409000,68008,47500,99000,357800,31185000
K300_M511K421,5,50000,3719972400,74399,52600,120600,412400,40701000
K300_M511K421,6,50000,3422877800,68457,54000,95000,304900,14264800
K300_M511K421,8,50000,4352538900,87050,62500,142300,508700,20610800
K300_M511K421,10,50000,3516263000,70325,59900,94300,274400,7833600
K300_M511K421,12,1000,68003900,68003,64000,88700,148700,294900
K300_M511K421,15,1000,167442700,167442,77900,353500,1217100,24626800
K300_M511K421,20,1000,66701000,66701,66900,80200,103300,138300
K300_M511K421,25,1000,148279100,148279,70800,398300,2058300,5592300
K300_M511K421,30,1000,57539200,57539,56700,74600,101000,172900
K300_M511K421,40,1000,94284300,94284,75800,164800,565100,1871500
K300_M511K421,50,1000,62665700,62665,61500,78000,106300,194000
K300_M511K385,0,50000,2931051000,58621,44300,91100,287200,14809100
K300_M511K385,1,50000,2926269200,58525,47600,81500,223400,12149800
K300_M511K385,2,50000,4042095700,80841,58300,127900,459700,18619300
K300_M511K385,3,50000,4161688500,83233,59300,134500,476100,27663900
K300_M511K385,4,50000,2935525600,58710,51200,82300,146500,11162800
K300_M511K385,5,50000,3723618500,74472,56900,111800,399400,15615700
K300_M511K385,6,50000,4758773700,95175,67400,147400,552100,35268600
K300_M511K385,8,50000,5460072200,109201,78600,184800,637900,57190600
K300_M511K385,10,50000,3667130300,73342,67600,97600,175800,15883800
K300_M511K385,12,50000,4643441800,92868,79500,126700,314400,16937000
K300_M511K385,15,1000,84770600,84770,83900,109500,137400,493900
K300_M511K385,20,1000,169137500,169137,117600,360500,776400,6398200
K300_M511K385,25,1000,81533500,81533,77900,109100,166000,223300
K300_M511K385,30,1000,76701800,76701,72900,97100,117500,195700
K300_M511K385,40,1000,88282800,88282,82600,119000,208400,927600
K300_M511K385,50,1000,99878000,99878,94300,127100,175500,289800
