caseId,burstLengthBits,framesProcessed,decoderDeclaredSuccessFrames,decoderDeclaredFailureFrames,trueSuccessFrames,miscorrectionFrames,undetectedErrorFrames,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate
K300_M255K207,6,50000,50000,0,50000,0,0,0,0,0,1
K300_M255K207,8,1000,10,990,252,0,0,0.98999999999999999,0,0,0.252
K300_M255K207,10,1000,13,987,249,0,0,0.98699999999999999,0,0,0.249
K300_M255K207,12,1000,1,999,225,0,0,0.999,0,0,0.22500000000000001
K300_M255K207,15,1000,0,1000,192,0,0,1,0,0,0.192
K300_M255K207,20,1000,0,1000,173,0,0,1,0,0,0.17299999999999999
K300_M255K207,25,1000,0,1000,136,0,0,1,0,0,0.13600000000000001
K300_M255K207,30,1000,0,1000,107,0,0,1,0,0,0.107
K300_M255K207,40,1000,0,1000,63,0,0,1,0,0,0.063
K300_M255K207,50,1000,0,1000,11,0,0,1,0,0,0.010999999999999999
K300_M511K421,0,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,1,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,2,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,3,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,4,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,5,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,6,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,8,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,10,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K421,12,1000,0,1000,200,0,0,1,0,0,0.20000000000000001
K300_M511K421,15,1000,0,1000,197,0,0,1,0,0,0.19700000000000001
K300_M511K421,20,1000,0,1000,212,0,0,1,0,0,0.21199999999999999
K300_M511K421,25,1000,0,1000,181,0,0,1,0,0,0.18099999999999999
K300_M511K421,30,1000,0,1000,191,0,0,1,0,0,0.191
K300_M511K421,40,1000,0,1000,174,0,0,1,0,0,0.17399999999999999
K300_M511K421,50,1000,0,1000,127,0,0,1,0,0,0.127
K300_M511K385,0,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,1,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,2,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,3,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,4,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,5,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,6,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,8,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,10,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,12,50000,50000,0,50000,0,0,0,0,0,1
K300_M511K385,15,1000,0,1000,278,0,0,1,0,0,0.27800000000000002
K300_M511K385,20,1000,0,1000,245,0,0,1,0,0,0.245
K300_M511K385,25,1000,0,1000,281,0,0,1,0,0,0.28100000000000003
K300_M511K385,30,1000,0,1000,262,0,0,1,0,0,0.26200000000000001
K300_M511K385,40,1000,0,1000,242,0,0,1,0,0,0.24199999999999999
K300_M511K385,50,1000,0,1000,208,0,0,1,0,0,0.20799999999999999
