caseId,vectorId,payloadBits,encodedBits,burstStart,burstLengthBits,burstBits,cppRecoveredBits,cppStatus
K200_S15,V0,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,111100111010100100011110111111110110011101100001110100000011010011010001011110001011101111001111010000111010011010111110000000000110101110001100001011011001101100111001000100001010101001011111110011110010010011101000011000001011011010100010000010111010110110011111011000010000000001101,214,0,111100111010100100011110111111110110011101100001110100000011010011010001011110001011101111001111010000111010011010111110000000000110101110001100001011011001101100111001000100001010101001011111110011110010010011101000011000001011011010100010000010111010110110011111011000010000000001101,11110011101100011110111101100111000111010000010011010001100010111000111101000010011010110000000001111000110000011001101100010001000010100101111011110010011010000110001101101010000010111011100111110101,TRUE_SUCCESS
K200_S15,V1,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,000110010000010010000101110001001100001101011010000111011100000010001101101101101001001110011010101011111111001010001010011111100110001100010010010110111101111101011111100101111001110100000101100000001110000100110001111011111101100000111101101000111110001111111001100010000000000000000,8,1,000110011000010010000101110001001100001101011010000111011100000010001101101101101001001110011010101011111111001010001010011111100110001100010010010110111101111101011111100101111001110100000101100000001110000100110001111011111101100000111101101000111110001111111001100010000000000000000,00011001000010000101110011000011001000011101000010001101011010010001101010101111001010000111111001110001001001111101111101111001011111010000010000001110001100011110110110000011101000111111111110011000,TRUE_SUCCESS
K200_S15,V2,11111100010100011001011011100110001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010000,111111000101110100011001011011101110011001000010011110111011100100110111100101010001111000110010000010000011101101011100010011101001001100110110011101111111101000001110111100000010110011101100110101010111010000000110001110000011111001111000110101000000000110000001001000000000000000000,269,4,111111000101110100011001011011101110011001000010011110111011100100110111100101010001111000110010000010000011101101011100010011101001001100110110011101111111101000001110111100000010110011101100110101010111010000000110001110000011111001111000110101000000000110000001001001111000000000000,11111100010100011001011011100110001001111011100100110111010100011111001000001011101101010100111010010011011001111111101001101111000011001110110101010111010001100011101111100111110101000001100000010011,MISCORRECTION
K200_M255K207,V0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010001001010001100011111110100110110000101100000011,180,0,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010001001010001100011111110100110110000101100000011,01101100011100001100101100010100111011101011100110011001001101000100110101111000010000010101000110101010000010111010001111110111010101010111110110100000001100110010011101110110100101001010010101101010,TRUE_SUCCESS
K200_M255K207,V1,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111011010111111001011001111011011110100011110010111,229,6,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111011010111111001011001111011010001010011110010111,00010111110000011100110000001100000010010111100010011110101100000000110100001111111101111000001101010111100101101000011000010110111111011100110110011111111001010101111010000110100011101011001000000111,TRUE_SUCCESS
K200_M255K207,V2,10100110010100010011011111010100000100110110101100000101011111001000001000110101001000011001001110111011110111001101010100010101010010101101101001011100000000011101010111001100100010111110111011001001,10100110010100010011011111010100000100110110101100000101011111001000001000110101001000011001001110111011110111001101010100010101010010101101101001011100000000011101010111001100100010111110111011001001100011100000000001011010110011100010111000011110,207,9,10100110010100010011011111010100000100110110101100000101011111001000001000110101001000011001001110111011110111001101010100010101010010101101101001011100000000011101010111001100100010111110111011001001100011111111111101011010110011100010111000011110,10100110010100010011011111010100000100110110101100000101011111001000001000110101001000011001001110111011110111001101010100010101010010101101101001011100000000011101010111001100100010111110111011001001,TRUE_SUCCESS
K200_M511K421,V0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111100101011110111110001111101011010110100011010011110010010001101000000000110010000011000111,60,0,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111100101011110111110001111101011010110100011010011110010010001101000000000110010000011000111,10000110000001101101010010010011010101110011001100100101111000101010010010000001110000111011011010101001010000001101010101011100100110111011010011011011111110000000100111010100010101100010010111000111,TRUE_SUCCESS
K200_M511K421,V1,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010000101101110100100100110011011000111100100000110100111101010000100101000110001101111011000,194,10,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001100101111001101110100100100110011011000111100100000110100111101010000100101000110001101111011000,00100100001111000000101001100111010010011100001111001001100110110101001101110011011100111010000011111111110101111101111101001010000001101111100111010100001001111111101101010100010111110110111001011010,TRUE_SUCCESS
K200_M511K421,V2,01111011100000110110001011110101000100001001001010000010101001001000101101010101001010110000001011100101010000101101111111101000010111011100111101101100010001101001001011001011101000000010100111000001,01111011100000110110001011110101000100001001001010000010101001001000101101010101001010110000001011100101010000101101111111101000010111011100111101101100010001101001001011001011101000000010100111000001110110110001001101011011111000011001100110011110101111010000010001111110100001010110010111,115,13,01111011100000110110001011110101000100001001001010000010101001001000101101010101001010110000001011100101010000101100000000010111010111011100111101101100010001101001001011001011101000000010100111000001110110110001001101011011111000011001100110011110101111010000010001111110100001010110010111,01111011100000110110001011110101000100001001001010000010101001001000101101010101001010110000001011100101010000101100000000010111010111011100111101101100010001101001001011001011101000000010100111000001,DECODER_FAILURE
K200_M511K385,V0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010111110111100000111110101000101111001100000100010010110100100010001001111000011010001110000101110001001100111011010101111111001,8,0,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010111110111100000111110101000101111001100000100010010110100100010001001111000011010001110000101110001001100111011010101111111001,11101010010101111110010001001100110101110101111100101100100110100101100110100101110100111001000101001100110110011101010001101101111100111100110111011110101011011111101011110110100011100001010111011010,TRUE_SUCCESS
