caseId,legendLabel,payloadLength,encodedLength,actualRate,burstLengthBits,burstRatio,framesProcessed,payloadErrorBits,payloadErrorFrames,ber,fer,stopReason
K200_M511K421,421整块200,200,290,0.68965517241379315,5,0.017241379310344827,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,6,0.020689655172413793,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,8,0.027586206896551724,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,10,0.034482758620689655,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,12,0.041379310344827586,1000,8256,710,0.041279999999999997,0.70999999999999996,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,15,0.051724137931034482,1000,10411,717,0.052054999999999997,0.71699999999999997,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,20,0.068965517241379309,1000,14510,759,0.072550000000000003,0.75900000000000001,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,25,0.086206896551724144,1000,17888,767,0.089440000000000006,0.76700000000000002,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,30,0.10344827586206896,1000,21294,766,0.10647,0.76600000000000001,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,40,0.13793103448275862,1000,28223,785,0.14111499999999999,0.78500000000000003,TARGET_FRAME_ERRORS_REACHED
K200_M511K421,421整块200,200,290,0.68965517241379315,50,0.17241379310344829,1000,35647,818,0.178235,0.81799999999999995,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,0,0,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,1,0.0030674846625766872,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,2,0.0061349693251533744,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,3,0.009202453987730062,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,4,0.012269938650306749,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,5,0.015337423312883436,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,6,0.018404907975460124,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,8,0.024539877300613498,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,10,0.030674846625766871,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,12,0.036809815950920248,50000,0,0,0,0,MAX_FRAMES_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,15,0.046012269938650305,1000,9304,641,0.046519999999999999,0.64100000000000001,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,20,0.061349693251533742,1000,12433,653,0.062164999999999998,0.65300000000000002,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,25,0.076687116564417179,1000,14688,629,0.073440000000000005,0.629,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,30,0.09202453987730061,1000,18299,656,0.091495000000000007,0.65600000000000003,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,40,0.12269938650306748,1000,24484,681,0.12242,0.68100000000000005,TARGET_FRAME_ERRORS_REACHED
K200_M511K385,385整块200,200,326,0.61349693251533743,50,0.15337423312883436,1000,31292,704,0.15645999999999999,0.70399999999999996,TARGET_FRAME_ERRORS_REACHED
