caseName,blockIndex,localPosition,globalPosition,status,correctedPosition,payloadRecovered,pass
BCH-S200,0,0,0,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,0,1,1,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,0,2,2,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,0,3,3,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,0,4,4,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,0,5,5,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,0,6,6,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,0,7,7,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,0,8,8,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S200,0,9,9,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S200,0,10,10,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S200,0,11,11,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S200,0,12,12,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S200,0,13,13,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S200,0,14,14,CORRECTED_SINGLE_ERROR,14,true,true
BCH-S200,1,0,15,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,1,1,16,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,1,2,17,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,1,3,18,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,1,4,19,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,1,5,20,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,1,6,21,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,1,7,22,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,1,8,23,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S200,1,9,24,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S200,1,10,25,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S200,1,11,26,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S200,1,12,27,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S200,1,13,28,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S200,1,14,29,CORRECTED_SINGLE_ERROR,14,true,true
BCH-S200,2,0,30,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,2,1,31,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,2,2,32,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,2,3,33,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,2,4,34,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,2,5,35,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,2,6,36,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,2,7,37,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,2,8,38,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S200,2,9,39,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S200,2,10,40,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S200,2,11,41,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S200,2,12,42,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S200,2,13,43,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S200,2,14,44,CORRECTED_SINGLE_ERROR,14,true,true
BCH-S200,3,0,45,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,3,1,46,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,3,2,47,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,3,3,48,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,3,4,49,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,3,5,50,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,3,6,51,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,3,7,52,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,3,8,53,CORRECTED_SINGLE_ERROR,8,true,true
BCH-S200,3,9,54,CORRECTED_SINGLE_ERROR,9,true,true
BCH-S200,3,10,55,CORRECTED_SINGLE_ERROR,10,true,true
BCH-S200,3,11,56,CORRECTED_SINGLE_ERROR,11,true,true
BCH-S200,3,12,57,CORRECTED_SINGLE_ERROR,12,true,true
BCH-S200,3,13,58,CORRECTED_SINGLE_ERROR,13,true,true
BCH-S200,3,14,59,CORRECTED_SINGLE_ERROR,14,true,true
BCH-S200,4,0,60,CORRECTED_SINGLE_ERROR,0,true,true
BCH-S200,4,1,61,CORRECTED_SINGLE_ERROR,1,true,true
BCH-S200,4,2,62,CORRECTED_SINGLE_ERROR,2,true,true
BCH-S200,4,3,63,CORRECTED_SINGLE_ERROR,3,true,true
BCH-S200,4,4,64,CORRECTED_SINGLE_ERROR,4,true,true
BCH-S200,4,5,65,CORRECTED_SINGLE_ERROR,5,true,true
BCH-S200,4,6,66,CORRECTED_SINGLE_ERROR,6,true,true
BCH-S200,4,7,67,CORRECTED_SINGLE_ERROR,7,true,true
BCH-S200,4,8,68,CORRECTED_SINGLE_ERROR,8,true,true
