organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R12,-1,-10,36,5460,0.00659341,0.00476651,0.0091141,dense
B_CONT_50x6,R12,-1,-9,32,5460,0.00586081,0.00415466,0.00826178,dense
B_CONT_50x6,R12,-1,-8,33,5460,0.00604396,0.00430696,0.00847553,dense
B_CONT_50x6,R12,-1,-7,34,5460,0.00622711,0.00445971,0.00868882,dense
B_CONT_50x6,R12,-1,-6,40,5460,0.00732601,0.00538483,0.00995995,dense
B_CONT_50x6,R12,-1,-5,31,5460,0.00567766,0.00400285,0.00804755,dense
B_CONT_50x6,R12,-1,-4,38,5460,0.00695971,0.00507492,0.00953777,dense
B_CONT_50x6,R12,-1,-3,37,5460,0.00677656,0.00492052,0.00932613,dense
B_CONT_50x6,R12,-1,-2,30,5460,0.00549451,0.00385153,0.00783282,dense
B_CONT_50x6,R12,-1,-1,34,5460,0.00622711,0.00445971,0.00868882,dense
B_CONT_50x6,R12,-1,0,35,5460,0.00641026,0.0046129,0.00890167,dense
B_CONT_50x6,R12,-1,1,29,5460,0.00531136,0.00370074,0.00761757,dense
B_CONT_50x6,R12,-1,2,31,5460,0.00567766,0.00400285,0.00804755,dense
B_CONT_50x6,R12,-1,3,37,5460,0.00677656,0.00492052,0.00932613,dense
B_CONT_50x6,R12,-1,4,36,5460,0.00659341,0.00476651,0.0091141,dense
B_CONT_50x6,R12,-1,5,35,5460,0.00641026,0.0046129,0.00890167,dense
B_CONT_50x6,R12,-1,6,32,5460,0.00586081,0.00415466,0.00826178,dense
B_CONT_50x6,R12,-1,7,18,5460,0.0032967,0.00208639,0.00520545,dense
B_CONT_50x6,R12,-1,8,37,5460,0.00677656,0.00492052,0.00932613,dense
B_CONT_50x6,R12,-1,9,29,5460,0.00531136,0.00370074,0.00761757,dense
