organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R23,1.8,-10,18,78200,0.000230179,0.00014561,0.000363846,dense
B_CONT_50x6,R23,1.8,-9,31,78200,0.000396419,0.000279302,0.000562619,dense
B_CONT_50x6,R23,1.8,-8,26,78200,0.000332481,0.000226914,0.000487136,dense
B_CONT_50x6,R23,1.8,-7,27,78200,0.000345269,0.000237311,0.000502313,dense
B_CONT_50x6,R23,1.8,-6,26,78200,0.000332481,0.000226914,0.000487136,dense
B_CONT_50x6,R23,1.8,-5,27,78200,0.000345269,0.000237311,0.000502313,dense
B_CONT_50x6,R23,1.8,-4,27,78200,0.000345269,0.000237311,0.000502313,dense
B_CONT_50x6,R23,1.8,-3,21,78200,0.000268542,0.000175658,0.000410521,dense
B_CONT_50x6,R23,1.8,-2,25,78200,0.000319693,0.000216562,0.000471914,dense
B_CONT_50x6,R23,1.8,-1,17,78200,0.000217391,0.000135739,0.000348143,dense
B_CONT_50x6,R23,1.8,0,19,78200,0.000242967,0.000155558,0.000379473,dense
B_CONT_50x6,R23,1.8,1,26,78200,0.000332481,0.000226914,0.000487136,dense
B_CONT_50x6,R23,1.8,2,25,78200,0.000319693,0.000216562,0.000471914,dense
B_CONT_50x6,R23,1.8,3,19,78200,0.000242967,0.000155558,0.000379473,dense
B_CONT_50x6,R23,1.8,4,16,78200,0.000204604,0.00012595,0.000332358,dense
B_CONT_50x6,R23,1.8,5,20,78200,0.000255754,0.000165575,0.00039503,dense
B_CONT_50x6,R23,1.8,6,24,78200,0.000306905,0.000206257,0.000456644,dense
B_CONT_50x6,R23,1.8,7,24,78200,0.000306905,0.000206257,0.000456644,dense
B_CONT_50x6,R23,1.8,8,21,78200,0.000268542,0.000175658,0.000410521,dense
B_CONT_50x6,R23,1.8,9,21,78200,0.000268542,0.000175658,0.000410521,dense
