organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R23,-0.5,-10,432,5000,0.0864,0.0789265,0.0945085,dense
B_CONT_50x6,R23,-0.5,-9,409,5000,0.0818,0.0745208,0.0897213,dense
B_CONT_50x6,R23,-0.5,-8,452,5000,0.0904,0.082763,0.0986659,dense
B_CONT_50x6,R23,-0.5,-7,430,5000,0.086,0.0785432,0.0940925,dense
B_CONT_50x6,R23,-0.5,-6,460,5000,0.092,0.0842989,0.100328,dense
B_CONT_50x6,R23,-0.5,-5,419,5000,0.0838,0.0764355,0.0918036,dense
B_CONT_50x6,R23,-0.5,-4,468,5000,0.0936,0.0858356,0.101988,dense
B_CONT_50x6,R23,-0.5,-3,428,5000,0.0856,0.0781598,0.0936764,dense
B_CONT_50x6,R23,-0.5,-2,419,5000,0.0838,0.0764355,0.0918036,dense
B_CONT_50x6,R23,-0.5,-1,415,5000,0.083,0.0756694,0.0909708,dense
B_CONT_50x6,R23,-0.5,0,448,5000,0.0896,0.0819953,0.0978348,dense
B_CONT_50x6,R23,-0.5,1,404,5000,0.0808,0.0735639,0.0886797,dense
B_CONT_50x6,R23,-0.5,2,438,5000,0.0876,0.080077,0.0957562,dense
B_CONT_50x6,R23,-0.5,3,426,5000,0.0852,0.0777766,0.0932603,dense
B_CONT_50x6,R23,-0.5,4,466,5000,0.0932,0.0854514,0.101573,dense
B_CONT_50x6,R23,-0.5,5,426,5000,0.0852,0.0777766,0.0932603,dense
B_CONT_50x6,R23,-0.5,6,452,5000,0.0904,0.082763,0.0986659,dense
B_CONT_50x6,R23,-0.5,7,413,5000,0.0826,0.0752865,0.0905544,dense
B_CONT_50x6,R23,-0.5,8,484,5000,0.0968,0.088911,0.105308,dense
B_CONT_50x6,R23,-0.5,9,424,5000,0.0848,0.0773933,0.0928442,dense
