organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R34,2.4,-10,40,31535,0.00126843,0.000931698,0.00172666,dense
B_CONT_50x6,R34,2.4,-9,45,31535,0.00142699,0.0010667,0.00190872,dense
B_CONT_50x6,R34,2.4,-8,45,31535,0.00142699,0.0010667,0.00190872,dense
B_CONT_50x6,R34,2.4,-7,30,31535,0.000951324,0.000666484,0.00135773,dense
B_CONT_50x6,R34,2.4,-6,41,31535,0.00130014,0.000958589,0.00176318,dense
B_CONT_50x6,R34,2.4,-5,45,31535,0.00142699,0.0010667,0.00190872,dense
B_CONT_50x6,R34,2.4,-4,47,31535,0.00149041,0.00112107,0.00198118,dense
B_CONT_50x6,R34,2.4,-3,42,31535,0.00133185,0.000985536,0.00179965,dense
B_CONT_50x6,R34,2.4,-2,45,31535,0.00142699,0.0010667,0.00190872,dense
B_CONT_50x6,R34,2.4,-1,46,31535,0.0014587,0.00109386,0.00194498,dense
B_CONT_50x6,R34,2.4,0,47,31535,0.00149041,0.00112107,0.00198118,dense
B_CONT_50x6,R34,2.4,1,42,31535,0.00133185,0.000985536,0.00179965,dense
B_CONT_50x6,R34,2.4,2,29,31535,0.000919613,0.000640399,0.0013204,dense
B_CONT_50x6,R34,2.4,3,42,31535,0.00133185,0.000985536,0.00179965,dense
B_CONT_50x6,R34,2.4,4,37,31535,0.0011733,0.000851392,0.00161672,dense
B_CONT_50x6,R34,2.4,5,36,31535,0.00114159,0.000824753,0.00157995,dense
B_CONT_50x6,R34,2.4,6,33,31535,0.00104646,0.000745263,0.0014692,dense
B_CONT_50x6,R34,2.4,7,34,31535,0.00107817,0.000771686,0.00150619,dense
B_CONT_50x6,R34,2.4,8,39,31535,0.00123672,0.000904867,0.00169008,dense
B_CONT_50x6,R34,2.4,9,38,31535,0.00120501,0.000878097,0.00165343,dense
