caseName,sourcePayloadEbN0Db,frameRotationDeg,payloadLength,encodedLength,frameRate,snrDb,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,trueSuccessFrames,trueSuccessRate,reportedSuccessFrames,reportedSuccessRate,miscorrectedFrames,miscorrectionRate,decoderFailureFrames,decoderFailureRate,channelHardBER,avgDecodeTimeUs,avgTotalReceiverTimeUs,aggregation
BCH-S200,6.2999999999999998,0,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1500338,15027,0.3750845,0.75135,4973,0.24865,20000,1.0,15027,0.75135,0,0.0,0.3767166666666667,25.316449999999975,98.28979500000008,RAW_COUNTS
BCH-S200,6.2999999999999998,5,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1549144,15267,0.387286,0.76335,4733,0.23665,20000,1.0,15267,0.76335,0,0.0,0.3906666666666667,27.523689999999945,99.24141000000007,RAW_COUNTS
BCH-S200,6.2999999999999998,10,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1599656,15436,0.399914,0.7718,4564,0.2282,20000,1.0,15436,0.7718,0,0.0,0.40470280701754385,25.560095000000008,93.1088850000001,RAW_COUNTS
BCH-S200,6.2999999999999998,15,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1650514,15526,0.4126285,0.7763,4474,0.2237,20000,1.0,15526,0.7763,0,0.0,0.41856894736842104,23.179694999999974,89.549025,RAW_COUNTS
BCH-S200,6.2999999999999998,20,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1703058,15591,0.4257645,0.77955,4409,0.22045,20000,1.0,15591,0.77955,0,0.0,0.43227473684210527,22.416664999999984,84.01859499999993,RAW_COUNTS
BCH-S200,6.2999999999999998,30,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1811163,15829,0.45279075,0.79145,4171,0.20855,20000,1.0,15829,0.79145,0,0.0,0.4592482456140351,23.095144999999977,87.37082000000001,RAW_COUNTS
BCH-S200,6.2999999999999998,45,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,1973155,16881,0.49328875,0.84405,3119,0.15595,20000,1.0,16881,0.84405,0,0.0,0.5,19.264839999999985,75.49834999999993,RAW_COUNTS
BCH-S200,6.2999999999999998,60,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,2128789,19038,0.53219725,0.9519,962,0.0481,20000,1.0,19038,0.9519,0,0.0,0.541160350877193,20.792160000000024,80.44551,RAW_COUNTS
BCH-S200,6.2999999999999998,75,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,2285144,19986,0.571286,0.9993,14,0.0007,20000,1.0,19986,0.9993,0,0.0,0.581639298245614,24.50177500000003,89.37092000000003,RAW_COUNTS
BCH-S200,6.2999999999999998,90,200,285,0.70175438596491224,4.7618513565547094,20000,4000000,2441660,20000,0.610415,1.0,0,0.0,20000,1.0,20000,1.0,0,0.0,0.621059649122807,21.862455000000022,82.39225000000015,RAW_COUNTS
