caseName,processedFrames,weightedAvgDecodeTimeUs,weightedAvgTotalReceiverTimeUs
BCH-S200,1505139,23.169436709832112,86.70622633524216
BCH-B200,1454135,43.17690193826571,99.19223627792464
BCH-S300,1567484,30.614331948523873,121.39557641417704
BCH-B300,1433767,108.71248857031858,191.48910366886673
BCH-B300-426,1433289,151.71708922624813,240.40637847635753
