caseName,sourcePayloadEbN0Db,frameRotationDeg,processedFrames,decodedFrameErrors,FER,aggregation
BCH-S300,7.7999999999999998,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,0,2000,1097,0.5485,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,10,2000,1264,0.632,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,30,2000,1503,0.7515,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,60,2000,1642,0.821,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-S300,9,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,0,2000,1546,0.773,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,10,2000,1549,0.7745,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,30,2000,1648,0.824,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,60,2000,1994,0.997,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,4.5999999999999996,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,0,2000,1501,0.7505,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,10,2000,1506,0.753,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,30,2000,1525,0.7625,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,60,2000,1953,0.9765,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.2000000000000002,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,0,2000,1497,0.7485,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,10,2000,1500,0.75,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,30,2000,1509,0.7545,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,60,2000,1890,0.945,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,90,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,120,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300,5.5,180,2000,2000,1.0,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,0,2000,1544,0.772,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,10,2000,1553,0.7765,RAW_COUNTS_OVER_FOUR_PHASES
BCH-B300-426,4.4000000000000004,30,2000,1653,0.8265,RAW_COUNTS_OVER_FOUR_PHASES
