caseName,sourcePayloadEbN0Db,targetFER,maximumToleratedParameter,parameter,status
BCH-S200,6.3,0.1,10.0,frameRotationDeg,VALID
BCH-S200,6.3,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S200,6.3,0.5,45.0,frameRotationDeg,VALID
BCH-S200,7.5,0.1,30.0,frameRotationDeg,VALID
BCH-S200,7.5,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S200,7.5,0.5,45.0,frameRotationDeg,VALID
BCH-S200,8.5,0.1,45.0,frameRotationDeg,VALID
BCH-S200,8.5,0.01,30.0,frameRotationDeg,VALID
BCH-S200,8.5,0.5,60.0,frameRotationDeg,VALID
BCH-B200,4.5,0.1,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,4.5,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,4.5,0.5,30.0,frameRotationDeg,VALID
BCH-B200,5.3,0.1,30.0,frameRotationDeg,VALID
BCH-B200,5.3,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,5.3,0.5,45.0,frameRotationDeg,VALID
BCH-B200,6.0,0.1,45.0,frameRotationDeg,VALID
BCH-B200,6.0,0.01,30.0,frameRotationDeg,VALID
BCH-B200,6.0,0.5,60.0,frameRotationDeg,VALID
BCH-S300,6.4,0.1,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S300,6.4,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S300,6.4,0.5,45.0,frameRotationDeg,VALID
BCH-S300,7.8,0.1,30.0,frameRotationDeg,VALID
BCH-S300,7.8,0.01,15.0,frameRotationDeg,VALID
BCH-S300,7.8,0.5,45.0,frameRotationDeg,VALID
BCH-S300,9.0,0.1,45.0,frameRotationDeg,VALID
BCH-S300,9.0,0.01,30.0,frameRotationDeg,VALID
BCH-S300,9.0,0.5,60.0,frameRotationDeg,VALID
BCH-B300,4.6,0.1,10.0,frameRotationDeg,VALID
BCH-B300,4.6,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300,4.6,0.5,30.0,frameRotationDeg,VALID
BCH-B300,5.2,0.1,30.0,frameRotationDeg,VALID
BCH-B300,5.2,0.01,5.0,frameRotationDeg,VALID
BCH-B300,5.2,0.5,45.0,frameRotationDeg,VALID
BCH-B300,5.5,0.1,30.0,frameRotationDeg,VALID
BCH-B300,5.5,0.01,20.0,frameRotationDeg,VALID
BCH-B300,5.5,0.5,45.0,frameRotationDeg,VALID
BCH-B300-426,4.4,0.1,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300-426,4.4,0.01,,frameRotationDeg,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300-426,4.4,0.5,30.0,frameRotationDeg,VALID
BCH-B300-426,5.0,0.1,30.0,frameRotationDeg,VALID
BCH-B300-426,5.0,0.01,10.0,frameRotationDeg,VALID
BCH-B300-426,5.0,0.5,45.0,frameRotationDeg,VALID
BCH-B300-426,5.5,0.1,45.0,frameRotationDeg,VALID
BCH-B300-426,5.5,0.01,30.0,frameRotationDeg,VALID
BCH-B300-426,5.5,0.5,45.0,frameRotationDeg,VALID
