experimentType,caseId,parameterIndex,requestedBlockageLengthSymbols,totalFrames,integerAccountingPass,passed
FIXED_LENGTH,K200_S15,0,5,5000,1,1
FIXED_LENGTH,K200_S15,1,10,5000,1,1
FIXED_LENGTH,K200_S15,2,20,5000,1,1
FIXED_LENGTH,K200_S15,3,30,5000,1,1
FIXED_LENGTH,K200_M255K207,0,5,50000,1,1
FIXED_LENGTH,K200_M255K207,1,10,5000,1,1
FIXED_LENGTH,K200_M255K207,2,20,5000,1,1
FIXED_LENGTH,K200_M255K207,3,30,5000,1,1
FIXED_LENGTH,K200_M511K421,0,5,50000,1,1
FIXED_LENGTH,K200_M511K421,1,10,44300,1,1
FIXED_LENGTH,K200_M511K421,2,20,5000,1,1
FIXED_LENGTH,K200_M511K421,3,30,5000,1,1
FIXED_LENGTH,K200_M511K385,0,5,50000,1,1
FIXED_LENGTH,K200_M511K385,1,10,50000,1,1
FIXED_LENGTH,K200_M511K385,2,20,5000,1,1
FIXED_LENGTH,K200_M511K385,3,30,5000,1,1
FIXED_LENGTH,K300_S15,0,5,5000,1,1
FIXED_LENGTH,K300_S15,1,10,5000,1,1
FIXED_LENGTH,K300_S15,2,20,5000,1,1
FIXED_LENGTH,K300_S15,3,30,5000,1,1
FIXED_LENGTH,K300_M255K207,0,5,50000,1,1
FIXED_LENGTH,K300_M255K207,1,10,5000,1,1
FIXED_LENGTH,K300_M255K207,2,20,5000,1,1
FIXED_LENGTH,K300_M255K207,3,30,5000,1,1
FIXED_LENGTH,K300_M511K421,0,5,50000,1,1
FIXED_LENGTH,K300_M511K421,1,10,50000,1,1
FIXED_LENGTH,K300_M511K421,2,20,5000,1,1
FIXED_LENGTH,K300_M511K421,3,30,5000,1,1
FIXED_LENGTH,K300_M511K385,0,5,50000,1,1
FIXED_LENGTH,K300_M511K385,1,10,50000,1,1
FIXED_LENGTH,K300_M511K385,2,20,5000,1,1
FIXED_LENGTH,K300_M511K385,3,30,5000,1,1
