caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,5,5,0.020161290322580645,fer,0.00188,50000,94,0,0,0.00188
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,10,10,0.040322580645161289,fer,0.2162,5000,1081,0,0,0.2162
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,20,20,0.080645161290322578,fer,0.861,5000,4305,0,0,0.861
K200_M255K207,255整块,200,248,0.80645161290322576,7.5,6.5657831483776494,30,30,0.12096774193548387,fer,0.933,5000,4665,0,0,0.933
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,5,5,0.015337423312883436,fer,0.0,50000,0,1,1,1e-05
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,10,10,0.030674846625766871,fer,6e-05,50000,3,0,0,6e-05
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,20,20,0.061349693251533742,fer,0.0946,5000,473,0,0,0.0946
K200_M511K385,385整块,200,326,0.61349693251533743,7.5,5.3781239559604224,30,30,0.09202453987730061,fer,0.6424,5000,3212,0,0,0.6424
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,5,5,0.017241379310344827,fer,0.0,50000,0,1,1,1e-05
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,10,10,0.034482758620689655,fer,0.004514672686230248,44300,200,0,0,0.004514672686230248
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,20,20,0.068965517241379309,fer,0.4756,5000,2378,0,0,0.4756
K200_M511K421,421整块,200,290,0.68965517241379315,7.5,5.8863199776502517,30,30,0.10344827586206896,fer,0.8338,5000,4169,0,0,0.8338
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,5,5,0.017543859649122806,fer,0.767,5000,3835,0,0,0.767
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,10,10,0.035087719298245612,fer,0.9668,5000,4834,0,0,0.9668
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,20,20,0.070175438596491224,fer,0.9996,5000,4998,0,0,0.9996
K200_S15,分块,200,285,0.70175438596491224,7.5,5.9618513565547095,30,30,0.10526315789473684,fer,1.0,5000,5000,0,0,1.0
