caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,snrDb,requestedBlockageLengthSymbols,blockageLengthSymbols,actualBlockageRatio,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,5,5,0.012626262626262626,miscorrectionRate,0.0,50000,0,1,1,1e-05
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,10,10,0.025252525252525252,miscorrectionRate,0.0,5000,0,1,1,0.0001
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,20,20,0.050505050505050504,miscorrectionRate,0.0002,5000,1,0,0,0.0002
K300_M255K207,255双块,300,396,0.75757575757575757,8,6.7942606879415015,30,30,0.07575757575757576,miscorrectionRate,0.001,5000,5,0,0,0.001
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,5,5,0.011737089201877934,miscorrectionRate,0.0,50000,0,1,1,1e-05
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,10,10,0.023474178403755867,miscorrectionRate,0.0,50000,0,1,1,1e-05
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,20,20,0.046948356807511735,miscorrectionRate,0.0,5000,0,1,1,0.0001
K300_M511K385,385整块,300,426,0.70422535211267601,8,6.4771165561694346,30,30,0.070422535211267609,miscorrectionRate,0.0,5000,0,1,1,0.0001
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,5,5,0.01282051282051282,miscorrectionRate,0.0,50000,0,1,1,1e-05
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,10,10,0.02564102564102564,miscorrectionRate,0.0,50000,0,1,1,1e-05
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,20,20,0.05128205128205128,miscorrectionRate,0.0,5000,0,1,1,0.0001
K300_M511K421,421整块,300,390,0.76923076923076927,8,6.8605664769316324,30,30,0.076923076923076927,miscorrectionRate,0.0,5000,0,1,1,0.0001
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,5,5,0.011904761904761904,miscorrectionRate,0.758,5000,3790,0,0,0.758
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,10,10,0.023809523809523808,miscorrectionRate,0.9712,5000,4856,0,0,0.9712
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,20,20,0.047619047619047616,miscorrectionRate,0.9998,5000,4999,0,0,0.9998
K300_S15,分块,300,420,0.7142857142857143,8,6.53871964321762,30,30,0.071428571428571425,miscorrectionRate,1.0,5000,5000,0,0,1.0
